ID;Geslacht;PositieInDeEersteWerkkring;PositieInDeTweedeWerkkring;Persoonskenmerken;Perioden;Werknemer_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013 1e kwartaal;7205
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013 2e kwartaal;7215
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013 3e kwartaal;7204
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013 4e kwartaal;7171
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2013;7199
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014 1e kwartaal;7073
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014 2e kwartaal;7120
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014 3e kwartaal;7171
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014 4e kwartaal;7164
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2014;7132
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 1e kwartaal;7136
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 2e kwartaal;7201
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 3e kwartaal;7233
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 4e kwartaal;7193
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2015 ;7191
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016 1e kwartaal;7165
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016 2e kwartaal;7266
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016 3e kwartaal;7332
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016 4e kwartaal;7315
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2016;7270
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017 1e kwartaal;7310
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017 2e kwartaal;7407
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017 3e kwartaal;7490
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017 4e kwartaal;7482
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2017;7422
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018 1e kwartaal;7481
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018 2e kwartaal;7582
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018 3e kwartaal;7672
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018 4e kwartaal;7683
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2018;7604
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019 1e kwartaal;7684
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019 2e kwartaal;7760
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019 3e kwartaal;7808
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019 4e kwartaal;7792
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2019;7761
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020 1e kwartaal;7776
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020 2e kwartaal;7646
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020 3e kwartaal;7688
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020 4e kwartaal;7701
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2020;7703
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021 1e kwartaal;7699
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021 2e kwartaal;7776
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021 3e kwartaal;7866
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021 4e kwartaal;7900
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2021;7810
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2022 1e kwartaal;7926
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2022 2e kwartaal;8037
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2022 3e kwartaal;8009
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2022 4e kwartaal;8065
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2022;8009
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2023 1e kwartaal;8095
51;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2023 2e kwartaal;8164
52;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2023 3e kwartaal;8166
53;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2023 4e kwartaal;8181
54;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2023;8151
55;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2024 1e kwartaal;8165
56;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2024 2e kwartaal;8212
57;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2024 3e kwartaal;8174
58;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2024 4e kwartaal;8179
59;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;2024;8183
60;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2013 1e kwartaal;939
