ID;Aanbieders;Perioden;ZorguitgavenInclusiefWelzijn_1;UitgavenVoorGezondheidszorgIntDef_2;UitgavenOgvVerplichteVerzekeringen_3
0;Totaal zorguitgaven, inclusief welzijn;1998;40309;30941;22808
1;Totaal zorguitgaven, inclusief welzijn;1999;43388;33030;24015
2;Totaal zorguitgaven, inclusief welzijn;2000;46452;34994;25973
3;Totaal zorguitgaven, inclusief welzijn;2001;52010;39033;29089
4;Totaal zorguitgaven, inclusief welzijn;2002;58167;43639;32827
5;Totaal zorguitgaven, inclusief welzijn;2003;62556;46678;35577
6;Totaal zorguitgaven, inclusief welzijn;2004;64549;48482;36274
7;Totaal zorguitgaven, inclusief welzijn;2005;67151;50581;37758
8;Totaal zorguitgaven, inclusief welzijn;2006;70350;53184;48129
9;Totaal zorguitgaven, inclusief welzijn;2007;74666;56649;49242
10;Totaal zorguitgaven, inclusief welzijn;2008;79911;60788;51802
11;Totaal zorguitgaven, inclusief welzijn;2009;84177;63213;54820
12;Totaal zorguitgaven, inclusief welzijn;2010;87632;65695;57246
13;Totaal zorguitgaven, inclusief welzijn;2011;89676;67639;58640
14;Totaal zorguitgaven, inclusief welzijn;2012;92943;70347;61351
15;Totaal zorguitgaven, inclusief welzijn;2013;93099;71133;62327
16;Totaal zorguitgaven, inclusief welzijn;2014;94452;71993;63028
17;Totaal zorguitgaven, inclusief welzijn;2015;94494;72015;58270
18;Totaal zorguitgaven, inclusief welzijn;2016;96711;73670;59730
19;GLZ: Totaal geneeskundige, langd. zorg;1998;34320;29288;22236
20;GLZ: Totaal geneeskundige, langd. zorg;1999;36656;31270;23419
21;GLZ: Totaal geneeskundige, langd. zorg;2000;39070;33148;25349
22;GLZ: Totaal geneeskundige, langd. zorg;2001;43813;37025;28406
23;GLZ: Totaal geneeskundige, langd. zorg;2002;49535;41512;32150
24;GLZ: Totaal geneeskundige, langd. zorg;2003;53484;44478;34861
25;GLZ: Totaal geneeskundige, langd. zorg;2004;55429;46176;35541
26;GLZ: Totaal geneeskundige, langd. zorg;2005;57452;47910;36951
27;GLZ: Totaal geneeskundige, langd. zorg;2006;60125;50219;46343
28;GLZ: Totaal geneeskundige, langd. zorg;2007;63763;53514;47550
29;GLZ: Totaal geneeskundige, langd. zorg;2008;68465;57673;50186
30;GLZ: Totaal geneeskundige, langd. zorg;2009;71625;60053;53253
31;GLZ: Totaal geneeskundige, langd. zorg;2010;74691;62507;55626
32;GLZ: Totaal geneeskundige, langd. zorg;2011;76489;64297;56891
33;GLZ: Totaal geneeskundige, langd. zorg;2012;79875;66946;59465
34;GLZ: Totaal geneeskundige, langd. zorg;2013;80405;67655;60441
35;GLZ: Totaal geneeskundige, langd. zorg;2014;81760;68392;61053
36;GLZ: Totaal geneeskundige, langd. zorg;2015;81821;68501;56604
37;GLZ: Totaal geneeskundige, langd. zorg;2016;83786;70192;58108
38;GLZ: Ziekenhuizen, specialistenpraktijk.;1998;9897;8990;6572
39;GLZ: Ziekenhuizen, specialistenpraktijk.;1999;10475;9492;6774
40;GLZ: Ziekenhuizen, specialistenpraktijk.;2000;11049;10000;7375
41;GLZ: Ziekenhuizen, specialistenpraktijk.;2001;12563;11378;8392
42;GLZ: Ziekenhuizen, specialistenpraktijk.;2002;14164;12888;9436
43;GLZ: Ziekenhuizen, specialistenpraktijk.;2003;15086;13759;9889
44;GLZ: Ziekenhuizen, specialistenpraktijk.;2004;16056;14646;10435
45;GLZ: Ziekenhuizen, specialistenpraktijk.;2005;16724;15273;10969
46;GLZ: Ziekenhuizen, specialistenpraktijk.;2006;17474;15909;15872
47;GLZ: Ziekenhuizen, specialistenpraktijk.;2007;18520;16163;16173
48;GLZ: Ziekenhuizen, specialistenpraktijk.;2008;20560;18380;17487
49;GLZ: Ziekenhuizen, specialistenpraktijk.;2009;21762;19526;18637
50;GLZ: Ziekenhuizen, specialistenpraktijk.;2010;23040;20700;19790
