ID;Populatie;Gemeenten;OnderwijspositieBasisjaarT;PositieInSchooljaarT1;Herkomstgroepering;Perioden;AantalLeerlingenVoNaarBestemming_1;VerdelingNaarBestemmingIn_2
0;Woongemeente;Nederland totaal;0;0;Totaal herkomstgroeperingen;2003/'04;862540.0;100.0
1;Woongemeente;Nederland totaal;0;0;Autochtonen;2003/'04;676780.0;100.0
2;Woongemeente;Nederland totaal;0;0;Niet-westerse allochtonen;2003/'04;125400.0;100.0
3;Woongemeente;Nederland totaal;0;0;Westerse allochtonen;2003/'04;58510.0;100.0
4;Woongemeente;Nederland totaal;0;0;Turken;2003/'04;27120.0;100.0
5;Woongemeente;Nederland totaal;0;0;Marokkanen;2003/'04;23860.0;100.0
6;Woongemeente;Nederland totaal;0;0;Surinamers;2003/'04;24080.0;100.0
7;Woongemeente;Nederland totaal;0;0;Antillianen en Arubanen;2003/'04;9180.0;100.0
8;Woongemeente;Nederland totaal;0;0;Overig niet-westerse allochtonen;2003/'04;41150.0;100.0
9;Woongemeente;Nederland totaal;0;0;Herkomst onbekend;2003/'04;1860.0;100.0
10;Woongemeente;Nederland totaal;0;1;Totaal herkomstgroeperingen;2003/'04;824740.0;96.0
11;Woongemeente;Nederland totaal;0;1;Autochtonen;2003/'04;652040.0;96.0
12;Woongemeente;Nederland totaal;0;1;Niet-westerse allochtonen;2003/'04;117230.0;93.0
13;Woongemeente;Nederland totaal;0;1;Westerse allochtonen;2003/'04;54760.0;94.0
14;Woongemeente;Nederland totaal;0;1;Turken;2003/'04;25790.0;95.0
15;Woongemeente;Nederland totaal;0;1;Marokkanen;2003/'04;22900.0;96.0
16;Woongemeente;Nederland totaal;0;1;Surinamers;2003/'04;22870.0;95.0
17;Woongemeente;Nederland totaal;0;1;Antillianen en Arubanen;2003/'04;8490.0;92.0
18;Woongemeente;Nederland totaal;0;1;Overig niet-westerse allochtonen;2003/'04;37180.0;90.0
19;Woongemeente;Nederland totaal;0;1;Herkomst onbekend;2003/'04;700.0;37.0
20;Woongemeente;Nederland totaal;0;2;Totaal herkomstgroeperingen;2003/'04;676850.0;78.0
21;Woongemeente;Nederland totaal;0;2;Autochtonen;2003/'04;535440.0;79.0
22;Woongemeente;Nederland totaal;0;2;Niet-westerse allochtonen;2003/'04;95190.0;76.0
23;Woongemeente;Nederland totaal;0;2;Westerse allochtonen;2003/'04;45590.0;78.0
24;Woongemeente;Nederland totaal;0;2;Turken;2003/'04;21160.0;78.0
25;Woongemeente;Nederland totaal;0;2;Marokkanen;2003/'04;18390.0;77.0
26;Woongemeente;Nederland totaal;0;2;Surinamers;2003/'04;18290.0;76.0
27;Woongemeente;Nederland totaal;0;2;Antillianen en Arubanen;2003/'04;6900.0;75.0
28;Woongemeente;Nederland totaal;0;2;Overig niet-westerse allochtonen;2003/'04;30450.0;74.0
29;Woongemeente;Nederland totaal;0;2;Herkomst onbekend;2003/'04;630.0;34.0
30;Woongemeente;Nederland totaal;0;3;Totaal herkomstgroeperingen;2003/'04;92320.0;11.0
31;Woongemeente;Nederland totaal;0;3;Autochtonen;2003/'04;70830.0;10.0
32;Woongemeente;Nederland totaal;0;3;Niet-westerse allochtonen;2003/'04;16040.0;13.0
33;Woongemeente;Nederland totaal;0;3;Westerse allochtonen;2003/'04;5410.0;9.0
34;Woongemeente;Nederland totaal;0;3;Turken;2003/'04;3810.0;14.0
35;Woongemeente;Nederland totaal;0;3;Marokkanen;2003/'04;3590.0;15.0
36;Woongemeente;Nederland totaal;0;3;Surinamers;2003/'04;3520.0;15.0
37;Woongemeente;Nederland totaal;0;3;Antillianen en Arubanen;2003/'04;1190.0;13.0
38;Woongemeente;Nederland totaal;0;3;Overig niet-westerse allochtonen;2003/'04;3930.0;10.0
39;Woongemeente;Nederland totaal;0;3;Herkomst onbekend;2003/'04;40.0;2.0
40;Woongemeente;Nederland totaal;0;4;Totaal herkomstgroeperingen;2003/'04;80550.0;9.0
41;Woongemeente;Nederland totaal;0;4;Autochtonen;2003/'04;60160.0;9.0
42;Woongemeente;Nederland totaal;0;4;Niet-westerse allochtonen;2003/'04;15430.0;12.0
43;Woongemeente;Nederland totaal;0;4;Westerse allochtonen;2003/'04;4920.0;8.0
44;Woongemeente;Nederland totaal;0;4;Turken;2003/'04;3670.0;14.0
45;Woongemeente;Nederland totaal;0;4;Marokkanen;2003/'04;3510.0;15.0
46;Woongemeente;Nederland totaal;0;4;Surinamers;2003/'04;3370.0;14.0
47;Woongemeente;Nederland totaal;0;4;Antillianen en Arubanen;2003/'04;1130.0;12.0
48;Woongemeente;Nederland totaal;0;4;Overig niet-westerse allochtonen;2003/'04;3760.0;9.0
49;Woongemeente;Nederland totaal;0;4;Herkomst onbekend;2003/'04;40.0;2.0
50;Woongemeente;Nederland totaal;0;5;Totaal herkomstgroeperingen;2003/'04;350.0;0.0
51;Woongemeente;Nederland totaal;0;5;Autochtonen;2003/'04;240.0;0.0
52;Woongemeente;Nederland totaal;0;5;Niet-westerse allochtonen;2003/'04;90.0;0.0
53;Woongemeente;Nederland totaal;0;5;Westerse allochtonen;2003/'04;30.0;0.0
54;Woongemeente;Nederland totaal;0;5;Turken;2003/'04;30.0;0.0
55;Woongemeente;Nederland totaal;0;5;Marokkanen;2003/'04;20.0;0.0
56;Woongemeente;Nederland totaal;0;5;Surinamers;2003/'04;30.0;0.0
57;Woongemeente;Nederland totaal;0;5;Antillianen en Arubanen;2003/'04;;
58;Woongemeente;Nederland totaal;0;5;Overig niet-westerse allochtonen;2003/'04;20.0;0.0
59;Woongemeente;Nederland totaal;0;5;Herkomst onbekend;2003/'04;;
60;Woongemeente;Nederland totaal;0;6;Totaal herkomstgroeperingen;2003/'04;11420.0;1.0
61;Woongemeente;Nederland totaal;0;6;Autochtonen;2003/'04;10440.0;2.0
62;Woongemeente;Nederland totaal;0;6;Niet-westerse allochtonen;2003/'04;510.0;0.0
63;Woongemeente;Nederland totaal;0;6;Westerse allochtonen;2003/'04;460.0;1.0
64;Woongemeente;Nederland totaal;0;6;Turken;2003/'04;110.0;0.0
65;Woongemeente;Nederland totaal;0;6;Marokkanen;2003/'04;70.0;0.0
66;Woongemeente;Nederland totaal;0;6;Surinamers;2003/'04;120.0;1.0
