ID;Onderwijsvolgend;UitkeringSocialeZekerheid;RegioS;Perioden;TotaalJongeren_1;TotaalWerkzaam_2;Werknemer_3;Zelfstandige_4;WerknemerEnZelfstandige_5;NietWerkzameJongeren_6
0;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2005;2351590;1515530;1455420;32170;27940;836060
1;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2006 ;2363560;1542900;1472810;37330;32760;820660
2;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2007 ;2374020;1601610;1528700;39410;33490;772410
3;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2008 ;2392100;1626050;1546100;43930;36010;766060
4;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2009 ;2418640;1578690;1494280;47610;36800;839940
5;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2010 ;2442740;1579990;1493780;48190;38020;862750
6;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Nederland;2011;2458600;1595390;1513770;45340;36280;863210
7;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2005;249180;151880;145760;3370;2740;97310
8;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2006 ;249390;154120;147020;3840;3270;95270
9;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2007 ;249430;158670;151120;4150;3410;90770
10;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2008 ;250010;160150;151840;4570;3740;89860
11;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2009 ;252310;154260;145820;4800;3650;98050
12;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2010 ;254470;153930;145700;4580;3660;100540
13;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Noord-Nederland (LD);2011;256230;155790;148060;4350;3380;100440
14;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2005;507310;331680;318550;7120;6010;175630
15;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2006 ;508580;337480;321850;8370;7270;171100
16;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2007 ;509200;348810;332720;8780;7310;160390
17;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2008 ;512400;354470;336930;9500;8040;157930
18;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2009 ;517220;344350;326140;10050;8170;172870
19;Totaal wel/niet onderwijsvolgend;Totaal met/zonder uitkering;Oost-Nederland (LD);2010 ;521240;343510;325530;9770;8200;177730
