ID;Sex;Age;MaritalStatus;CounrtyOfBirth;Periods;Immigration_1;EmigrationIncludingAdministrativeC_2;NetMigrationIncludingAdministrativ_3;AdministrativeEntries_4;AdministrativeRemoval_5;NetAdministrativeCorrections_6
0;Total male and female;Total;Total marital status;Total;1995;96099.0;82195.0;13904.0;12173.0;31047.0;-18874.0
1;Total male and female;Total;Total marital status;Total;1996;108749.0;91945.0;16804.0;14181.0;40801.0;-26620.0
2;Total male and female;Total;Total marital status;Total;1997;109860.0;81973.0;27887.0;14866.0;34621.0;-19755.0
3;Total male and female;Total;Total marital status;Total;1998;122407.0;79289.0;43118.0;16379.0;35227.0;-18848.0
4;Total male and female;Total;Total marital status;Total;1999;119151.0;78779.0;40372.0;17235.0;36991.0;-19756.0
5;Total male and female;Total;Total marital status;Total;2000;132850.0;78977.0;53873.0;18710.0;36486.0;-17776.0
6;Total male and female;Total;Total marital status;Total;2001;133404.0;82566.0;50838.0;19161.0;38409.0;-19248.0
7;Total male and female;Total;Total marital status;Total;2002;121250.0;96918.0;24332.0;21743.0;51933.0;-30190.0
8;Total male and female;Total;Total marital status;Total;2003;104514.0;104831.0;-317.0;24872.0;60818.0;-35946.0
9;Total male and female;Total;Total marital status;Total;2004;94019.0;110235.0;-16216.0;27960.0;63146.0;-35186.0
10;Total male and female;Total;Total marital status;Total;2005;92297.0;119725.0;-27428.0;30491.0;66817.0;-36326.0
11;Total male and female;Total;Total marital status;Total;2006;101150.0;132470.0;-31320.0;34251.0;75693.0;-41442.0
12;Total male and female;Total;Total marital status;Total;2007;116819.0;122576.0;-5757.0;38733.0;70022.0;-31289.0
13;Total male and female;Total;Total marital status;Total;2008;143516.0;117779.0;25737.0;42250.0;69962.0;-27712.0
14;Total male and female;Total;Total marital status;Total;2009;146378.0;111897.0;34481.0;41653.0;68193.0;-26540.0
15;Total male and female;Total;Total marital status;Total;2010;154432.0;121351.0;33081.0;39973.0;69874.0;-29901.0
16;Total male and female;Total;Total marital status;Total;2011;162962.0;133194.0;29768.0;38311.0;65320.0;-27009.0
17;Total male and female;Total;Total marital status;Total;2012;158374.0;144491.0;13883.0;38684.0;72819.0;-34135.0
18;Total male and female;Total;Total marital status;Total;2013;164772.0;145669.0;19103.0;37863.0;66352.0;-28489.0
19;Total male and female;Total;Total marital status;Total;2014;182949.0;147862.0;35087.0;34942.0;60556.0;-25614.0
20;Total male and female;Total;Total marital status;Total;2015;204615.0;149509.0;55106.0;32503.0;55128.0;-22625.0
21;Total male and female;Total;Total marital status;Total;2016;230739.0;151545.0;79194.0;29015.0;53240.0;-24225.0
22;Total male and female;Total;Total marital status;Total;2017;234957.0;154292.0;80665.0;29554.0;56394.0;-26840.0
23;Total male and female;Total;Total marital status;Total;2018;243737.0;157366.0;86371.0;26761.0;49330.0;-22569.0
24;Total male and female;Total;Total marital status;Total;2019;269064.0;161029.0;108035.0;24372.0;46245.0;-21873.0
25;Total male and female;Total;Total marital status;Total;2020;220853.0;152494.0;68359.0;21267.0;40600.0;-19333.0
26;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;1995;56251.0;61702.0;-5451.0;8186.0;18568.0;-10382.0
27;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;1996;58490.0;67912.0;-9422.0;9296.0;23863.0;-14567.0
28;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;1997;57736.0;61859.0;-4123.0;9527.0;20981.0;-11454.0
29;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;1998;63456.0;60372.0;3084.0;10674.0;21820.0;-11146.0
30;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;1999;65113.0;59979.0;5134.0;11586.0;23275.0;-11689.0
31;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2000;70385.0;61727.0;8658.0;12163.0;23112.0;-10949.0
32;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2001;68510.0;63389.0;5121.0;12780.0;24748.0;-11968.0
33;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2002;61800.0;72203.0;-10403.0;14656.0;32575.0;-17919.0
34;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2003;55678.0;75241.0;-19563.0;16708.0;37750.0;-21042.0
35;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2004;56706.0;78286.0;-21580.0;19168.0;39878.0;-20710.0
36;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2005;58185.0;84357.0;-26172.0;21441.0;40927.0;-19486.0
37;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2006;66658.0;94834.0;-28176.0;23632.0;47754.0;-24122.0
38;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2007;79997.0;90682.0;-10685.0;26547.0;46436.0;-19889.0
39;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2008;94919.0;88729.0;6190.0;28924.0;47084.0;-18160.0
40;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2009;93667.0;83033.0;10634.0;29325.0;47042.0;-17717.0
41;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2010;101623.0;87306.0;14317.0;28367.0;46827.0;-18460.0
42;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2011;110751.0;97656.0;13095.0;27330.0;44227.0;-16897.0
43;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2012;110905.0;105982.0;4923.0;27998.0;50703.0;-22705.0
44;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2013;112726.0;106920.0;5806.0;27111.0;45716.0;-18605.0
45;Total male and female;Total;Total marital status;Western countries of birth (incl Neth...;2014;122878.0;109806.0;13072.0;25304.0;43011.0;-17707.0
