ID;SexOfEmployee;TypeOfEmploymentContract;CaoSector;SizeOfCompany;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
0;Total;Total;Total;Total employed persons;2009;7820;5925;20.02;2225;2195;30650;26710;3940;510;29.1;28.8;1315;1736
1;Total;Total;Total;Total employed persons;2010 before change of method;7774;5870;20.39;2245;2214;30960;26940;4020;490;29.0;28.6;1303;1725
2;Total;Total;Total;Total employed persons;2010 after change of method;7860;5924;20.41;2245;2214;30990;26940;4050;500;28.9;28.5;1301;1727
3;Total;Total;Total;Total employed persons;2011;7926;5926;20.62;2266;2234;31340;27200;4140;470;28.7;28.3;1300;1739
4;Total;Total;Total;Total employed persons;2012;7872;5868;21.16;2302;2271;31740;27630;4120;480;28.6;28.3;1288;1728
5;Total;Total;Total;Total employed persons;2013;7746;5773;21.48;2337;2306;32430;28050;4380;460;28.8;28.4;1288;1729
6;Total;Total;Total;Total employed persons;2014;7706;5740;21.58;2359;2328;32590;28310;4270;430;28.8;28.4;1294;1738
7;Total;Total;Total;Total employed persons;2015;7783;5794;22.08;2405;2373;33200;28860;4340;390;28.8;28.4;1290;1732
8;Total;Total;Total;Total employed persons;2016;7893;5902;22.13;2436;2404;33730;29230;4500;390;29.0;28.6;1303;1743
9;Total;Total;Total;Total employed persons;2017;8096;6045;22.23;2460;2427;34090;29520;4570;400;29.0;28.7;1310;1754
10;Total;Total;Total;Total employed persons;2018;8324;6237;22.69;2508;2474;34670;30090;4580;420;29.1;28.8;1309;1747
11;Total;Total;Total;Total employed persons;2019;8501;6381;23.14;2575;2543;35630;30900;4740;440;29.2;28.9;1318;1756
12;Total;Total;Total;Total employed persons;2020;8391;6356;24.07;2692;2663;37280;32310;4970;470;29.5;29.2;1328;1753
13;Total;Total;Total;Total employed persons;2021;8561;6507;24.45;2761;2730;38380;33130;5250;470;29.5;29.2;1340;1763
14;Total;Total;Total;Total employed persons;2022;8868;6723;25.32;2852;2822;39940;34230;5710;480;29.5;29.2;1337;1764
15;Total;Total;Total;Total employed persons;2023;8979;6826;27.12;3045;3015;42380;36540;5840;520;29.5;29.2;1334;1755
16;Total;Total;Total;0 to 9 employed persons;2009;1196;821;19.32;1953;1938;25490;23430;2060;870;26.4;26.3;1204;1753
17;Total;Total;Total;0 to 9 employed persons;2010 before change of method;1179;802;19.62;1956;1939;25570;23470;2100;790;26.2;25.9;1186;1743
18;Total;Total;Total;0 to 9 employed persons;2010 after change of method;1229;837;19.79;1981;1965;25880;23770;2100;840;26.2;26.0;1191;1748
19;Total;Total;Total;0 to 9 employed persons;2011;1186;796;20.15;2004;1990;26200;24050;2140;810;25.9;25.7;1185;1765
20;Total;Total;Total;0 to 9 employed persons;2012;1170;782;20.61;2027;2013;26370;24320;2050;800;25.8;25.6;1172;1753
21;Total;Total;Total;0 to 9 employed persons;2013;1150;767;20.84;2049;2036;26940;24590;2350;770;25.9;25.7;1172;1757
22;Total;Total;Total;0 to 9 employed persons;2014;1165;770;20.79;2043;2029;26690;24510;2180;700;25.8;25.6;1171;1772
23;Total;Total;Total;0 to 9 employed persons;2015;1173;775;21.22;2083;2070;27170;25000;2180;660;25.8;25.7;1170;1770
24;Total;Total;Total;0 to 9 employed persons;2016;1202;796;21.27;2107;2093;27480;25280;2190;660;25.9;25.8;1181;1784
25;Total;Total;Total;0 to 9 employed persons;2017;1226;815;21.64;2151;2137;28190;25810;2380;680;26.0;25.9;1185;1783
26;Total;Total;Total;0 to 9 employed persons;2018;1233;822;22.18;2208;2193;28760;26490;2270;730;26.2;26.0;1186;1780
27;Total;Total;Total;0 to 9 employed persons;2019;1245;830;22.69;2273;2259;29600;27280;2320;780;26.2;26.1;1195;1791
28;Total;Total;Total;0 to 9 employed persons;2020;1205;813;23.31;2363;2350;30830;28350;2480;830;26.7;26.5;1209;1792
29;Total;Total;Total;0 to 9 employed persons;2021;1257;853;23.65;2423;2409;31730;29080;2640;830;26.7;26.6;1222;1802
30;Total;Total;Total;0 to 9 employed persons;2022;1290;872;24.7;2522;2509;33000;30270;2730;870;26.6;26.5;1219;1802
31;Total;Total;Total;0 to 9 employed persons;2023;1291;874;26.36;2683;2670;34950;32190;2760;960;26.7;26.5;1215;1795
32;Total;Total;Total;10 to 99 employed persons;2009;1963;1501;18.46;2134;2085;28940;25610;3330;640;30.2;29.6;1355;1772
33;Total;Total;Total;10 to 99 employed persons;2010 before change of method;1865;1435;18.88;2184;2132;29630;26210;3420;640;30.3;29.6;1355;1762
34;Total;Total;Total;10 to 99 employed persons;2010 after change of method;1879;1444;18.9;2184;2133;29670;26210;3460;650;30.3;29.6;1354;1763
35;Total;Total;Total;10 to 99 employed persons;2011;1925;1469;19.04;2205;2153;29930;26460;3470;610;30.1;29.4;1356;1778
36;Total;Total;Total;10 to 99 employed persons;2012;1878;1429;19.56;2241;2190;30360;26890;3470;620;30.0;29.4;1344;1765
37;Total;Total;Total;10 to 99 employed persons;2013;1817;1384;19.78;2270;2219;30800;27240;3560;600;30.2;29.6;1346;1767
38;Total;Total;Total;10 to 99 employed persons;2014;1806;1376;19.83;2289;2238;31050;27460;3590;560;30.2;29.6;1354;1777
39;Total;Total;Total;10 to 99 employed persons;2015;1831;1393;20.18;2318;2265;31470;27820;3660;510;30.2;29.6;1347;1770
40;Total;Total;Total;10 to 99 employed persons;2016;1866;1421;20.22;2335;2283;31760;28020;3730;500;30.2;29.6;1355;1780
41;Total;Total;Total;10 to 99 employed persons;2017;1925;1470;20.49;2377;2324;32330;28530;3800;520;30.3;29.7;1361;1782
42;Total;Total;Total;10 to 99 employed persons;2018;1976;1513;20.88;2418;2367;32960;29020;3940;540;30.4;29.8;1360;1776
43;Total;Total;Total;10 to 99 employed persons;2019;2014;1542;21.35;2481;2433;33770;29780;3990;570;30.4;29.9;1367;1786
44;Total;Total;Total;10 to 99 employed persons;2020;1977;1528;22.08;2577;2533;35080;30920;4160;600;30.7;30.2;1377;1782
45;Total;Total;Total;10 to 99 employed persons;2021;2006;1555;22.42;2646;2599;36300;31750;4540;620;30.8;30.3;1391;1794
46;Total;Total;Total;10 to 99 employed persons;2022;2114;1617;23.24;2704;2658;37220;32440;4780;610;30.3;29.9;1372;1794
47;Total;Total;Total;10 to 99 employed persons;2023;2103;1604;24.82;2861;2816;39210;34330;4880;650;30.2;29.8;1362;1785
48;Total;Total;Total;100 or more employed persons;2009;4661;3603;20.86;2334;2307;32690;28010;4690;370;29.4;29.1;1327;1717
49;Total;Total;Total;100 or more employed persons;2010 before change of method;4730;3633;21.18;2342;2314;32830;28100;4730;350;29.2;28.8;1311;1707
50;Total;Total;Total;100 or more employed persons;2010 after change of method;4752;3643;21.18;2337;2310;32830;28050;4780;350;29.1;28.8;1309;1707
51;Total;Total;Total;100 or more employed persons;2011;4815;3660;21.38;2355;2327;33170;28270;4900;340;28.8;28.5;1306;1718
52;Total;Total;Total;100 or more employed persons;2012;4825;3656;21.93;2393;2365;33590;28720;4870;340;28.8;28.4;1294;1708
53;Total;Total;Total;100 or more employed persons;2013;4778;3622;22.29;2432;2404;34370;29190;5180;330;28.9;28.6;1294;1708
54;Total;Total;Total;100 or more employed persons;2014;4735;3594;22.45;2464;2436;34620;29570;5050;320;29.0;28.6;1302;1715
55;Total;Total;Total;100 or more employed persons;2015;4779;3626;23.03;2518;2489;35350;30210;5140;280;29.0;28.6;1297;1709
56;Total;Total;Total;100 or more employed persons;2016;4824;3685;23.09;2556;2528;36050;30680;5370;280;29.2;28.9;1314;1720
57;Total;Total;Total;100 or more employed persons;2017;4945;3760;23.07;2568;2539;36240;30820;5420;290;29.3;28.9;1321;1737
58;Total;Total;Total;100 or more employed persons;2018;5116;3901;23.51;2614;2584;36760;31370;5390;300;29.4;29.0;1319;1729
59;Total;Total;Total;100 or more employed persons;2019;5242;4009;23.95;2682;2653;37780;32190;5590;320;29.4;29.1;1329;1738
60;Total;Total;Total;100 or more employed persons;2020;5208;4015;25.0;2812;2785;39610;33750;5860;330;29.7;29.4;1337;1734
61;Total;Total;Total;100 or more employed persons;2021;5298;4099;25.41;2884;2856;40750;34610;6140;330;29.7;29.4;1349;1743
62;Total;Total;Total;100 or more employed persons;2022;5464;4233;26.27;2988;2960;42620;35860;6770;340;29.8;29.5;1352;1745
63;Total;Total;Total;100 or more employed persons;2023;5586;4348;28.15;3198;3170;45300;38380;6920;380;29.9;29.7;1351;1736
64;Total;Total;Cao-sector: private companies;Total employed persons;2009;5477;4133;19.65;2232;2193;30640;26780;3860;720;29.7;29.2;1339;1774
65;Total;Total;Cao-sector: private companies;Total employed persons;2010 before change of method;5362;4048;19.95;2260;2218;31030;27120;3910;690;29.7;29.2;1334;1767
66;Total;Total;Cao-sector: private companies;Total employed persons;2010 after change of method;5428;4091;20.0;2262;2221;31090;27150;3950;710;29.7;29.1;1333;1768
67;Total;Total;Cao-sector: private companies;Total employed persons;2011;5467;4089;20.24;2291;2248;31560;27490;4070;670;29.4;28.9;1333;1782
68;Total;Total;Cao-sector: private companies;Total employed persons;2012;5426;4045;20.75;2325;2283;31900;27900;4010;680;29.4;28.9;1320;1771
69;Total;Total;Cao-sector: private companies;Total employed persons;2013;5334;3973;21.0;2355;2313;32570;28260;4310;660;29.6;29.0;1322;1775
70;Total;Total;Cao-sector: private companies;Total employed persons;2014;5335;3962;21.1;2372;2330;32640;28470;4170;610;29.5;29.0;1325;1784
71;Total;Total;Cao-sector: private companies;Total employed persons;2015;5439;4031;21.5;2404;2361;33060;28840;4220;550;29.4;28.9;1317;1777
