ID;SectorsAssets;CounterpartSectorsLiabilities;BalanceSheetsAndTransactions;Periods;SavingsTransferableAndOtherDeposits_1;ShortTermSecurities_2;LongTermSecurities_3;ShortTermLoans_4;LongTermLoans_5;HomeMortgages_6;ListedShares_7;InvestmentFundSharesOrUnits_8
0;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 1st quarter;305699.0;;;130636.0;812019.0;;;
1;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 2nd quarter;312802.0;;;137260.0;822911.0;;;
2;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 3rd quarter;324837.0;;;139433.0;835328.0;;;
3;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999 4th quarter;324765.0;;;143600.0;850246.0;;;
4;Total domestic sectors;Total domestic sectors;Opening balance sheet;1999;305699.0;;;130636.0;812019.0;;;
5;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 1st quarter;330571.0;;;144242.0;867025.0;;;
6;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 2nd quarter;355267.0;;;153555.0;871827.0;;;
7;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 3rd quarter;343934.0;;;159084.0;879504.0;;;
8;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000 4th quarter;366481.0;;;165203.0;889118.0;;;
9;Total domestic sectors;Total domestic sectors;Opening balance sheet;2000;330571.0;;;144242.0;867025.0;;;
10;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 1st quarter;360561.0;;;166405.0;895961.0;;;
11;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 2nd quarter;381160.0;;;158976.0;904353.0;;;
12;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 3rd quarter;380950.0;;;158749.0;918493.0;;;
13;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001 4th quarter;390149.0;;;163176.0;929022.0;;;
14;Total domestic sectors;Total domestic sectors;Opening balance sheet;2001;360561.0;;;166405.0;895961.0;;;
15;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 1st quarter;408553.0;;;161778.0;942077.0;;;
16;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 2nd quarter;422365.0;;;167095.0;948336.0;;;
17;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 3rd quarter;432252.0;;;163755.0;953402.0;;;
18;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002 4th quarter;433747.0;;;175060.0;964662.0;;;
19;Total domestic sectors;Total domestic sectors;Opening balance sheet;2002;408553.0;;;161778.0;942077.0;;;
20;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 1st quarter;434681.0;;;166814.0;981708.0;;;
21;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 2nd quarter;461997.0;;;163293.0;992537.0;;;
22;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 3rd quarter;455263.0;;;160576.0;1015205.0;;;
23;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003 4th quarter;473501.0;;;158205.0;1033959.0;;;
24;Total domestic sectors;Total domestic sectors;Opening balance sheet;2003;434681.0;;;166814.0;981708.0;;;
25;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 1st quarter;475737.0;;;158259.0;1055367.0;;;
26;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 2nd quarter;475400.0;;;160370.0;1065386.0;;;
27;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 3rd quarter;500134.0;;;166512.0;1069550.0;;;
28;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004 4th quarter;499958.0;;;171955.0;1083286.0;;;
29;Total domestic sectors;Total domestic sectors;Opening balance sheet;2004;475737.0;;;158259.0;1055367.0;;;
30;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 1st quarter;505731.0;;;176175.0;1085451.0;;;
31;Total domestic sectors;Total domestic sectors;Opening balance sheet;2005 2nd quarter;524137.0;;;189037.0;1095045.0;;;
