ID;LeeftijdMoederBijGeboorteKind;SamenstellingHuishouden;AantalKinderenInHetHuishouden;HerkomstlandKind;Perioden;LevendGeborenKinderen_1
0;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Totaal;2021;179441
1;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Totaal;2022;167504
2;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Totaal;2023;164487
3;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Nederland;2021;132017
4;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Nederland;2022;121588
5;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Nederland;2023;118557
6;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Buiten Nederland;2021;47424
7;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Buiten Nederland;2022;45916
8;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Buiten Nederland;2023;45930
9;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Europa (exclusief Nederland);2021;15523
10;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Europa (exclusief Nederland);2022;14615
11;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Europa (exclusief Nederland);2023;14909
12;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Europese Unie (exclusief Nederland);2021;12332
13;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Europese Unie (exclusief Nederland);2022;11266
14;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Europese Unie (exclusief Nederland);2023;11347
15;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Buiten Europa;2021;31901
16;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Buiten Europa;2022;31301
17;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Buiten Europa;2023;31021
18;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Indonesië;2021;519
19;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Indonesië;2022;488
20;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Indonesië;2023;407
21;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Marokko;2021;4325
22;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Marokko;2022;4124
23;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Marokko;2023;3698
24;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Nederlandse Cariben;2021;2207
25;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Nederlandse Cariben;2022;2157
26;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Nederlandse Cariben;2023;2172
27;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Suriname;2021;1850
28;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Suriname;2022;1775
29;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Suriname;2023;1566
30;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Turkije;2021;3280
31;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Turkije;2022;3015
32;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Turkije;2023;2904
33;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Afrika (exclusief Marokko);2021;5536
34;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Afrika (exclusief Marokko);2022;5345
35;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Afrika (exclusief Marokko);2023;5485
36;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Amerika en Oceanië (ex. Suriname en N...;2021;3663
37;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Amerika en Oceanië (ex. Suriname en N...;2022;3552
38;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Amerika en Oceanië (ex. Suriname en N...;2023;3588
39;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Azië (exclusief Indonesië en Turkije);2021;10521
40;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Azië (exclusief Indonesië en Turkije);2022;10845
41;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Azië (exclusief Indonesië en Turkije);2023;11201
42;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Afrika;2021;9861
43;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Afrika;2022;9469
44;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Afrika;2023;9183
45;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Amerika;2021;7448
46;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Amerika;2022;7253
47;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Amerika;2023;7089
48;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Azië;2021;14320
49;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Azië;2022;14348
50;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Azië;2023;14512
51;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Oceanië;2021;272
52;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Oceanië;2022;231
53;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Oceanië;2023;237
54;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Onbekend herkomstland;2021;0
55;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Onbekend herkomstland;2022;0
56;Totaal leeftijd;Totaal huishoudens;Totaal aantal kinderen;Onbekend herkomstland;2023;0
57;Totaal leeftijd;Totaal huishoudens;Één kind;Totaal;2021;77066
58;Totaal leeftijd;Totaal huishoudens;Één kind;Totaal;2022;73459
59;Totaal leeftijd;Totaal huishoudens;Één kind;Totaal;2023;70858
60;Totaal leeftijd;Totaal huishoudens;Één kind;Nederland;2021;57952
61;Totaal leeftijd;Totaal huishoudens;Één kind;Nederland;2022;54402
62;Totaal leeftijd;Totaal huishoudens;Één kind;Nederland;2023;51699
63;Totaal leeftijd;Totaal huishoudens;Één kind;Buiten Nederland;2021;19114
64;Totaal leeftijd;Totaal huishoudens;Één kind;Buiten Nederland;2022;19057
65;Totaal leeftijd;Totaal huishoudens;Één kind;Buiten Nederland;2023;19159
66;Totaal leeftijd;Totaal huishoudens;Één kind;Europa (exclusief Nederland);2021;7920
67;Totaal leeftijd;Totaal huishoudens;Één kind;Europa (exclusief Nederland);2022;7561
68;Totaal leeftijd;Totaal huishoudens;Één kind;Europa (exclusief Nederland);2023;7688
69;Totaal leeftijd;Totaal huishoudens;Één kind;Europese Unie (exclusief Nederland);2021;6406
70;Totaal leeftijd;Totaal huishoudens;Één kind;Europese Unie (exclusief Nederland);2022;5944
71;Totaal leeftijd;Totaal huishoudens;Één kind;Europese Unie (exclusief Nederland);2023;6006
72;Totaal leeftijd;Totaal huishoudens;Één kind;Buiten Europa;2021;11194
73;Totaal leeftijd;Totaal huishoudens;Één kind;Buiten Europa;2022;11496
74;Totaal leeftijd;Totaal huishoudens;Één kind;Buiten Europa;2023;11471
75;Totaal leeftijd;Totaal huishoudens;Één kind;Indonesië;2021;232
76;Totaal leeftijd;Totaal huishoudens;Één kind;Indonesië;2022;231
77;Totaal leeftijd;Totaal huishoudens;Één kind;Indonesië;2023;184
78;Totaal leeftijd;Totaal huishoudens;Één kind;Marokko;2021;1057
79;Totaal leeftijd;Totaal huishoudens;Één kind;Marokko;2022;1117
80;Totaal leeftijd;Totaal huishoudens;Één kind;Marokko;2023;967
81;Totaal leeftijd;Totaal huishoudens;Één kind;Nederlandse Cariben;2021;775
82;Totaal leeftijd;Totaal huishoudens;Één kind;Nederlandse Cariben;2022;778
83;Totaal leeftijd;Totaal huishoudens;Één kind;Nederlandse Cariben;2023;734
