ID;Geslacht;Leeftijd;TypeInstelling;BurgerlijkeStaat;Perioden;AantalUltimoVerslagjaar_1;PercentageUltimoVerslagjaar_2;AantalInVerslagjaar_3;PercentageInVerslagjaar_4;OpnamedagenInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal burgerlijke staat;2004;227900;1.79;310605.0;2.44;83948.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal burgerlijke staat;2005;230160;1.8;316285.0;2.47;84381.0
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal burgerlijke staat;2006;232640;1.82;321735.0;2.51;85753.0
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal burgerlijke staat;2007;238890;1.86;;;
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal burgerlijke staat;2008;239095;1.84;334405.0;2.59;87442.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Totaal burgerlijke staat;2009;246275;1.88;342425.0;2.63;89080.0
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Ongehuwd;2004;78470;2.05;90120.0;2.31;28485.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Ongehuwd;2005;80925;2.06;92900.0;2.34;29212.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Ongehuwd;2006;83345;2.1;95760.0;2.38;30165.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Ongehuwd;2007;86815;2.16;;;
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Ongehuwd;2008;87865;2.15;102305.0;2.49;32225.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Ongehuwd;2009;91555;2.18;105260.0;2.5;33067.0
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gehuwd/partnerschap;2004;31540;0.45;56800.0;0.81;12428.0
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gehuwd/partnerschap;2005;31880;0.46;58720.0;0.84;12651.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gehuwd/partnerschap;2006;32165;0.46;59695.0;0.86;12719.0
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gehuwd/partnerschap;2007;31675;0.46;;;
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gehuwd/partnerschap;2008;31620;0.46;60455.0;0.88;12357.0
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gehuwd/partnerschap;2009;33045;0.48;63035.0;0.92;12713.0
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Verweduwd;2004;103460;11.8;143050.0;16.31;37837.0
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Verweduwd;2005;102065;11.68;142955.0;16.33;37115.0
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Verweduwd;2006;100605;11.54;142850.0;16.35;37003.0
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Verweduwd;2007;102665;11.79;;;
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Verweduwd;2008;101135;11.64;144910.0;16.68;36325.0
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Verweduwd;2009;101955;11.75;145715.0;16.8;36361.0
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gescheiden;2004;14430;1.43;20635.0;2.13;5198.0
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gescheiden;2005;15295;1.54;21710.0;2.25;5402.0
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gescheiden;2006;16525;1.62;23425.0;2.38;5865.0
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gescheiden;2007;17730;1.63;;;
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gescheiden;2008;18475;1.66;26735.0;2.5;6535.0
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gescheiden;2009;19720;1.74;28415.0;2.59;6939.0
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal burgerlijke staat;2004;162315;1.28;240205.0;1.88;60402.0
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal burgerlijke staat;2005;161270;1.26;242245.0;1.89;59790.0
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal burgerlijke staat;2006;160190;1.25;243910.0;1.9;59840.0
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal burgerlijke staat;2007;163690;1.27;;;
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal burgerlijke staat;2008;162170;1.25;250895.0;1.95;59378.0
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Totaal burgerlijke staat;2009;164790;1.26;255290.0;1.96;59850.0
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Ongehuwd;2004;19165;0.5;26795.0;0.69;7153.0
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Ongehuwd;2005;18850;0.48;26545.0;0.67;7009.0
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Ongehuwd;2006;18495;0.47;26355.0;0.65;6896.0
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Ongehuwd;2007;19195;0.48;;;
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Ongehuwd;2008;18855;0.46;27585.0;0.67;6944.0
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Ongehuwd;2009;18745;0.45;27655.0;0.66;6867.0
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gehuwd/partnerschap;2004;30135;0.43;55040.0;0.79;11918.0
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gehuwd/partnerschap;2005;30345;0.44;56810.0;0.82;12093.0
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gehuwd/partnerschap;2006;30490;0.44;57615.0;0.83;12109.0
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gehuwd/partnerschap;2007;30335;0.44;;;
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gehuwd/partnerschap;2008;30245;0.44;58790.0;0.86;11862.0
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gehuwd/partnerschap;2009;31500;0.46;61165.0;0.89;12157.0
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Verweduwd;2004;102360;11.67;141855.0;16.17;37431.0
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Verweduwd;2005;100935;11.55;141735.0;16.19;36710.0
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Verweduwd;2006;99430;11.4;141605.0;16.21;36587.0
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Verweduwd;2007;101615;11.67;;;
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Verweduwd;2008;100105;11.52;143790.0;16.55;35954.0
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Verweduwd;2009;100860;11.63;144540.0;16.67;35979.0
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gescheiden;2004;10650;1.06;16515.0;1.7;3899.0
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gescheiden;2005;11140;1.12;17155.0;1.78;3978.0
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gescheiden;2006;11770;1.16;18335.0;1.87;4248.0
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gescheiden;2007;12550;1.15;;;
58;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gescheiden;2008;12960;1.16;20730.0;1.94;4617.0
59;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Verpleging en verzorging;Gescheiden;2009;13690;1.21;21935.0;2.0;4846.0
60;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal burgerlijke staat;2004;49820;0.39;52860.0;0.41;18006.0
61;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal burgerlijke staat;2005;51820;0.41;54895.0;0.43;18606.0
62;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal burgerlijke staat;2006;53725;0.42;57175.0;0.45;19357.0
63;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal burgerlijke staat;2007;56355;0.44;;;
64;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal burgerlijke staat;2008;56900;0.44;61765.0;0.48;21030.0
65;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Totaal burgerlijke staat;2009;59790;0.46;63600.0;0.49;21637.0
66;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Ongehuwd;2004;48575;1.27;51430.0;1.32;17590.0
67;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Ongehuwd;2005;50335;1.28;53205.0;1.34;18106.0
68;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Ongehuwd;2006;51980;1.31;55190.0;1.37;18768.0
69;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Ongehuwd;2007;54365;1.35;;;
70;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Ongehuwd;2008;54720;1.34;59280.0;1.44;20280.0
71;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Ongehuwd;2009;57290;1.37;60805.0;1.45;20787.0
72;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Gehuwd/partnerschap;2004;405;0.01;540.0;0.01;139.0
73;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Gehuwd/partnerschap;2005;490;0.01;640.0;0.01;170.0
74;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Gehuwd/partnerschap;2006;535;0.01;730.0;0.01;197.0
75;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Gehuwd/partnerschap;2007;510;0.01;;;
76;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Gehuwd/partnerschap;2008;560;0.01;730.0;0.01;196.0
77;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Gehuwd/partnerschap;2009;665;0.01;835.0;0.01;229.0
78;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Verweduwd;2004;185;0.02;200.0;0.02;64.0
79;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Verweduwd;2005;205;0.02;215.0;0.02;70.0
80;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Verweduwd;2006;240;0.03;250.0;0.03;78.0
81;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Verweduwd;2007;275;0.03;;;
82;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Verweduwd;2008;290;0.03;325.0;0.04;102.0
83;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gehandicaptenzorg;Verweduwd;2009;320;0.04;350.0;0.04;109.0
