ID;Geslacht;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2013 1e kwartaal;8427
1;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2013 2e kwartaal;8435
2;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2013 3e kwartaal;8443
3;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2013 4e kwartaal;8426
4;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2013;8433
5;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2014 1e kwartaal;8320
6;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2014 2e kwartaal;8359
7;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2014 3e kwartaal;8417
8;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2014 4e kwartaal;8433
9;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2014;8382
10;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2015 1e kwartaal;8395
11;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2015 2e kwartaal;8457
12;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2015 3e kwartaal;8499
13;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2015 4e kwartaal;8480
14;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2015;8458
15;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2016 1e kwartaal;8456
16;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2016 2e kwartaal;8552
17;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2016 3e kwartaal;8628
18;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2016 4e kwartaal;8644
19;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2016;8570
20;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2017 1e kwartaal;8640
