ID;PolitieregioS;Cijfersoort;Perioden;WelEens_1;Vaak_2;WelEens_3;Vaak_4;VoeltZichSAvondsInBuurtOnveilig_5;VoeltZichSAvondsNietOpGemak_6;RondomUitgaansgelegenheden_7;RondomPlekkenWaarJongerenRondhangen_8;InHetCentrum_9;WinkelcentrumEigenBuurt_10;InHetOpenbaarVervoer_11;BijHetTreinstation_12;InEigenHuis_13;KansOpWoninginbraak_14;KansOpMishandeling_15;KansOpPortemonneediefstal_16;DoetSAvondsNietOpen_17;RijdtOfLooptOm_18;KinderenMogenErgensNietNaarToe_19;DoorOnbekendenOpStraat_20;DoorOnbekendenInOpenbaarVervoer_21;DoorPersoneelVanWinkelsEnBedrijven_22;DoorPersoneelVanOverheidsinstanties_23;DoorBekendenPartnerFamilieVriend_24
0;Nederland;Waarde;2008;25.5;2.1;15.4;1.8;4.0;2.5;22.7;43.2;22.4;13.6;17.7;26.0;5.3;5.3;1.5;5.5;8.3;4.0;3.6;26.2;17.9;20.0;15.4;7.2
1;Nederland;Waarde;2009;25.8;2.4;17.0;2.0;4.3;2.4;25.2;45.5;23.2;15.0;19.2;26.3;6.6;5.8;1.7;5.3;10.0;4.0;4.0;27.2;18.6;19.0;14.7;7.4
2;Nederland;Waarde;2010;26.3;2.4;16.5;1.9;4.4;2.6;24.2;44.1;23.7;15.0;18.3;25.6;6.9;5.6;1.9;5.0;11.0;4.2;3.7;25.4;16.9;18.5;14.1;7.3
3;Nederland;Waarde;2011;25.2;2.5;17.2;2.1;4.3;2.8;23.1;42.8;21.5;13.7;16.4;23.7;7.0;6.9;1.7;5.2;11.4;4.1;3.7;24.4;15.4;16.2;12.0;7.1
4;Nederland;Betrouwbaarheidsmarge;2008;0.7;0.2;0.6;0.2;0.3;0.3;0.8;0.9;0.8;0.6;0.7;0.8;0.4;0.4;0.2;0.3;0.4;0.4;0.4;0.8;0.7;0.8;0.7;0.5
5;Nederland;Betrouwbaarheidsmarge;2009;0.4;0.1;0.3;0.1;0.2;0.2;0.6;0.6;0.6;0.5;0.5;0.6;0.3;0.2;0.1;0.2;0.3;0.2;0.2;0.7;0.6;0.6;0.5;0.4
6;Nederland;Betrouwbaarheidsmarge;2010;0.6;0.2;0.5;0.2;0.3;0.2;0.7;0.8;0.7;0.6;0.6;0.7;0.4;0.3;0.2;0.3;0.5;0.3;0.3;0.7;0.6;0.6;0.5;0.4
7;Nederland;Betrouwbaarheidsmarge;2011;0.4;0.1;0.3;0.1;0.2;0.2;0.5;0.6;0.5;0.4;0.4;0.5;0.3;0.2;0.1;0.2;0.3;0.2;0.2;0.6;0.5;0.6;0.5;0.4
8;Groningen (PO);Waarde;2008;24.8;1.5;15.2;2.0;3.4;1.9;23.8;38.0;22.1;11.5;13.8;22.7;5.8;3.6;1.8;2.9;5.4;3.8;3.0;25.6;16.4;19.2;16.9;8.9
9;Groningen (PO);Waarde;2009;25.2;1.9;15.4;1.6;3.2;3.0;25.7;43.2;22.5;13.3;14.2;22.1;5.9;3.7;1.4;4.4;7.2;3.4;3.2;24.0;16.7;19.5;15.5;8.0
