ID;Kenmerken;BelastingDoorGassenOfDampen_1;BelastingDoorStoffen_2;BelastingDoorHuidirriterendeMiddelen_3;ViaContactMetDieren_4;ViaContactMetAfval_5
0;Totaal Kenmerken;15;13;10;4;10
1;Mannen;20;17;10;4;7
2;Vrouwen;7;6;11;4;14
3;Autochtonen;14;13;10;4;10
4;Westerse allochtonen;14;13;10;2;8
5;Niet-westerse allochtonen;15;13;10;3;14
6;15-24 jarigen;14;14;12;4;16
7;25-34 jarigen;15;13;12;4;10
8;35-44 jarigen;15;13;11;4;9
9;45-54 jarigen;14;12;9;4;8
10;55-64 jarigen;13;12;8;5;8
11;Laag opgeleiden;21;19;12;5;13
12;Middelbaar opgeleiden;16;14;12;5;12
13;Hoger opgeleiden;6;5;6;2;4
