ID;PlaatsEnGemeentenamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;Provincienaam_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9
45;46;677;Hulst                          ;100;Overig Oost-Zeeuwsch-Vlaanderen         ;29;Zeeland       ;nee;nee;Absdalepolder                  
46;47;503;Delft                          ;82;Delft                                   ;28;Zuid-Holland  ;nee;nee;Abtswoude                      
47;48;70;Franekeradeel                  ;12;Friese Bouwstreek                       ;21;Friesland     ;ja ;nee;Achlum                         
48;49;772;Eindhoven                      ;113;Eindhoven                               ;30;Noord-Brabant ;nee;nee;Acht                           
49;50;340;Rhenen                         ;44;Utrechtse Heuvelrug                     ;26;Utrecht       ;nee;nee;Achterberg                     
50;51;736;De Ronde Venen                 ;48;Vechtstreek en Plassengebied in Utrecht ;26;Utrecht       ;nee;nee;Achterbos                      
51;52;743;Asten                          ;118;Brabantse Peel                          ;30;Noord-Brabant ;nee;nee;Achterbosch                    
52;53;1659;Laarbeek                       ;115;Industriegebied Helmond                 ;30;Noord-Brabant ;nee;nee;Achterbosch                    
53;54;491;Bergambacht                    ;75;Krimpenerwaard                          ;28;Zuid-Holland  ;nee;nee;Achterbroek                    
54;55;847;Someren                        ;118;Brabantse Peel                          ;30;Noord-Brabant ;nee;nee;Achterbroek                    
55;56;18;Hoogezand-Sappemeer            ;4;Groninger Veenkoloniën                  ;20;Groningen     ;nee;nee;Achterdiep                     
56;57;1709;Moerdijk                       ;101;Zeekleigebied in Noord-Brabant          ;30;Noord-Brabant ;nee;nee;Achterdijk                     
57;58;1876;Bronckhorst                    ;28;Overige gemeenten westelijke Achterhoek ;25;Gelderland    ;nee;nee;Achterdrempt                   
58;59;866;Waalre                         ;114;Randgebied Eindhoven                    ;30;Noord-Brabant ;nee;nee;Achtereind                     
59;60;840;Rucphen                        ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;Noord-Brabant ;nee;nee;Achterhoek                     
60;61;642;Zwijndrecht                    ;87;Oostelijk IJsselmonde                   ;28;Zuid-Holland  ;nee;nee;Achter-Lindt                   
61;62;118;Hoogeveen                      ;18;Zuid-Drents Randgebied                  ;22;Drenthe       ;nee;nee;Achterom                       
62;63;828;Oss                            ;111;Maaskant                                ;30;Noord-Brabant ;nee;nee;Achterschaijk                  
63;64;353;IJsselstein                    ;46;Nieuwegein en IJsselstein               ;26;Utrecht       ;nee;nee;Achtersloot                    
64;65;479;Zaanstad                       ;58;Zaanstreek                              ;27;Noord-Holland ;nee;nee;Achtersluispolder              
65;66;858;Valkenswaard                   ;117;Valkenswaard en oostelijke randgemeenten;30;Noord-Brabant ;nee;nee;Achterste Brug                 
66;67;109;Coevorden                      ;18;Zuid-Drents Randgebied                  ;22;Drenthe       ;nee;nee;Achterste Erm                  
67;68;964;Sevenum                        ;120;Noord-Limburg                           ;31;Limburg       ;nee;nee;Achterste Hees                 
68;69;828;Oss                            ;111;Maaskant                                ;30;Noord-Brabant ;nee;nee;Achterste Heide                
69;70;1667;Reusel-De Mierden              ;116;Kempenland                              ;30;Noord-Brabant ;nee;nee;Achterste Heikant              
70;71;226;Duiven                         ;26;De Lijmers                              ;25;Gelderland    ;nee;nee;Achterstehoek                  
71;72;9;Ten Boer                       ;1;Groninger Hoogeland en N. Westerkwartier;20;Groningen     ;nee;nee;Achter-Thesinge                
72;73;327;Leusden                        ;43;Utrechtse Vallei en Eemgebied           ;26;Utrecht       ;ja ;nee;Achterveld                     
73;74;160;Hardenberg                     ;21;Noordoost-Overijssel                    ;23;Overijssel    ;nee;nee;Achterveld, In het             
74;75;1859;Berkelland                     ;30;Overige gemeenten oostelijke Achterhoek ;25;Gelderland    ;nee;nee;Achterveld, In het             
75;76;222;Doetinchem                     ;27;Oude-IJsselgebied (westelijk deel)      ;25;Gelderland    ;nee;nee;Achterwehl                     
76;77;310;De Bilt                        ;44;Utrechtse Heuvelrug                     ;26;Utrecht       ;nee;nee;Achterwetering                 
77;78;420;Medemblik                      ;54;Midden- en oostelijk West-Friesland     ;27;Noord-Holland ;nee;nee;Achterwijzend                  
78;79;335;Montfoort                      ;49;Utrechts Weidegebied                    ;26;Utrecht       ;nee;nee;Achthoven                      
79;80;707;Zederik                        ;78;Vijfheerenlanden                        ;28;Zuid-Holland  ;nee;nee;Achthoven                      
80;81;580;Oostflakkee                    ;92;Goeree en Overflakkee                   ;28;Zuid-Holland  ;ja ;nee;Achthuizen                     
81;82;59;Achtkarspelen                  ;9;Fries Zandgebied                        ;21;Friesland     ;nee;ja ;Achtkarspelen                  
82;83;879;Zundert                        ;104;Gebied om Breda                         ;30;Noord-Brabant ;ja ;nee;Achtmaal                       
83;84;569;Nieuwkoop                      ;72;Noordelijke Veenstreek in Zuid-Holland  ;28;Zuid-Holland  ;nee;nee;Achttienhoven                  
84;85;310;De Bilt                        ;44;Utrechtse Heuvelrug                     ;26;Utrecht       ;nee;nee;Achttienhoven-Westbroek        
85;86;236;Geldermalsen                   ;38;Westelijke Betuwe                       ;25;Gelderland    ;ja ;nee;Acquoy                         
86;87;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Groningen     ;ja ;nee;Adorp                          
87;88;56;Zuidhorn                       ;1;Groninger Hoogeland en N. Westerkwartier;20;Groningen     ;ja ;nee;Aduard                         
88;89;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Groningen     ;nee;nee;Aduarderzijl                   
89;90;377;Bloemendaal                    ;61;Overige gemeenten Zuid-Kennemerland     ;27;Noord-Holland ;ja ;nee;Aerdenhout                     
90;91;196;Rijnwaarden                    ;26;De Lijmers                              ;25;Gelderland    ;ja ;nee;Aerdt                          
91;92;457;Weesp                          ;65;Vechtstreek in Noord-Holland            ;27;Noord-Holland ;nee;nee;Aetveldsche Polder             
92;93;225;Druten                         ;41;Land van Maas en Waal                   ;25;Gelderland    ;ja ;nee;Afferden                       
93;94;893;Bergen (L.)                    ;120;Noord-Limburg                           ;31;Limburg       ;ja ;nee;Afferden                       
94;95;1774;Dinkelland                     ;24;Overige gemeenten in Twente             ;23;Overijssel    ;ja ;nee;Agelo                          
95;96;48;Vlagtwedde                     ;4;Groninger Veenkoloniën                  ;20;Groningen     ;nee;nee;Agobuurt                       
96;97;893;Bergen (L.)                    ;120;Noord-Limburg                           ;31;Limburg       ;nee;nee;Aijen                          
97;98;383;Castricum                      ;55;Noord-Kennemerland                      ;27;Noord-Holland ;ja ;nee;Akersloot                      
98;99;85;Ooststellingwerf               ;9;Fries Zandgebied                        ;21;Friesland     ;nee;nee;Akinga                         
99;100;1674;Roosendaal                     ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;Noord-Brabant ;nee;nee;Akker                          
100;101;861;Veldhoven                      ;114;Randgebied Eindhoven                    ;30;Noord-Brabant ;nee;nee;Akkereind                      
101;102;1714;Sluis                          ;98;West-Zeeuwsch-Vlaanderen                ;29;Zeeland       ;nee;nee;Akkerput                       
102;103;1891;Dantumadiel                    ;9;Fries Zandgebied                        ;21;Friesland     ;nee;nee;Akkerwoude                     
103;104;55;Boarnsterhim                   ;10;Fries Weidegebied                       ;21;Friesland     ;ja ;nee;Akkrum                         
104;105;51;Skarsterlân                    ;10;Fries Weidegebied                       ;21;Friesland     ;ja ;nee;Akmarijp                       
105;106;183;Tubbergen                      ;24;Overige gemeenten in Twente             ;23;Overijssel    ;ja ;nee;Albergen                       
106;107;482;Alblasserdam                   ;76;Industriegebied Alblasserwaard          ;28;Zuid-Holland  ;ja ;ja ;Alblasserdam                   
107;108;613;Albrandswaard                  ;86;Westelijk IJsselmonde                   ;28;Zuid-Holland  ;nee;ja ;Albrandswaard                  
108;109;55;Boarnsterhim                   ;10;Fries Weidegebied                       ;21;Friesland     ;ja ;nee;Aldeboarn                      
109;110;737;Tytsjerksteradiel              ;9;Fries Zandgebied                        ;21;Friesland     ;nee;nee;Aldemiede                      
110;111;737;Tytsjerksteradiel              ;9;Fries Zandgebied                        ;21;Friesland     ;nee;nee;Aldtsjerk                      
111;112;263;Maasdriel                      ;42;Bommelerwaard                           ;25;Gelderland    ;ja ;nee;Alem                           
112;113;344;Utrecht                        ;47;Stad Utrecht                            ;26;Utrecht       ;nee;nee;Alendorp                       
113;114;177;Raalte                         ;22;Zuidwest-Overijssel                     ;23;Overijssel    ;nee;nee;Alerdink                       
114;115;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Groningen     ;nee;nee;Alinghuizen                    
115;116;1884;Kaag en Braassem               ;72;Noordelijke Veenstreek in Zuid-Holland  ;28;Zuid-Holland  ;nee;nee;Alkemade                       
116;117;361;Alkmaar                        ;55;Noord-Kennemerland                      ;27;Noord-Holland ;ja ;ja ;Alkmaar                        
117;118;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Groningen     ;nee;nee;Allersma                       
118;119;710;Wûnseradiel                    ;10;Fries Weidegebied                       ;21;Friesland     ;ja ;nee;Allingawier                    
119;120;141;Almelo                         ;24;Overige gemeenten in Twente             ;23;Overijssel    ;ja ;ja ;Almelo                         
120;121;262;Lochem                         ;28;Overige gemeenten westelijke Achterhoek ;25;Gelderland    ;ja ;nee;Almen                          
121;122;72;Harlingen                      ;12;Friese Bouwstreek                       ;21;Friesland     ;nee;nee;Almenum                        
122;123;34;Almere                         ;129;Zuidelijke IJsselmeerpolders            ;24;Flevoland     ;ja ;ja ;Almere                         
123;124;34;Almere                         ;129;Zuidelijke IJsselmeerpolders            ;24;Flevoland     ;nee;nee;Almere-Buiten                  
124;125;34;Almere                         ;129;Zuidelijke IJsselmeerpolders            ;24;Flevoland     ;nee;nee;Almere-Haven                   
125;126;34;Almere                         ;129;Zuidelijke IJsselmeerpolders            ;24;Flevoland     ;nee;nee;Almere-Stad                    
126;127;874;Woudrichem                     ;105;Land van Altena                         ;30;Noord-Brabant ;ja ;nee;Almkerk                        
127;128;668;West Maas en Waal              ;41;Land van Maas en Waal                   ;25;Gelderland    ;ja ;nee;Alphen                         
128;129;1723;Alphen-Chaam                   ;108;Gebied om Tilburg                       ;30;Noord-Brabant ;ja ;nee;Alphen                         
129;130;484;Alphen aan den Rijn            ;73;Rijnstreek Zuid-Holland                 ;28;Zuid-Holland  ;ja ;ja ;Alphen aan den Rijn            
130;131;1723;Alphen-Chaam                   ;108;Gebied om Tilburg                       ;30;Noord-Brabant ;nee;ja ;Alphen-Chaam                   
131;132;1699;Noordenveld                    ;14;Noord-Drents Randgebied                 ;22;Drenthe       ;nee;nee;Altena                         
132;133;37;Stadskanaal                    ;4;Groninger Veenkoloniën                  ;20;Groningen     ;ja ;nee;Alteveer                       
133;134;118;Hoogeveen                      ;18;Zuid-Drents Randgebied                  ;22;Drenthe       ;ja ;nee;Alteveer                       
134;135;202;Arnhem                         ;35;Arnhem                                  ;25;Gelderland    ;nee;nee;Alteveer                       
135;136;1690;De Wolden                      ;18;Zuid-Drents Randgebied                  ;22;Drenthe       ;ja ;nee;Alteveer                       
136;137;1699;Noordenveld                    ;14;Noord-Drents Randgebied                 ;22;Drenthe       ;ja ;nee;Alteveer                       
137;138;668;West Maas en Waal              ;41;Land van Maas en Waal                   ;25;Gelderland    ;ja ;nee;Altforst                       
138;139;1731;Midden-Drenthe                 ;17;Drentse Zandgronden                     ;22;Drenthe       ;nee;nee;Alting                         
139;140;1731;Midden-Drenthe                 ;17;Drentse Zandgronden                     ;22;Drenthe       ;nee;nee;Alting-Klatering               
140;141;988;Weert                          ;123;Midden-Limburg ten westen van de Maas   ;31;Limburg       ;nee;nee;Altweert                       
141;142;988;Weert                          ;123;Midden-Limburg ten westen van de Maas   ;31;Limburg       ;nee;nee;Altweerterheide                
142;143;296;Wijchen                        ;40;Gebied om Nijmegen                      ;25;Gelderland    ;nee;nee;Alverna                        
143;144;820;Nuenen, Gerwen en Nederwetten  ;114;Randgebied Eindhoven                    ;30;Noord-Brabant ;nee;nee;Alvershool                     
144;145;1735;Hof van Twente                 ;24;Overige gemeenten in Twente             ;23;Overijssel    ;ja ;nee;Ambt Delden                    
145;146;1669;Roerdalen                      ;122;Overig Midden-Limburg ten oosten v. Maas;31;Limburg       ;nee;nee;Ambt Montfort                  
146;147;935;Maastricht                     ;126;Maastricht                              ;31;Limburg       ;nee;nee;Amby                           
147;148;707;Zederik                        ;78;Vijfheerenlanden                        ;28;Zuid-Holland  ;ja ;nee;Ameide                         
148;149;60;Ameland                        ;13;Friese Waddeneilanden                   ;21;Friesland     ;nee;ja ;Ameland                        
149;150;106;Assen                          ;17;Drentse Zandgronden                     ;22;Drenthe       ;nee;nee;Amelte                         
150;151;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;Drenthe       ;ja ;nee;Amen                           
151;152;1507;Horst aan de Maas              ;120;Noord-Limburg                           ;31;Limburg       ;ja ;nee;America                        
152;153;1581;Utrechtse Heuvelrug            ;44;Utrechtse Heuvelrug                     ;26;Utrecht       ;ja ;nee;Amerongen                      
153;154;307;Amersfoort                     ;43;Utrechtse Vallei en Eemgebied           ;26;Utrecht       ;ja ;ja ;Amersfoort                     
154;155;342;Soest                          ;44;Utrechtse Heuvelrug                     ;26;Utrecht       ;nee;nee;Amersfoortsestraat             
155;156;491;Bergambacht                    ;75;Krimpenerwaard                          ;28;Zuid-Holland  ;ja ;nee;Ammerstol                      
156;157;263;Maasdriel                      ;42;Bommelerwaard                           ;25;Gelderland    ;ja ;nee;Ammerzoden                     
157;158;262;Lochem                         ;28;Overige gemeenten westelijke Achterhoek ;25;Gelderland    ;nee;nee;Ampsen                         
158;159;305;Abcoude                        ;48;Vechtstreek en Plassengebied in Utrecht ;26;Utrecht       ;nee;nee;Amstel, Langs de               
159;160;362;Amstelveen                     ;64;Zuidelijk Randgebied Amsterdam          ;27;Noord-Holland ;nee;nee;Amsteldijk                     
160;161;828;Oss                            ;111;Maaskant                                ;30;Noord-Brabant ;nee;nee;Amsteleind                     
161;162;736;De Ronde Venen                 ;48;Vechtstreek en Plassengebied in Utrecht ;26;Utrecht       ;ja ;nee;Amstelhoek                     
162;163;362;Amstelveen                     ;64;Zuidelijk Randgebied Amsterdam          ;27;Noord-Holland ;ja ;ja ;Amstelveen                     
163;164;962;Schinnen                       ;124;Westelijke Mijnstreek                   ;31;Limburg       ;ja ;nee;Amstenrade                     
164;165;363;Amsterdam                      ;63;Amsterdam                               ;27;Noord-Holland ;ja ;ja ;Amsterdam                      
165;166;114;Emmen                          ;15;Emmen                                   ;22;Drenthe       ;nee;nee;Amsterdamsche Veld             
166;167;363;Amsterdam                      ;63;Amsterdam                               ;27;Noord-Holland ;ja ;nee;Amsterdam-Zuidoost             
167;168;10;Delfzijl                       ;2;Appingedam en Delfzijl                  ;20;Groningen     ;nee;nee;Amsweer                        
168;169;874;Woudrichem                     ;105;Land van Altena                         ;30;Noord-Brabant ;ja ;nee;Andel                          
169;170;53;Winsum                         ;6;Groninger centrale Weidestreek          ;20;Groningen     ;ja ;nee;Andel, Den                     
170;171;1734;Overbetuwe                     ;37;Oostelijke Betuwe                       ;25;Gelderland    ;ja ;nee;Andelst                        
171;172;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;Drenthe       ;ja ;nee;Anderen                        
172;173;364;Andijk                         ;54;Midden- en oostelijk West-Friesland     ;27;Noord-Holland ;ja ;ja ;Andijk                         
173;174;160;Hardenberg                     ;21;Noordoost-Overijssel                    ;23;Overijssel    ;ja ;nee;Ane                            
174;175;160;Hardenberg                     ;21;Noordoost-Overijssel                    ;23;Overijssel    ;ja ;nee;Anerveen                       
175;176;160;Hardenberg                     ;21;Noordoost-Overijssel                    ;23;Overijssel    ;ja ;nee;Anevelde                       
176;177;114;Emmen                          ;15;Emmen                                   ;22;Drenthe       ;nee;nee;Angelslo                       
177;178;1705;Lingewaard                     ;37;Oostelijke Betuwe                       ;25;Gelderland    ;ja ;nee;Angeren                        
178;179;299;Zevenaar                       ;26;De Lijmers                              ;25;Gelderland    ;ja ;nee;Angerlo                        
179;180;1690;De Wolden                      ;18;Zuid-Drents Randgebied                  ;22;Drenthe       ;nee;nee;Anholt                         
180;181;58;Dongeradeel                    ;12;Friese Bouwstreek                       ;21;Friesland     ;ja ;nee;Anjum                          
181;182;1696;Wijdemeren                     ;65;Vechtstreek in Noord-Holland            ;27;Noord-Holland ;ja ;nee;Ankeveen                       
182;183;1696;Wijdemeren                     ;65;Vechtstreek in Noord-Holland            ;27;Noord-Holland ;nee;nee;Ankeveense Rade                
183;184;200;Apeldoorn                      ;33;Apeldoorn                               ;25;Gelderland    ;nee;nee;Anklaar                        
184;185;148;Dalfsen                        ;20;IJssel- en Vechtdelta                   ;23;Overijssel    ;nee;nee;Ankum                          
185;186;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;Drenthe       ;ja ;nee;Anloo                          
186;187;716;Tholen                         ;94;Sint Philipsland en Tholen              ;29;Zeeland       ;nee;nee;Anna Jacobapolder              
187;188;366;Anna Paulowna                  ;52;Overige gemeenten Kop van Noord-Holland ;27;Noord-Holland ;ja ;ja ;Anna Paulowna                  
188;189;935;Maastricht                     ;126;Maastricht                              ;31;Limburg       ;nee;nee;Annadal                        
189;190;683;Wymbritseradiel                ;10;Fries Weidegebied                       ;21;Friesland     ;nee;nee;Anneburen                      
190;191;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;Drenthe       ;ja ;nee;Annen                          
191;192;1711;Echt-Susteren                  ;122;Overig Midden-Limburg ten oosten v. Maas;31;Limburg       ;nee;nee;Annendaal                      
192;193;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;Drenthe       ;nee;nee;Annerveen                      
193;194;1680;Aa en Hunze                    ;16;Overige gemeenten Drentse Veenkoloniën  ;22;Drenthe       ;ja ;nee;Annerveenschekanaal            
194;195;106;Assen                          ;17;Drentse Zandgronden                     ;22;Drenthe       ;nee;nee;Anreep                         
195;196;1690;De Wolden                      ;18;Zuid-Drents Randgebied                  ;22;Drenthe       ;ja ;nee;Ansen                          
196;197;48;Vlagtwedde                     ;4;Groninger Veenkoloniën                  ;20;Groningen     ;ja ;nee;Apel, Ter                      
197;198;200;Apeldoorn                      ;33;Apeldoorn                               ;25;Gelderland    ;ja ;ja ;Apeldoorn                      
198;199;48;Vlagtwedde                     ;4;Groninger Veenkoloniën                  ;20;Groningen     ;ja ;nee;Apelkanaal, Ter                
199;200;150;Deventer                       ;22;Zuidwest-Overijssel                     ;23;Overijssel    ;nee;nee;Apenhuizen                     
200;201;230;Elburg                         ;32;IJsselmeerkust                          ;25;Gelderland    ;nee;nee;Aperloo                        
201;202;267;Nijkerk                        ;31;Gelderse Vallei                         ;25;Gelderland    ;nee;nee;Appel                          
202;203;85;Ooststellingwerf               ;9;Fries Zandgebied                        ;21;Friesland     ;ja ;nee;Appelscha                      
203;204;668;West Maas en Waal              ;41;Land van Maas en Waal                   ;25;Gelderland    ;ja ;nee;Appeltern                      
204;205;285;Voorst                         ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gelderland    ;nee;nee;Appen (Scheveld)               
205;206;3;Appingedam                     ;2;Appingedam en Delfzijl                  ;20;Groningen     ;ja ;ja ;Appingedam                     
206;207;885;Arcen en Velden                ;120;Noord-Limburg                           ;31;Limburg       ;ja ;nee;Arcen                          
207;208;885;Arcen en Velden                ;120;Noord-Limburg                           ;31;Limburg       ;nee;ja ;Arcen en Velden                
208;209;175;Ommen                          ;21;Noordoost-Overijssel                    ;23;Overijssel    ;nee;nee;Archem                         
209;210;755;Boekel                         ;112;Midden-Meijerij                         ;30;Noord-Brabant ;nee;nee;Arendsnest                     
210;211;951;Nuth                           ;125;Oostelijke Mijnstreek                   ;31;Limburg       ;nee;nee;Arensgenhout                   
211;212;689;Giessenlanden                  ;77;Overige gemeenten Alblasserwaard        ;28;Zuid-Holland  ;ja ;nee;Arkel                          
212;213;70;Franekeradeel                  ;12;Friese Bouwstreek                       ;21;Friesland     ;nee;nee;Arkens                         
213;214;710;Wûnseradiel                    ;10;Fries Weidegebied                       ;21;Friesland     ;nee;nee;Arkum                          
214;215;1690;De Wolden                      ;18;Zuid-Drents Randgebied                  ;22;Drenthe       ;nee;nee;Arlo, Ten                      
215;216;262;Lochem                         ;28;Overige gemeenten westelijke Achterhoek ;25;Gelderland    ;nee;nee;Armhoede                       
216;217;1690;De Wolden                      ;18;Zuid-Drents Randgebied                  ;22;Drenthe       ;nee;nee;Armweide                       
217;218;687;Middelburg                     ;95;Kanaalzone Walcheren                    ;29;Zeeland       ;ja ;nee;Arnemuiden                     
218;219;202;Arnhem                         ;35;Arnhem                                  ;25;Gelderland    ;ja ;ja ;Arnhem                         
219;220;534;Hillegom                       ;68;Zuidhollandse Bollenstreek              ;28;Zuid-Holland  ;nee;nee;Arnoud                         
220;221;175;Ommen                          ;21;Noordoost-Overijssel                    ;23;Overijssel    ;ja ;nee;Arriën                         
221;222;175;Ommen                          ;21;Noordoost-Overijssel                    ;23;Overijssel    ;nee;nee;Arriërveld                     
222;223;710;Wûnseradiel                    ;10;Fries Weidegebied                       ;21;Friesland     ;ja ;nee;Arum                           
223;224;10;Delfzijl                       ;2;Appingedam en Delfzijl                  ;20;Groningen     ;nee;nee;Arwerd                         
224;225;1640;Leudal                         ;123;Midden-Limburg ten westen van de Maas   ;31;Limburg       ;nee;nee;As                             
225;226;214;Buren                          ;37;Oostelijke Betuwe                       ;25;Gelderland    ;ja ;nee;Asch                           
226;227;1659;Laarbeek                       ;115;Industriegebied Helmond                 ;30;Noord-Brabant ;nee;nee;Asdonk                         
227;228;957;Roermond                       ;122;Overig Midden-Limburg ten oosten v. Maas;31;Limburg       ;nee;nee;Asenray                        
228;229;733;Lingewaal                      ;38;Westelijke Betuwe                       ;25;Gelderland    ;ja ;nee;Asperen                        
229;230;327;Leusden                        ;43;Utrechtse Vallei en Eemgebied           ;26;Utrecht       ;nee;nee;Asschat                        
