ID;Geslacht;Leeftijd;Marges;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDatHeeftVerzuimd_2;GemiddeldeVerzuimfrequentie_3;GemiddeldeVerzuimduur_4;k_1Tot5Werkdagen_5;k_5Tot20Werkdagen_6;k_20Tot210Werkdagen_7;k_210WerkdagenOfMeer_8;JaHoofdzakelijkGevolgVanMijnWerk_9;JaVoorEenDeelGevolgVanMijnWerk_10;NeeGeenGevolgVanMijnWerk_11;WeetNiet_12
0;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2014;3.7;43.0;1.0;6.4;69.4;19.1;10.4;1.0;8.5;15.0;71.3;5.2
1;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2015;4.0;44.9;1.0;6.9;67.9;19.4;11.7;1.0;8.0;13.6;72.9;5.5
2;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2016;3.8;45.7;1.1;6.8;68.6;18.9;11.4;1.0;8.5;14.9;71.6;5.1
3;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2017;4.0;44.0;1.0;7.0;69.9;18.2;10.8;1.1;9.2;14.7;70.6;5.6
4;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2018;4.4;47.9;1.2;7.6;68.2;19.3;11.5;1.1;9.4;15.0;70.2;5.5
5;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2019;4.5;46.8;1.2;7.8;68.5;18.4;11.9;1.2;9.2;15.0;69.5;6.2
6;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2020;4.3;43.6;1.2;7.5;64.9;21.6;12.3;1.2;9.1;13.9;70.2;6.9
7;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2021;4.6;43.6;1.2;8.0;62.6;22.4;13.5;1.5;9.9;14.6;68.1;7.4
8;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2022;5.2;57.6;1.5;9.0;64.1;25.9;9.0;1.0;7.2;11.6;74.0;7.1
9;Totaal mannen en vrouwen;15 tot 75 jaar;Waarde;2023;4.8;50.8;1.4;8.2;69.0;20.7;9.2;1.1;7.1;12.3;73.8;6.9
10;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2014;3.6;42.4;1.0;6.2;68.9;18.7;10.1;0.9;8.1;14.6;70.7;4.9
11;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2015;3.8;44.4;1.0;6.7;67.4;18.9;11.3;0.9;7.7;13.2;72.4;5.3
12;Totaal mannen en vrouwen;15 tot 75 jaar;Ondergrens 95%-interval;2016;3.7;45.2;1.1;6.5;68.1;18.5;11.0;0.9;8.2;14.4;71.0;4.8
