ID;Geslacht;Leeftijd;Geboorteland;Herkomstland;SamenstellingHuishouden;SociaaleconomischeCategorie;Perioden;TotaalAlleBeeindigingen_1;DoorSchoneLei_2;DoorAkkoord_3;DoorFaillissement_4;DoorBetalingenHervat_5;ZonderSchoneLei_6;Onbekend_7
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;1999;200.0;;75.0;100.0;;;20.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2000;935.0;175.0;245.0;435.0;;;80.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2001;2100.0;515.0;375.0;1020.0;;;190.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2002;4395.0;2670.0;280.0;1145.0;;;300.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2003;8020.0;5765.0;190.0;1565.0;10.0;15.0;475.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2004;9045.0;6390.0;170.0;1715.0;80.0;335.0;355.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2005;10635.0;7035.0;240.0;2295.0;160.0;800.0;100.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2006;11210.0;7265.0;345.0;2445.0;210.0;860.0;80.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2007;12655.0;8890.0;380.0;2120.0;305.0;880.0;80.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2008;14125.0;10220.0;410.0;785.0;420.0;2060.0;230.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2009;13905.0;10350.0;285.0;795.0;430.0;1660.0;385.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2010;13515.0;10830.0;190.0;575.0;270.0;1365.0;280.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2011;10960.0;8340.0;255.0;550.0;185.0;1375.0;260.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2012;9935.0;7125.0;215.0;625.0;205.0;1470.0;300.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2013;11280.0;8300.0;225.0;605.0;205.0;1740.0;200.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2014;13450.0;10795.0;210.0;490.0;220.0;1575.0;160.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2015;14000.0;11770.0;190.0;300.0;190.0;1410.0;145.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2016;12680.0;10865.0;150.0;235.0;175.0;1110.0;140.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2017;12260.0;10645.0;155.0;200.0;190.0;945.0;130.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2018;11225.0;9715.0;105.0;160.0;190.0;770.0;285.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2019;9900.0;8725.0;95.0;135.0;260.0;565.0;120.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2020;8030.0;6890.0;75.0;85.0;145.0;385.0;450.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2021;5805.0;2750.0;45.0;45.0;105.0;125.0;2735.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2022;4900.0;650.0;40.0;45.0;55.0;45.0;4070.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2023;3110.0;250.0;20.0;40.0;15.0;10.0;2770.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;1999;80.0;;30.0;40.0;;;10.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2000;290.0;40.0;110.0;125.0;;;20.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2001;700.0;135.0;180.0;310.0;;;75.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2002;1430.0;850.0;120.0;350.0;;;105.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2003;2495.0;1845.0;75.0;385.0;;;185.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2004;2495.0;1825.0;60.0;415.0;40.0;60.0;90.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2005;2915.0;2025.0;95.0;560.0;70.0;140.0;20.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2006;3305.0;2160.0;135.0;675.0;100.0;215.0;25.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2007;4355.0;3040.0;150.0;720.0;180.0;245.0;25.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2008;5330.0;3905.0;165.0;345.0;230.0;615.0;75.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2009;5325.0;4030.0;120.0;360.0;245.0;445.0;120.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2010;4860.0;3995.0;85.0;225.0;140.0;330.0;80.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2011;3850.0;3005.0;110.0;230.0;80.0;350.0;75.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2012;3325.0;2480.0;70.0;260.0;105.0;330.0;75.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2013;3665.0;2865.0;80.0;250.0;100.0;330.0;35.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2014;4465.0;3725.0;85.0;205.0;120.0;295.0;30.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2015;4680.0;4035.0;90.0;120.0;100.0;305.0;30.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2016;4460.0;3830.0;75.0;125.0;100.0;295.0;35.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2017;4755.0;4110.0;80.0;115.0;135.0;260.0;45.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2018;4615.0;3970.0;55.0;100.0;135.0;240.0;115.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2019;4485.0;3955.0;50.0;80.0;180.0;180.0;35.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2020;3675.0;3165.0;45.0;55.0;105.0;110.0;195.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2021;2705.0;1350.0;35.0;20.0;65.0;30.0;1210.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2022;2360.0;310.0;25.0;25.0;35.0;15.0;1945.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Werknemer;2023;1455.0;95.0;15.0;25.0;;;1305.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Zelfstandige (totaal);1999;10.0;;;;;;
