ID;Persoonskenmerken;Cijfersoort;Perioden;GeweldsdelictenTotaal_1;Mishandeling_2;Bedreiging_3;GeweldMetSeksueleBedoelingen_4;VermogensdelictenTotaal_5;PogingTotInbraak_6;PogingTotInbraak_7;Inbraak_8;Fietsdiefstal_9;Autodiefstal_10;DiefstalUitOfVanafAuto_11;DiefstalAndereVoertuigen_12;PogingTotZakkenrollerijBeroving_13;ZakkenrollerijZonderGeweld_14;ZakkenrollerijMetGeweld_15;OverigeDiefstal_16;VandalismedelictenTotaal_17;VernielingenAanVoertuigen_18;OverigeVernielingen_19;SlachtofferschapTotaal_20;CybercrimeTotaal_21;Identiteitsfraude_22;KoopEnVerkoopfraude_23;Hacken_24;Cyberpesten_25
0;Totaal persoonskenmerken;1;2012;2.6;0.9;1.6;0.1;13.2;2.9;1.7;1.2;3.7;0.2;2.6;0.7;2.3;1.6;0.1;3.8;7.7;4.9;2.8;19.8;12.1;1.5;2.9;6.0;3.1
1;Totaal persoonskenmerken;2;2012;0.2;0.1;0.1;0.0;0.3;0.2;0.1;0.1;0.2;0.0;0.2;0.1;0.2;0.1;0.0;0.2;0.3;0.2;0.2;0.4;0.3;0.1;0.2;0.2;0.2
2;Geslacht: mannen;1;2012;3.2;1.1;1.8;0.1;12.8;3.0;1.7;1.3;3.7;0.2;2.8;0.6;1.9;1.4;0.1;3.4;8.3;5.6;2.7;20.3;12.5;1.6;3.2;6.4;2.9
3;Geslacht: mannen;2;2012;0.3;0.2;0.2;0.0;0.5;0.3;0.2;0.2;0.3;0.1;0.2;0.1;0.2;0.2;0.1;0.2;0.4;0.3;0.2;0.6;0.5;0.2;0.3;0.3;0.2
4;Geslacht: vrouwen;1;2012;2.0;0.6;1.3;0.1;13.6;2.9;1.7;1.2;3.6;0.2;2.3;0.7;2.6;1.9;0.1;4.2;7.1;4.2;2.9;19.4;11.6;1.4;2.7;5.6;3.3
5;Geslacht: vrouwen;2;2012;0.2;0.1;0.2;0.1;0.5;0.2;0.2;0.1;0.3;0.1;0.2;0.1;0.2;0.2;0.1;0.3;0.3;0.3;0.2;0.5;0.4;0.1;0.2;0.3;0.2
6;Leeftijd: 15 tot 25 jaar;1;2012;5.3;2.5;2.5;0.2;18.5;3.1;1.7;1.4;8.3;0.1;1.3;0.8;4.4;3.1;0.3;4.9;7.5;5.0;2.5;26.2;19.5;0.9;4.3;9.2;8.0
7;Leeftijd: 15 tot 25 jaar;2;2012;0.6;0.4;0.5;0.2;1.1;0.5;0.3;0.4;0.8;0.1;0.3;0.3;0.6;0.5;0.2;0.6;0.7;0.6;0.4;1.2;1.1;0.3;0.6;0.8;0.8
8;Leeftijd: 25 tot 45 jaar;1;2012;2.8;0.9;1.9;0.1;14.4;2.9;1.7;1.2;4.1;0.2;3.4;0.7;2.0;1.5;0.1;4.1;9.0;6.1;2.9;22.2;14.9;1.9;4.2;7.4;3.1
9;Leeftijd: 25 tot 45 jaar;2;2012;0.3;0.2;0.2;0.1;0.7;0.3;0.3;0.2;0.4;0.1;0.3;0.2;0.3;0.2;0.1;0.3;0.5;0.4;0.3;0.8;0.6;0.2;0.4;0.5;0.3
10;Leeftijd: 45 tot 65 jaar;1;2012;2.1;0.5;1.5;0.0;12.4;3.2;1.9;1.3;2.5;0.2;2.8;0.7;1.6;1.1;0.1;4.1;8.1;5.0;3.1;19.1;10.0;1.8;2.4;4.9;2.1
11;Leeftijd: 45 tot 65 jaar;2;2012;0.2;0.1;0.2;0.0;0.5;0.3;0.2;0.2;0.2;0.1;0.2;0.1;0.2;0.1;0.1;0.3;0.4;0.3;0.3;0.6;0.4;0.2;0.2;0.3;0.2
