ID;Leeftijd;Geslacht;Herkomst;Diagnoseindeling;Marges;Perioden;PersonenMetDiagnose_1
0;10000;Totaal mannen en vrouwen;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2022;276
1;10000;Totaal mannen en vrouwen;Totaal;A. Algemeen en niet gespecificeerd;Waarde;2023;278
2;10000;Totaal mannen en vrouwen;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2022;275
3;10000;Totaal mannen en vrouwen;Totaal;A. Algemeen en niet gespecificeerd;Ondergrens 95%-interval;2023;278
4;10000;Totaal mannen en vrouwen;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2022;276
5;10000;Totaal mannen en vrouwen;Totaal;A. Algemeen en niet gespecificeerd;Bovengrens 95%-interval;2023;279
6;10000;Totaal mannen en vrouwen;Totaal;A03 Koorts;Waarde;2022;20
7;10000;Totaal mannen en vrouwen;Totaal;A03 Koorts;Waarde;2023;17
8;10000;Totaal mannen en vrouwen;Totaal;A03 Koorts;Ondergrens 95%-interval;2022;20
9;10000;Totaal mannen en vrouwen;Totaal;A03 Koorts;Ondergrens 95%-interval;2023;17
10;10000;Totaal mannen en vrouwen;Totaal;A03 Koorts;Bovengrens 95%-interval;2022;20
11;10000;Totaal mannen en vrouwen;Totaal;A03 Koorts;Bovengrens 95%-interval;2023;17
12;10000;Totaal mannen en vrouwen;Totaal;A04 Moeheid / zwakte;Waarde;2022;42
13;10000;Totaal mannen en vrouwen;Totaal;A04 Moeheid / zwakte;Waarde;2023;44
14;10000;Totaal mannen en vrouwen;Totaal;A04 Moeheid / zwakte;Ondergrens 95%-interval;2022;42
15;10000;Totaal mannen en vrouwen;Totaal;A04 Moeheid / zwakte;Ondergrens 95%-interval;2023;44
16;10000;Totaal mannen en vrouwen;Totaal;A04 Moeheid / zwakte;Bovengrens 95%-interval;2022;42
17;10000;Totaal mannen en vrouwen;Totaal;A04 Moeheid / zwakte;Bovengrens 95%-interval;2023;44
18;10000;Totaal mannen en vrouwen;Totaal;A05 Algehele achteruitgang;Waarde;2022;15
19;10000;Totaal mannen en vrouwen;Totaal;A05 Algehele achteruitgang;Waarde;2023;16
20;10000;Totaal mannen en vrouwen;Totaal;A05 Algehele achteruitgang;Ondergrens 95%-interval;2022;14
21;10000;Totaal mannen en vrouwen;Totaal;A05 Algehele achteruitgang;Ondergrens 95%-interval;2023;16
22;10000;Totaal mannen en vrouwen;Totaal;A05 Algehele achteruitgang;Bovengrens 95%-interval;2022;15
23;10000;Totaal mannen en vrouwen;Totaal;A05 Algehele achteruitgang;Bovengrens 95%-interval;2023;16
24;10000;Totaal mannen en vrouwen;Totaal;A06 Flauwvallen/syncope;Waarde;2022;9
25;10000;Totaal mannen en vrouwen;Totaal;A06 Flauwvallen/syncope;Waarde;2023;9
26;10000;Totaal mannen en vrouwen;Totaal;A06 Flauwvallen/syncope;Ondergrens 95%-interval;2022;9
27;10000;Totaal mannen en vrouwen;Totaal;A06 Flauwvallen/syncope;Ondergrens 95%-interval;2023;9
28;10000;Totaal mannen en vrouwen;Totaal;A06 Flauwvallen/syncope;Bovengrens 95%-interval;2022;9
29;10000;Totaal mannen en vrouwen;Totaal;A06 Flauwvallen/syncope;Bovengrens 95%-interval;2023;10
30;10000;Totaal mannen en vrouwen;Totaal;A12 Allergie / allergische reactie;Waarde;2022;19
