ID;Geslacht;Niveau;Leerweg;Studierichting;Regiokenmerken;Perioden;MboStudenten_1
0;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2015/'16;484141.0
1;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2016/'17;491886.0
2;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2017/'18;496259.0
3;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2018/'19;506570.0
4;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2019/'20;512280.0
5;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2020/'21;518936.0
6;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Nederland;2021/'22;513136.0
7;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2015/'16;59218.0
8;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2016/'17;60869.0
9;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2017/'18;61426.0
10;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2018/'19;62817.0
11;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2019/'20;63085.0
12;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2020/'21;63270.0
13;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Nederland (LD);2021/'22;62527.0
14;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2015/'16;114910.0
15;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2016/'17;117877.0
16;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2017/'18;119629.0
17;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2018/'19;122298.0
18;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2019/'20;124569.0
19;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2020/'21;125967.0
20;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Oost-Nederland (LD);2021/'22;124816.0
21;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;West-Nederland (LD);2015/'16;211021.0
22;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;West-Nederland (LD);2016/'17;213903.0
23;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;West-Nederland (LD);2017/'18;215386.0
24;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;West-Nederland (LD);2018/'19;220263.0
25;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;West-Nederland (LD);2019/'20;222526.0
26;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;West-Nederland (LD);2020/'21;226036.0
27;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;West-Nederland (LD);2021/'22;223368.0
28;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Nederland (LD);2015/'16;97632.0
29;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Nederland (LD);2016/'17;98048.0
30;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Nederland (LD);2017/'18;98177.0
31;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Nederland (LD);2018/'19;99520.0
32;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Nederland (LD);2019/'20;100362.0
33;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Nederland (LD);2020/'21;101761.0
34;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Nederland (LD);2021/'22;100617.0
35;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2015/'16;1360.0
36;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2016/'17;1189.0
37;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2017/'18;1641.0
38;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2018/'19;1672.0
39;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2019/'20;1738.0
40;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2020/'21;1902.0
41;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Niet in te delen (LD);2021/'22;1808.0
42;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2015/'16;18992.0
43;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2016/'17;19404.0
44;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2017/'18;19419.0
45;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2018/'19;19788.0
46;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2019/'20;20023.0
47;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2020/'21;20116.0
48;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Groningen (PV);2021/'22;19873.0
49;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2015/'16;23706.0
50;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2016/'17;24429.0
51;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2017/'18;24633.0
52;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2018/'19;24990.0
53;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Fryslân (PV);2019/'20;24964.0
