ID;Geslacht;Leeftijd;PrognoseInterval;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal;Prognose;2024;17951318
1;Totaal mannen en vrouwen;Totaal;Prognose;2025;18069156
2;Totaal mannen en vrouwen;Totaal;Prognose;2026;18170504
3;Totaal mannen en vrouwen;Totaal;Prognose;2027;18255644
4;Totaal mannen en vrouwen;Totaal;Prognose;2028;18332848
5;Totaal mannen en vrouwen;Totaal;Prognose;2029;18402260
6;Totaal mannen en vrouwen;Totaal;Prognose;2030;18474560
7;Totaal mannen en vrouwen;Totaal;Prognose;2031;18548218
8;Totaal mannen en vrouwen;Totaal;Prognose;2032;18623058
9;Totaal mannen en vrouwen;Totaal;Prognose;2033;18698392
10;Totaal mannen en vrouwen;Totaal;Prognose;2034;18773322
11;Totaal mannen en vrouwen;Totaal;Prognose;2035;18846704
12;Totaal mannen en vrouwen;Totaal;Prognose;2036;18918982
13;Totaal mannen en vrouwen;Totaal;Prognose;2037;18989468
14;Totaal mannen en vrouwen;Totaal;Prognose;2038;19057686
15;Totaal mannen en vrouwen;Totaal;Prognose;2039;19123284
16;Totaal mannen en vrouwen;Totaal;Prognose;2040;19186084
17;Totaal mannen en vrouwen;Totaal;Prognose;2041;19246140
18;Totaal mannen en vrouwen;Totaal;Prognose;2042;19303544
19;Totaal mannen en vrouwen;Totaal;Prognose;2043;19358458
20;Totaal mannen en vrouwen;Totaal;Prognose;2044;19410962
21;Totaal mannen en vrouwen;Totaal;Prognose;2045;19461278
22;Totaal mannen en vrouwen;Totaal;Prognose;2046;19509400
23;Totaal mannen en vrouwen;Totaal;Prognose;2047;19555566
24;Totaal mannen en vrouwen;Totaal;Prognose;2048;19599910
25;Totaal mannen en vrouwen;Totaal;Prognose;2049;19642530
26;Totaal mannen en vrouwen;Totaal;Prognose;2050;19683506
27;Totaal mannen en vrouwen;Totaal;Prognose;2051;19722990
28;Totaal mannen en vrouwen;Totaal;Prognose;2052;19761054
29;Totaal mannen en vrouwen;Totaal;Prognose;2053;19797968
30;Totaal mannen en vrouwen;Totaal;Prognose;2054;19834060
31;Totaal mannen en vrouwen;Totaal;Prognose;2055;19869698
32;Totaal mannen en vrouwen;Totaal;Prognose;2056;19905224
33;Totaal mannen en vrouwen;Totaal;Prognose;2057;19941054
34;Totaal mannen en vrouwen;Totaal;Prognose;2058;19977654
35;Totaal mannen en vrouwen;Totaal;Prognose;2059;20015528
36;Totaal mannen en vrouwen;Totaal;Prognose;2060;20055186
37;Totaal mannen en vrouwen;Totaal;Prognose;2061;20097074
38;Totaal mannen en vrouwen;Totaal;Prognose;2062;20141698
39;Totaal mannen en vrouwen;Totaal;Prognose;2063;20189388
40;Totaal mannen en vrouwen;Totaal;Prognose;2064;20240416
41;Totaal mannen en vrouwen;Totaal;Prognose;2065;20294942
42;Totaal mannen en vrouwen;Totaal;Prognose;2066;20352874
43;Totaal mannen en vrouwen;Totaal;Prognose;2067;20414116
44;Totaal mannen en vrouwen;Totaal;Prognose;2068;20478384
45;Totaal mannen en vrouwen;Totaal;Prognose;2069;20545262
46;Totaal mannen en vrouwen;Totaal;Prognose;2070;20614380
