ID;Geslacht;Leeftijd;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDatHeeftVerzuimd_2;GemiddeldeVerzuimfrequentie_3;GemiddeldeVerzuimduur_4;k_1Tot5Werkdagen_5;k_5Tot20Werkdagen_6;k_20Tot210Werkdagen_7;k_210WerkdagenOfMeer_8;JaHoofdzakelijkGevolgVanMijnWerk_9;JaVoorEenDeelGevolgVanMijnWerk_10;NeeGeenGevolgVanMijnWerk_11;WeetNiet_12
0;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2005;4.8;54.0;1.3;8.7;62.3;24.9;11.9;0.9;10.9;16.4;67.7;4.9
1;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2006;4.5;51.8;1.2;8.1;64.1;22.6;12.1;1.1;10.7;17.1;67.7;4.5
2;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2007;4.2;49.6;1.1;7.6;64.0;22.9;12.1;1.1;9.7;16.5;69.0;4.8
3;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2008;4.1;52.1;1.2;7.5;64.8;23.5;10.6;1.0;9.1;15.6;70.8;4.5
4;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2009;4.0;51.7;1.1;7.2;66.1;22.4;10.8;0.6;7.8;15.4;71.7;5.0
5;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2010;4.2;49.9;1.1;7.5;65.7;21.7;11.7;0.9;8.7;16.0;71.1;4.3
6;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2011;4.3;49.2;1.1;7.7;65.6;21.4;12.1;0.9;9.4;15.6;70.6;4.3
7;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2012;4.1;47.1;1.1;7.3;65.5;21.5;11.9;1.1;9.0;16.3;69.7;5.0
8;Totaal mannen en vrouwen;Totaal 15 tot 65 jaar;2013;4.0;47.7;1.1;7.0;65.4;21.9;11.8;0.9;8.2;14.8;71.1;5.9
9;Totaal mannen en vrouwen;15 tot 25 jaar;2005;3.0;49.9;1.3;5.0;78.2;15.8;5.7;0.2;8.0;15.4;71.8;4.7
10;Totaal mannen en vrouwen;15 tot 25 jaar;2006;2.9;50.1;1.2;4.6;78.6;16.1;5.0;0.3;7.7;16.5;70.6;5.3
11;Totaal mannen en vrouwen;15 tot 25 jaar;2007;2.6;44.9;1.1;4.4;79.6;16.2;4.1;0.1;6.9;13.7;73.0;6.3
12;Totaal mannen en vrouwen;15 tot 25 jaar;2008;2.4;48.1;1.2;3.9;77.7;17.5;4.8;0.0;6.5;14.9;73.7;5.0
13;Totaal mannen en vrouwen;15 tot 25 jaar;2009;2.8;48.6;1.2;3.9;79.7;15.3;5.0;0.0;6.1;11.3;76.8;5.8
14;Totaal mannen en vrouwen;15 tot 25 jaar;2010;2.4;46.8;1.2;3.4;81.7;14.0;4.3;0.0;6.0;13.4;76.4;4.2
15;Totaal mannen en vrouwen;15 tot 25 jaar;2011;2.5;45.2;1.1;3.3;80.7;13.1;6.0;0.1;5.6;11.5;79.0;4.0
16;Totaal mannen en vrouwen;15 tot 25 jaar;2012;2.7;42.7;1.1;3.6;80.3;14.7;4.9;0.1;6.7;13.6;74.5;5.2
17;Totaal mannen en vrouwen;15 tot 25 jaar;2013;2.3;41.2;1.0;2.8;84.4;11.6;4.0;0.1;4.4;12.9;76.8;6.0
18;Totaal mannen en vrouwen;25 tot 35 jaar;2005;4.6;60.6;1.4;8.3;69.2;20.8;9.5;0.5;9.6;15.0;70.9;4.5
19;Totaal mannen en vrouwen;25 tot 35 jaar;2006;4.2;59.0;1.3;7.5;69.0;21.4;9.1;0.4;9.5;16.0;70.5;3.9
20;Totaal mannen en vrouwen;25 tot 35 jaar;2007;3.9;54.7;1.2;7.0;71.2;20.1;8.2;0.5;8.0;15.4;73.1;3.5
21;Totaal mannen en vrouwen;25 tot 35 jaar;2008;3.9;58.9;1.3;7.0;72.8;19.5;6.9;0.8;7.8;15.6;73.2;3.3
22;Totaal mannen en vrouwen;25 tot 35 jaar;2009;3.6;60.1;1.3;6.4;73.3;19.3;7.0;0.4;6.1;15.5;74.5;3.9
23;Totaal mannen en vrouwen;25 tot 35 jaar;2010;3.9;55.3;1.3;7.1;71.2;19.1;9.2;0.5;6.7;16.0;74.2;3.1
24;Totaal mannen en vrouwen;25 tot 35 jaar;2011;3.9;55.3;1.2;7.0;71.2;19.4;9.2;0.3;9.0;14.7;72.8;3.5
25;Totaal mannen en vrouwen;25 tot 35 jaar;2012;3.6;53.2;1.3;6.5;73.6;17.4;8.3;0.8;7.3;16.3;72.7;3.7
