ID;Beroep;Perioden;Werknemer_1;k_25ePercentiel_2;k_50ePercentielMediaan_3;k_75ePercentiel_4
0;Totaal;2013;7199;13.2;18.0;24.2
1;Totaal;2014;7132;13.1;18.1;24.3
2;Totaal;2015;7191;13.3;18.5;24.9
3;Totaal;2016;7270;13.3;18.6;25.1
4;Totaal;2017;7422;13.4;18.7;25.2
5;Totaal;2018;7604;13.8;19.1;25.9
6;Totaal;2019;7761;14.1;19.6;26.6
7;Totaal;2020;7703;14.9;20.6;27.9
8;Totaal;2021;7810;15.5;21.4;28.8
9;Totaal;2022;8009;16.2;22.2;30.0
10;Totaal;2023;8151;17.4;23.7;32.1
11;01 Pedagogische beroepen;2013;498;17.8;23.2;28.1
12;01 Pedagogische beroepen;2014;489;18.1;22.9;27.5
13;01 Pedagogische beroepen;2015;514;18.2;23.3;28.2
14;01 Pedagogische beroepen;2016;520;18.6;23.3;28.5
15;01 Pedagogische beroepen;2017;510;18.7;23.9;29.0
16;01 Pedagogische beroepen;2018;543;18.9;24.0;29.4
17;01 Pedagogische beroepen;2019;559;19.2;24.5;30.2
18;01 Pedagogische beroepen;2020;563;20.0;25.8;31.7
19;01 Pedagogische beroepen;2021;601;19.9;25.1;31.2
20;01 Pedagogische beroepen;2022;638;20.1;25.3;33.1
21;01 Pedagogische beroepen;2023;633;21.5;27.1;36.1
22;011 Docenten;2013;370;20.1;24.8;30.3
23;011 Docenten;2014;355;20.4;24.8;30.2
24;011 Docenten;2015;376;20.6;25.1;30.9
25;011 Docenten;2016;376;21.1;25.4;30.7
26;011 Docenten;2017;373;21.1;26.1;29.9
27;011 Docenten;2018;394;21.3;26.3;30.8
28;011 Docenten;2019;399;21.8;28.1;31.4
29;011 Docenten;2020;410;23.0;29.1;32.8
30;011 Docenten;2021;422;23.1;28.8;33.1
31;011 Docenten;2022;437;23.5;30.4;35.4
32;011 Docenten;2023;433;25.0;32.6;38.3
33;0111 Docenten hoger onderwijs en hoog...;2013;43;23.4;34.9;43.2
34;0111 Docenten hoger onderwijs en hoog...;2014;47;25.3;35.5;43.1
35;0111 Docenten hoger onderwijs en hoog...;2015;49;23.4;35.9;45.4
36;0111 Docenten hoger onderwijs en hoog...;2016;49;21.2;35.6;46.5
37;0111 Docenten hoger onderwijs en hoog...;2017;52;22.4;31.2;37.9
38;0111 Docenten hoger onderwijs en hoog...;2018;57;24.9;32.6;38.6
39;0111 Docenten hoger onderwijs en hoog...;2019;60;24.6;33.3;39.1
40;0111 Docenten hoger onderwijs en hoog...;2020;63;24.1;32.8;40.3
41;0111 Docenten hoger onderwijs en hoog...;2021;72;22.7;34.0;38.6
42;0111 Docenten hoger onderwijs en hoog...;2022;71;23.6;34.1;40.0
43;0111 Docenten hoger onderwijs en hoog...;2023;68;24.0;35.9;43.6
44;0112 Docenten beroepsgerichte vakken ...;2013;28;;;
45;0112 Docenten beroepsgerichte vakken ...;2014;27;;;
46;0112 Docenten beroepsgerichte vakken ...;2015;27;;;
47;0112 Docenten beroepsgerichte vakken ...;2016;30;21.8;27.5;31.1
48;0112 Docenten beroepsgerichte vakken ...;2017;32;23.3;29.0;30.9
49;0112 Docenten beroepsgerichte vakken ...;2018;32;23.2;27.9;31.5
50;0112 Docenten beroepsgerichte vakken ...;2019;32;21.9;27.1;30.9
51;0112 Docenten beroepsgerichte vakken ...;2020;32;23.8;28.2;32.1
52;0112 Docenten beroepsgerichte vakken ...;2021;31;24.2;29.3;33.9
53;0112 Docenten beroepsgerichte vakken ...;2022;38;24.7;29.6;33.8
54;0112 Docenten beroepsgerichte vakken ...;2023;35;25.0;30.2;36.0
55;0113 Docenten algemene vakken secunda...;2013;93;22.7;27.3;32.4
56;0113 Docenten algemene vakken secunda...;2014;92;22.1;27.2;32.0
57;0113 Docenten algemene vakken secunda...;2015;96;22.6;28.0;33.2
58;0113 Docenten algemene vakken secunda...;2016;95;23.3;28.5;33.5
59;0113 Docenten algemene vakken secunda...;2017;96;22.8;29.0;33.6
60;0113 Docenten algemene vakken secunda...;2018;103;23.0;29.4;34.0
61;0113 Docenten algemene vakken secunda...;2019;108;23.0;29.9;34.6
62;0113 Docenten algemene vakken secunda...;2020;104;24.9;31.2;36.4
63;0113 Docenten algemene vakken secunda...;2021;97;24.4;30.9;36.2
64;0113 Docenten algemene vakken secunda...;2022;105;24.6;31.5;36.9
65;0113 Docenten algemene vakken secunda...;2023;112;26.0;33.1;40.3
66;0114 Leerkrachten basisonderwijs;2013;155;18.9;23.6;26.1
67;0114 Leerkrachten basisonderwijs;2014;145;19.1;23.1;25.1
68;0114 Leerkrachten basisonderwijs;2015;156;19.3;23.7;25.8
69;0114 Leerkrachten basisonderwijs;2016;152;19.7;23.5;25.9
70;0114 Leerkrachten basisonderwijs;2017;143;20.0;24.1;26.2
71;0114 Leerkrachten basisonderwijs;2018;148;20.4;24.3;27.3
72;0114 Leerkrachten basisonderwijs;2019;144;21.0;26.2;28.5
73;0114 Leerkrachten basisonderwijs;2020;153;21.7;27.6;30.1
74;0114 Leerkrachten basisonderwijs;2021;157;22.5;27.6;30.5
75;0114 Leerkrachten basisonderwijs;2022;151;22.7;28.9;32.9
76;0114 Leerkrachten basisonderwijs;2023;140;24.5;31.4;36.1
77;0115 Onderwijskundigen en overige doc...;2013;50;19.6;25.1;29.7
78;0115 Onderwijskundigen en overige doc...;2014;44;21.4;26.4;31.3
79;0115 Onderwijskundigen en overige doc...;2015;47;20.9;26.3;31.0
80;0115 Onderwijskundigen en overige doc...;2016;49;21.5;26.0;31.4
81;0115 Onderwijskundigen en overige doc...;2017;51;21.0;26.1;29.5
82;0115 Onderwijskundigen en overige doc...;2018;54;20.4;26.1;29.7
83;0115 Onderwijskundigen en overige doc...;2019;55;20.9;27.2;30.8
84;0115 Onderwijskundigen en overige doc...;2020;58;21.3;27.9;32.4
85;0115 Onderwijskundigen en overige doc...;2021;66;21.7;28.8;33.0
