ID;Geslacht;Leeftijd;Herkomst;ZorgvormZvwZorgkosten;Perioden;GemiddeldeZorgkostenVolgensDeZvw_1;PersonenMetZvwZorgkostenRelatief_2
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal alle zorgvormen;2020;2564.0;98.4
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal alle zorgvormen;2021;2678.0;98.5
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal alle zorgvormen;2022;2841.0;98.3
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Huisartsenzorg;2020;176.0;97.8
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Huisartsenzorg;2021;192.0;97.8
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Huisartsenzorg;2022;200.0;97.7
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Multidisciplinaire zorg;2020;38.0;59.5
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Multidisciplinaire zorg;2021;39.0;60.5
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Multidisciplinaire zorg;2022;41.0;65.8
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ziekenhuiszorg;2020;1298.0;54.5
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ziekenhuiszorg;2021;1439.0;56.7
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ziekenhuiszorg;2022;1486.0;58.1
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Farmacie;2020;281.0;64.1
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Farmacie;2021;277.0;64.7
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Farmacie;2022;295.0;65.8
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Mondzorg;2020;41.0;16.3
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Mondzorg;2021;46.0;16.8
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Mondzorg;2022;47.0;16.8
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geboortezorg;2020;38.0;1.7
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geboortezorg;2021;40.0;1.8
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geboortezorg;2022;38.0;1.7
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Paramedische zorg;2020;43.0;8.8
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Paramedische zorg;2021;55.0;9.7
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Paramedische zorg;2022;58.0;10.1
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Hulpmiddelen;2020;93.0;13.7
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Hulpmiddelen;2021;97.0;14.2
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Hulpmiddelen;2022;100.0;14.4
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ziekenvervoer;2020;40.0;3.6
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ziekenvervoer;2021;44.0;3.8
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Ziekenvervoer;2022;45.0;3.9
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Buitenland;2020;12.0;0.8
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Buitenland;2021;12.0;0.9
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Buitenland;2022;17.0;1.4
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geriatrische revalidatiezorg;2020;38.0;0.3
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geriatrische revalidatiezorg;2021;41.0;0.3
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geriatrische revalidatiezorg;2022;43.0;0.3
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geestelijke gezondheidszorg-ZPM;2020;;
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geestelijke gezondheidszorg-ZPM;2021;;
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Geestelijke gezondheidszorg-ZPM;2022;259.0;5.1
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Verpleging en verzorging;2020;190.0;3.3
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Verpleging en verzorging;2021;186.0;3.3
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Verpleging en verzorging;2022;174.0;3.3
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Zorg zintuiglijk gehandicapten;2020;10.0;0.2
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Zorg zintuiglijk gehandicapten;2021;11.0;0.2
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Zorg zintuiglijk gehandicapten;2022;11.0;0.2
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Eerstelijnsverblijf;2020;17.0;0.2
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Eerstelijnsverblijf;2021;19.0;0.2
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Eerstelijnsverblijf;2022;17.0;0.2
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Generalistische basis GGZ;2020;14.0;1.3
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Generalistische basis GGZ;2021;12.0;1.3
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Generalistische basis GGZ;2022;;
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Gespecialiseerde GGZ;2020;228.0;3.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Gespecialiseerde GGZ;2021;154.0;2.9
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Gespecialiseerde GGZ;2022;;
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overige zorgvormen;2020;8.0;2.4
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overige zorgvormen;2021;13.0;2.8
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Overige zorgvormen;2022;10.0;2.9
57;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Totaal alle zorgvormen;2020;2600.0;99.2
58;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Totaal alle zorgvormen;2021;2719.0;99.3
59;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Totaal alle zorgvormen;2022;2908.0;99.3
60;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Huisartsenzorg;2020;178.0;98.6
61;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Huisartsenzorg;2021;194.0;98.7
62;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Huisartsenzorg;2022;203.0;98.7
63;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Multidisciplinaire zorg;2020;38.0;59.9
64;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Multidisciplinaire zorg;2021;39.0;60.9
65;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Multidisciplinaire zorg;2022;40.0;66.5
66;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Ziekenhuiszorg;2020;1324.0;54.7
67;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Ziekenhuiszorg;2021;1466.0;57.0
68;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Ziekenhuiszorg;2022;1530.0;58.6
69;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Farmacie;2020;281.0;64.6
70;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Farmacie;2021;278.0;65.2
71;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Farmacie;2022;299.0;66.6
72;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Mondzorg;2020;42.0;17.7
73;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Mondzorg;2021;48.0;18.3
74;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Mondzorg;2022;49.0;18.3
75;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Geboortezorg;2020;36.0;1.6
76;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Geboortezorg;2021;38.0;1.7
77;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Geboortezorg;2022;36.0;1.6
78;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Paramedische zorg;2020;46.0;9.2
79;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Paramedische zorg;2021;59.0;10.2
80;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Paramedische zorg;2022;62.0;10.6
81;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Hulpmiddelen;2020;97.0;14.0
82;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Hulpmiddelen;2021;101.0;14.5
83;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Hulpmiddelen;2022;104.0;14.8
84;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Ziekenvervoer;2020;40.0;3.6
85;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Ziekenvervoer;2021;44.0;3.9
86;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Ziekenvervoer;2022;46.0;4.0
87;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Buitenland;2020;10.0;0.7
88;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Buitenland;2021;10.0;0.8
89;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Buitenland;2022;16.0;1.3
90;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Geriatrische revalidatiezorg;2020;40.0;0.3
91;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Geriatrische revalidatiezorg;2021;43.0;0.3
92;Totaal mannen en vrouwen;Totaal leeftijd;Herkomst: geboren in Nederland;Geriatrische revalidatiezorg;2022;46.0;0.3
