ID;VissoortenSchaalEnSchelpdieren;Perioden;Prijzen_1
115;Europese kreeft;2002 december;
116;Europese kreeft;2002;
117;Europese kreeft;2003 januari;
118;Europese kreeft;2003 februari;
119;Europese kreeft;2003 maart;
120;Europese kreeft;2003 april;
121;Europese kreeft;2003 mei;
122;Europese kreeft;2003 juni;
123;Europese kreeft;2003 juli;
124;Europese kreeft;2003 augustus;
125;Europese kreeft;2003 september;
126;Europese kreeft;2003 oktober;
127;Europese kreeft;2003 november;
128;Europese kreeft;2003 december;
129;Europese kreeft;2003;
130;Europese kreeft;2004 januari;
131;Europese kreeft;2004 februari;
132;Europese kreeft;2004 maart;
133;Europese kreeft;2004 april;
134;Europese kreeft;2004 mei;
135;Europese kreeft;2004 juni;
136;Europese kreeft;2004 juli;
137;Europese kreeft;2004 augustus;
138;Europese kreeft;2004 september;
139;Europese kreeft;2004 oktober;
140;Europese kreeft;2004 november;
141;Europese kreeft;2004 december;
142;Europese kreeft;2004;
143;Europese kreeft;2005 januari;
144;Europese kreeft;2005 februari;
145;Europese kreeft;2005 maart;
146;Europese kreeft;2005 april;
147;Europese kreeft;2005 mei;
148;Europese kreeft;2005 juni;
149;Europese kreeft;2005 juli;
150;Europese kreeft;2005 augustus;
151;Europese kreeft;2005 september;
152;Europese kreeft;2005 oktober;
153;Europese kreeft;2005 november;
154;Europese kreeft;2005 december;
155;Europese kreeft;2005;
156;Europese kreeft;2006 januari;
157;Europese kreeft;2006 februari;
158;Europese kreeft;2006 maart;
159;Europese kreeft;2006 april;
160;Europese kreeft;2006 mei;
161;Europese kreeft;2006 juni;
162;Europese kreeft;2006 juli;
163;Europese kreeft;2006 augustus;
164;Europese kreeft;2006 september;
165;Europese kreeft;2006 oktober;
166;Europese kreeft;2006 november;
167;Europese kreeft;2006 december;
168;Europese kreeft;2006;
169;Europese kreeft;2007 januari;
170;Europese kreeft;2007 februari;
171;Europese kreeft;2007 maart;
172;Europese kreeft;2007 april;
173;Europese kreeft;2007 mei;
174;Europese kreeft;2007 juni;
175;Europese kreeft;2007 juli;
176;Europese kreeft;2007 augustus;
177;Europese kreeft;2007 september;
178;Europese kreeft;2007 oktober;
179;Europese kreeft;2007 november;
180;Europese kreeft;2007 december;
181;Europese kreeft;2007;
182;Europese kreeft;2008 januari;
183;Europese kreeft;2008 februari;
184;Europese kreeft;2008 maart;
185;Europese kreeft;2008 april;
186;Europese kreeft;2008 mei;
187;Europese kreeft;2008 juni;
188;Europese kreeft;2008 juli;
189;Europese kreeft;2008 augustus;
190;Europese kreeft;2008 september;
191;Europese kreeft;2008 oktober;
192;Europese kreeft;2008 november;
193;Europese kreeft;2008 december;
194;Europese kreeft;2008;
195;Europese kreeft;2009 januari;
196;Europese kreeft;2009 februari;
197;Europese kreeft;2009 maart;
198;Europese kreeft;2009 april;
199;Europese kreeft;2009 mei;
200;Europese kreeft;2009 juni;
201;Europese kreeft;2009 juli;
202;Europese kreeft;2009 augustus;
203;Europese kreeft;2009 september;
204;Europese kreeft;2009 oktober;
205;Europese kreeft;2009 november;
206;Europese kreeft;2009 december;
207;Europese kreeft;2009;
208;Europese kreeft;2010 januari;
209;Europese kreeft;2010 februari;
210;Europese kreeft;2010 maart;
211;Europese kreeft;2010 april;
212;Europese kreeft;2010 mei;
213;Europese kreeft;2010 juni;
214;Europese kreeft;2010 juli;
215;Europese kreeft;2010 augustus;
216;Europese kreeft;2010 september;
217;Europese kreeft;2010 oktober;
218;Europese kreeft;2010 november;
219;Europese kreeft;2010 december;
220;Europese kreeft;2010;
221;Europese kreeft;2011 januari;
222;Europese kreeft;2011 februari;
223;Europese kreeft;2011 maart;
224;Europese kreeft;2011 april;
225;Europese kreeft;2011 mei;
226;Europese kreeft;2011 juni;
227;Europese kreeft;2011 juli;
228;Europese kreeft;2011 augustus;
229;Europese kreeft;2011 september;
230;Europese kreeft;2011 oktober;
231;Europese kreeft;2011 november;
232;Europese kreeft;2011 december;
233;Europese kreeft;2011;
234;Europese kreeft;2012 januari;
235;Europese kreeft;2012 februari;
236;Europese kreeft;2012 maart;
237;Europese kreeft;2012 april;
238;Europese kreeft;2012 mei;
239;Europese kreeft;2012 juni;
240;Europese kreeft;2012 juli;
241;Europese kreeft;2012 augustus;
242;Europese kreeft;2012 september;
243;Europese kreeft;2012 oktober;
244;Europese kreeft;2012 november;
245;Europese kreeft;2012 december;
246;Europese kreeft;2012;
247;Europese kreeft;2013 januari;
248;Europese kreeft;2013 februari;
249;Europese kreeft;2013 maart;
250;Europese kreeft;2013 april;
251;Europese kreeft;2013 mei;
252;Europese kreeft;2013 juni;
253;Europese kreeft;2013 juli;
254;Europese kreeft;2013 augustus;
255;Europese kreeft;2013 september;
256;Europese kreeft;2013 oktober;
257;Europese kreeft;2013 november;
258;Europese kreeft;2013 december;
259;Europese kreeft;2013;
260;Europese kreeft;2014 januari;8163.0
261;Europese kreeft;2014 februari;9456.0
262;Europese kreeft;2014 maart;18905.0
263;Europese kreeft;2014 april;18367.0
264;Europese kreeft;2014 mei;16214.0
265;Europese kreeft;2014 juni;9849.0
266;Europese kreeft;2014 juli;12149.0
267;Europese kreeft;2014 augustus;7401.0
268;Europese kreeft;2014 september;6746.0
269;Europese kreeft;2014 oktober;6786.0
270;Europese kreeft;2014 november;7070.0
271;Europese kreeft;2014 december;8828.0
272;Europese kreeft;2014 ;12606.0
273;Europese kreeft;2015 januari;9697.0
274;Europese kreeft;2015 februari;9540.0
275;Europese kreeft;2015 maart;27314.0
276;Europese kreeft;2015 april;23499.0
277;Europese kreeft;2015 mei;21999.0
278;Europese kreeft;2015 juni;14659.0
279;Europese kreeft;2015 juli;13588.0
280;Europese kreeft;2015  augustus;6878.0
281;Europese kreeft;2015 september;6373.0
282;Europese kreeft;2015 oktober;7610.0
283;Europese kreeft;2015 november;8727.0
284;Europese kreeft;2015 december;9785.0
285;Europese kreeft;2015 ;17549.0
286;Europese kreeft;2016  januari;7829.0
287;Europese kreeft;2016 februari;9083.0
288;Europese kreeft;2016 maart;22475.0
289;Europese kreeft;2016 april;20434.0
290;Europese kreeft;2016 mei;20228.0
291;Europese kreeft;2016 juni;13975.0
292;Europese kreeft;2016 juli;13339.0
293;Europese kreeft;2016 augustus;7337.0
294;Europese kreeft;2016 september;7514.0
295;Europese kreeft;2016 oktober;7596.0
296;Europese kreeft;2016 november;8436.0
297;Europese kreeft;2016 december;10291.0
298;Europese kreeft;2016;15338.0
299;Europese kreeft;2017 januari;9007.0
300;Europese kreeft;2017 februari;8065.0
301;Europese kreeft;2017 maart;25279.0
302;Europese kreeft;2017 april;5722.0
303;Europese kreeft;2017 mei;8807.0
304;Europese kreeft;2017 juni;15534.0
305;Europese kreeft;2017 juli;13775.0
306;Europese kreeft;2017 augustus;6130.0
307;Europese kreeft;2017 september;6802.0
308;Europese kreeft;2017 oktober;7314.0
309;Europese kreeft;2017 november;8999.0
310;Europese kreeft;2017 december;8830.0
311;Europese kreeft;2017;9733.0
312;Europese kreeft;2018 januari;10222.0
313;Europese kreeft;2018 februari;10023.0
314;Europese kreeft;2018 maart;19637.0
315;Europese kreeft;2018 april;28212.0
316;Europese kreeft;2018 mei;24681.0
317;Europese kreeft;2018 juni;15618.0
318;Europese kreeft;2018 juli;14321.0
319;Europese kreeft;2018 augustus;6279.0
320;Europese kreeft;2018 september;5640.0
321;Europese kreeft;2018 oktober;5805.0
322;Europese kreeft;2018 november;7620.0
323;Europese kreeft;2018 december;9614.0
324;Europese kreeft;2018;13914.0
325;Europese kreeft;2019 januari;8222.0
326;Europese kreeft;2019 februari;9870.0
327;Europese kreeft;2019 maart;23585.0
328;Europese kreeft;2019 april ;31488.0
329;Europese kreeft;2019 mei;22246.0
330;Europese kreeft;2019 juni;16439.0
331;Europese kreeft;2019 juli;13217.0
332;Europese kreeft;2019 augustus;6499.0
333;Europese kreeft;2019 september;5567.0
334;Europese kreeft;2019 oktober;7424.0
335;Europese kreeft;2019 november;8558.0
336;Europese kreeft;2019 december;10862.0
337;Europese kreeft;2019;13586.0
338;Europese kreeft;2020 januari;9222.0
339;Europese kreeft;2020 februari;10505.0
340;Europese kreeft;2020 maart;8044.0
341;Europese kreeft;2020 april;20093.0
342;Europese kreeft;2020 mei;19320.0
343;Europese kreeft;2020 juni;16712.0
344;Europese kreeft;2020 juli;12717.0
345;Europese kreeft;2020 augustus;6524.0
346;Europese kreeft;2020 september;6327.0
347;Europese kreeft;2020 oktober;7053.0
348;Europese kreeft;2020 november;7868.0
349;Europese kreeft;2020 december;10491.0
350;Europese kreeft;2020;11667.0
351;Europese kreeft;2021 januari;7684.0
352;Europese kreeft;2021 februari;9438.0
353;Europese kreeft;2021 maart;27070.0
354;Europese kreeft;2021 april;30178.0
355;Europese kreeft;2021 mei;19878.0
356;Europese kreeft;2021 juni;18289.0
357;Europese kreeft;2021 juli;13808.0
358;Europese kreeft;2021 augustus;9771.0
359;Europese kreeft;2021 september;10872.0
360;Europese kreeft;2021 oktober;9018.0
361;Europese kreeft;2021 november;9324.0
362;Europese kreeft;2021 december;13004.0
363;Europese kreeft;2021 ;12857.0
364;Europese kreeft;2022  januari;11722.0
365;Europese kreeft;2022 februari;12663.0
366;Europese kreeft;2022 maart;34982.0
367;Europese kreeft;2022 april;33662.0
368;Europese kreeft;2022 mei;21863.0
369;Europese kreeft;2022 juni;19973.0
370;Europese kreeft;2022 juli;16359.0
371;Europese kreeft;2022 augustus;10043.0
372;Europese kreeft;2022 september;9825.0
373;Europese kreeft;2022 oktober;10208.0
374;Europese kreeft;2022 november;10630.0
375;Europese kreeft;2022 december;11778.0
376;Europese kreeft;2022;16871.0
377;Europese kreeft;2023 januari;10543.0
378;Europese kreeft;2023 februari;12595.0
379;Europese kreeft;2023 maart;32261.0
380;Europese kreeft;2023 april;31810.0
381;Europese kreeft;2023 mei;31082.0
382;Europese kreeft;2023 juni;19443.0
383;Europese kreeft;2023 juli;13801.0
384;Europese kreeft;2023 augustus;8918.0
385;Europese kreeft;2023 september;8638.0
386;Europese kreeft;2023 oktober;8957.0
387;Europese kreeft;2023 november;9494.0
388;Europese kreeft;2023 december;10478.0
389;Europese kreeft;2023;15845.0
390;Europese kreeft;2024 januari;10641.0
391;Europese kreeft;2024 februari;12023.0
392;Europese kreeft;2024 maart;26670.0
393;Europese kreeft;2024 april;33675.0
394;Europese kreeft;2024 mei;16578.0
395;Europese kreeft;2024 juni;12958.0
396;Europese kreeft;2024 juli ;8163.0
397;Europese kreeft;2024 augustus;7332.0
398;Europese kreeft;2024 september;7890.0
399;Europese kreeft;2024 oktober;8455.0
400;Europese kreeft;2024 november;9338.0
401;Europese kreeft;2024 december;12462.0
402;Europese kreeft;2024 ;9911.0
403;Europese kreeft;2025 januari;10864.0
404;Europese kreeft;2025 februari;10192.0
405;Griet;1994 januari;4284.0
406;Griet;1994 februari;6298.0
407;Griet;1994 maart;7469.0
408;Griet;1994 april;7034.0
409;Griet;1994 mei;5863.0
410;Griet;1994 juni;6557.0
411;Griet;1994 juli;6094.0
412;Griet;1994 augustus;4692.0
413;Griet;1994 september;5155.0
414;Griet;1994 oktober;4438.0
415;Griet;1994 november;4193.0
416;Griet;1994 december;5790.0
417;Griet;1994;5559.0
418;Griet;1995 januari;5568.0
419;Griet;1995 februari;6598.0
420;Griet;1995 maart;6979.0
421;Griet;1995 april;6966.0
422;Griet;1995 mei;6798.0
423;Griet;1995 juni;7288.0
424;Griet;1995 juli;7324.0
425;Griet;1995 augustus;5935.0
426;Griet;1995 september;5704.0
427;Griet;1995 oktober;4760.0
428;Griet;1995 november;4356.0
429;Griet;1995 december;4924.0
430;Griet;1995;5840.0
431;Griet;1996 januari;4896.0
432;Griet;1996 februari;6607.0
433;Griet;1996 maart;6598.0
434;Griet;1996 april;7723.0
435;Griet;1996 mei;8790.0
436;Griet;1996 juni;9130.0
437;Griet;1996 juli;9666.0
438;Griet;1996 augustus;7587.0
439;Griet;1996 september;8077.0
440;Griet;1996 oktober;6616.0
441;Griet;1996 november;6920.0
442;Griet;1996 december;7201.0
443;Griet;1996;7138.0
444;Griet;1997 januari;6004.0
445;Griet;1997 februari;9248.0
446;Griet;1997 maart;8808.0
447;Griet;1997 april;10859.0
448;Griet;1997 mei;11503.0
449;Griet;1997 juni;11054.0
450;Griet;1997 juli;11272.0
451;Griet;1997 augustus;8595.0
452;Griet;1997 september;8926.0
453;Griet;1997 oktober;6911.0
454;Griet;1997 november;6530.0
455;Griet;1997 december;7188.0
456;Griet;1997;8182.0
457;Griet;1998 januari;6789.0
458;Griet;1998 februari;7047.0
459;Griet;1998 maart;9411.0
460;Griet;1998 april;9126.0
461;Griet;1998 mei;10496.0
462;Griet;1998 juni;10142.0
463;Griet;1998 juli;10659.0
464;Griet;1998 augustus;8772.0
465;Griet;1998 september;7015.0
466;Griet;1998 oktober;6444.0
467;Griet;1998 november;5836.0
468;Griet;1998 december;5786.0
469;Griet;1998;7565.0
470;Griet;1999 januari;6276.0
471;Griet;1999 februari;7791.0
472;Griet;1999 maart;8767.0
473;Griet;1999 april;9457.0
474;Griet;1999 mei;10500.0
475;Griet;1999 juni;11635.0
476;Griet;1999 juli;11227.0
477;Griet;1999 augustus;9321.0
478;Griet;1999 september;8504.0
479;Griet;1999 oktober;7460.0
480;Griet;1999 november;
481;Griet;1999 december;
482;Griet;1999;8272.0
483;Griet;2000 januari;6203.0
484;Griet;2000 februari;8218.0
485;Griet;2000 maart;9361.0
486;Griet;2000 april;10201.0
487;Griet;2000 mei;8740.0
488;Griet;2000 juni;10687.0
489;Griet;2000 juli;7664.0
490;Griet;2000 augustus;5994.0
491;Griet;2000 september;5395.0
492;Griet;2000 oktober;4819.0
493;Griet;2000 november;5091.0
494;Griet;2000 december;6031.0
495;Griet;2000;6720.0
496;Griet;2001 januari;5196.0
497;Griet;2001 februari;6956.0
498;Griet;2001 maart;8903.0
499;Griet;2001 april;11975.0
500;Griet;2001 mei;6988.0
501;Griet;2001 juni;10446.0
502;Griet;2001 juli;8345.0
503;Griet;2001 augustus;6212.0
504;Griet;2001 september;6117.0
505;Griet;2001 oktober;5309.0
506;Griet;2001 november;5391.0
507;Griet;2001 december;6553.0
508;Griet;2001;6852.0
509;Griet;2002 januari;6510.0
510;Griet;2002 februari;11030.0
511;Griet;2002 maart;9910.0
512;Griet;2002 april;7830.0
513;Griet;2002 mei;12290.0
514;Griet;2002 juni;10190.0
515;Griet;2002 juli;10450.0
516;Griet;2002 augustus;6800.0
517;Griet;2002 september;6600.0
518;Griet;2002 oktober;6090.0
519;Griet;2002 november;6240.0
520;Griet;2002 december;7360.0
521;Griet;2002;7980.0
522;Griet;2003 januari;6630.0
523;Griet;2003 februari;7660.0
524;Griet;2003 maart;8110.0
525;Griet;2003 april;10160.0
526;Griet;2003 mei;11130.0
527;Griet;2003 juni;10700.0
528;Griet;2003 juli;8240.0
529;Griet;2003 augustus;5640.0
530;Griet;2003 september;5840.0
531;Griet;2003 oktober;6040.0
532;Griet;2003 november;5310.0
533;Griet;2003 december;6210.0
534;Griet;2003;7200.0
535;Griet;2004 januari;6730.0
536;Griet;2004 februari;9140.0
537;Griet;2004 maart;7690.0
538;Griet;2004 april;8820.0
539;Griet;2004 mei;8690.0
540;Griet;2004 juni;8520.0
541;Griet;2004 juli;6560.0
542;Griet;2004 augustus;5060.0
543;Griet;2004 september;6250.0
544;Griet;2004 oktober;5810.0
545;Griet;2004 november;5270.0
546;Griet;2004 december;7390.0
547;Griet;2004;6950.0
548;Griet;2005 januari;7760.0
549;Griet;2005 februari;8470.0
550;Griet;2005 maart;7220.0
551;Griet;2005 april;8150.0
552;Griet;2005 mei;10770.0
553;Griet;2005 juni;10270.0
554;Griet;2005 juli;10670.0
555;Griet;2005 augustus;7940.0
556;Griet;2005 september;7080.0
557;Griet;2005 oktober;7120.0
558;Griet;2005 november;7120.0
559;Griet;2005 december;8600.0
560;Griet;2005;8160.0
561;Griet;2006 januari;7410.0
562;Griet;2006 februari;9250.0
563;Griet;2006 maart;10150.0
564;Griet;2006 april;11450.0
565;Griet;2006 mei;10240.0
566;Griet;2006 juni;12440.0
567;Griet;2006 juli;9400.0
568;Griet;2006 augustus;6690.0
569;Griet;2006 september;6970.0
570;Griet;2006 oktober;6940.0
571;Griet;2006 november;7140.0
572;Griet;2006 december;8630.0
573;Griet;2006;8430.0
574;Griet;2007 januari;7520.0
575;Griet;2007 februari;7360.0
576;Griet;2007 maart;7840.0
577;Griet;2007 april;7340.0
578;Griet;2007 mei;8760.0
579;Griet;2007 juni;9150.0
580;Griet;2007 juli;9080.0
581;Griet;2007 augustus;6910.0
582;Griet;2007 september;6570.0
583;Griet;2007 oktober;6470.0
584;Griet;2007 november;6750.0
585;Griet;2007 december;9160.0
586;Griet;2007;7570.0
587;Griet;2008 januari;10160.0
588;Griet;2008 februari;9710.0
589;Griet;2008 maart;11160.0
590;Griet;2008 april;7620.0
591;Griet;2008 mei;9490.0
592;Griet;2008 juni;10700.0
593;Griet;2008 juli;11730.0
594;Griet;2008 augustus;8130.0
595;Griet;2008 september;7510.0
596;Griet;2008 oktober;7330.0
597;Griet;2008 november;7230.0
598;Griet;2008 december;8120.0
599;Griet;2008;8740.0
600;Griet;2009 januari;7000.0
601;Griet;2009 februari;7490.0
602;Griet;2009 maart;7700.0
603;Griet;2009 april;7660.0
604;Griet;2009 mei;7420.0
605;Griet;2009 juni;9880.0
606;Griet;2009 juli;7840.0
607;Griet;2009 augustus;7080.0
608;Griet;2009 september;6650.0
609;Griet;2009 oktober;6110.0
610;Griet;2009 november;6190.0
611;Griet;2009 december;7720.0
612;Griet;2009;7240.0
613;Griet;2010 januari;5940.0
614;Griet;2010 februari;6560.0
615;Griet;2010 maart;6180.0
616;Griet;2010 april;6830.0
617;Griet;2010 mei;7320.0
618;Griet;2010 juni;7560.0
619;Griet;2010 juli;7390.0
620;Griet;2010 augustus;6500.0
621;Griet;2010 september;6290.0
622;Griet;2010 oktober;5730.0
623;Griet;2010 november;5640.0
624;Griet;2010 december;6850.0
625;Griet;2010;6420.0
626;Griet;2011 januari;5730.0
627;Griet;2011 februari;6960.0
628;Griet;2011 maart;8200.0
629;Griet;2011 april;7780.0
630;Griet;2011 mei;8170.0
631;Griet;2011 juni;9120.0
632;Griet;2011 juli;8880.0
633;Griet;2011 augustus;6750.0
634;Griet;2011 september;7280.0
635;Griet;2011 oktober;6290.0
636;Griet;2011 november;5900.0
637;Griet;2011 december;8190.0
638;Griet;2011;7210.0
639;Griet;2012 januari;6100.0
640;Griet;2012 februari;5414.0
641;Griet;2012 maart;5840.0
642;Griet;2012 april;6536.0
643;Griet;2012 mei;7341.0
644;Griet;2012 juni;6889.0
645;Griet;2012 juli;6466.0
646;Griet;2012 augustus;6216.0
647;Griet;2012 september;6300.0
648;Griet;2012 oktober;5753.0
649;Griet;2012 november;5576.0
650;Griet;2012 december;6362.0
651;Griet;2012;6141.0
652;Griet;2013 januari;5633.0
653;Griet;2013 februari;7077.0
654;Griet;2013 maart;6905.0
655;Griet;2013 april;7195.0
656;Griet;2013 mei;8542.0
657;Griet;2013 juni;7016.0
658;Griet;2013 juli;9110.0
659;Griet;2013 augustus;7073.0
660;Griet;2013 september;7453.0
661;Griet;2013 oktober;7217.0
662;Griet;2013 november;7334.0
663;Griet;2013 december;8238.0
664;Griet;2013;7270.0
665;Griet;2014 januari;7850.0
666;Griet;2014 februari;8850.0
667;Griet;2014 maart;8100.0
668;Griet;2014 april;9289.0
669;Griet;2014 mei;9724.0
670;Griet;2014 juni;10033.0
671;Griet;2014 juli;8839.0
672;Griet;2014 augustus;8421.0
673;Griet;2014 september;6857.0
674;Griet;2014 oktober;7284.0
675;Griet;2014 november;6989.0
676;Griet;2014 december;7973.0
677;Griet;2014 ;8093.0
678;Griet;2015 januari;6556.0
679;Griet;2015 februari;6041.0
680;Griet;2015 maart;6948.0
681;Griet;2015 april;8170.0
682;Griet;2015 mei;7660.0
683;Griet;2015 juni;6970.0
684;Griet;2015 juli;6195.0
685;Griet;2015  augustus;5725.0
686;Griet;2015 september;5813.0
687;Griet;2015 oktober;4873.0
688;Griet;2015 november;6003.0
689;Griet;2015 december;6464.0
690;Griet;2015 ;6401.0
691;Griet;2016  januari;5533.0
692;Griet;2016 februari;6916.0
693;Griet;2016 maart;6197.0
694;Griet;2016 april;7240.0
695;Griet;2016 mei;8359.0
696;Griet;2016 juni;7648.0
697;Griet;2016 juli;7414.0
698;Griet;2016 augustus;7275.0
699;Griet;2016 september;7559.0
700;Griet;2016 oktober;7132.0
701;Griet;2016 november;8782.0
702;Griet;2016 december;8559.0
703;Griet;2016;7189.0
704;Griet;2017 januari;5973.0
705;Griet;2017 februari;6675.0
706;Griet;2017 maart;8984.0
707;Griet;2017 april;9632.0
708;Griet;2017 mei;9559.0
709;Griet;2017 juni;10119.0
710;Griet;2017 juli;9511.0
711;Griet;2017 augustus;8409.0
712;Griet;2017 september;8917.0
713;Griet;2017 oktober;8513.0
714;Griet;2017 november;8609.0
715;Griet;2017 december;8820.0
716;Griet;2017;8259.0
717;Griet;2018 januari;8300.0
718;Griet;2018 februari;8537.0
719;Griet;2018 maart;10645.0
720;Griet;2018 april;9087.0
721;Griet;2018 mei;10234.0
722;Griet;2018 juni;10917.0
723;Griet;2018 juli;10315.0
724;Griet;2018 augustus;8402.0
725;Griet;2018 september;8626.0
726;Griet;2018 oktober;7897.0
727;Griet;2018 november;8154.0
728;Griet;2018 december;10254.0
729;Griet;2018;9081.0
730;Griet;2019 januari;8136.0
731;Griet;2019 februari;7993.0
732;Griet;2019 maart;10078.0
733;Griet;2019 april ;9454.0
734;Griet;2019 mei;8987.0
735;Griet;2019 juni;8695.0
736;Griet;2019 juli;6514.0
737;Griet;2019 augustus;4673.0
738;Griet;2019 september;4757.0
739;Griet;2019 oktober;5278.0
740;Griet;2019 november;5144.0
741;Griet;2019 december;7522.0
742;Griet;2019;6724.0
743;Griet;2020 januari;6509.0
744;Griet;2020 februari;7931.0
745;Griet;2020 maart;5769.0
746;Griet;2020 april;6970.0
747;Griet;2020 mei;6474.0
748;Griet;2020 juni;6062.0
749;Griet;2020 juli;6379.0
750;Griet;2020 augustus;5913.0
751;Griet;2020 september;5783.0
752;Griet;2020 oktober;6334.0
753;Griet;2020 november;6318.0
754;Griet;2020 december;8310.0
755;Griet;2020;6538.0
756;Griet;2021 januari;7143.0
757;Griet;2021 februari;7518.0
758;Griet;2021 maart;7399.0
759;Griet;2021 april;9140.0
760;Griet;2021 mei;9823.0
761;Griet;2021 juni;9941.0
762;Griet;2021 juli;12010.0
763;Griet;2021 augustus;10424.0
764;Griet;2021 september;9918.0
765;Griet;2021 oktober;11462.0
766;Griet;2021 november;10945.0
767;Griet;2021 december;12120.0
768;Griet;2021 ;9422.0
769;Griet;2022  januari;11548.0
770;Griet;2022 februari;16828.0
771;Griet;2022 maart;12663.0
772;Griet;2022 april;13372.0
773;Griet;2022 mei;11760.0
774;Griet;2022 juni;14019.0
775;Griet;2022 juli;13785.0
776;Griet;2022 augustus;11373.0
777;Griet;2022 september;12013.0
778;Griet;2022 oktober;12154.0
779;Griet;2022 november;12725.0
780;Griet;2022 december;14225.0
781;Griet;2022;12781.0
782;Griet;2023 januari;12561.0
783;Griet;2023 februari;12237.0
784;Griet;2023 maart;13466.0
785;Griet;2023 april;12747.0
786;Griet;2023 mei;12008.0
787;Griet;2023 juni;11167.0
788;Griet;2023 juli;10462.0
789;Griet;2023 augustus;7670.0
790;Griet;2023 september;7623.0
791;Griet;2023 oktober;8925.0
792;Griet;2023 november;12227.0
793;Griet;2023 december;13916.0
794;Griet;2023;10482.0
795;Griet;2024 januari;11882.0
796;Griet;2024 februari;11824.0
797;Griet;2024 maart;11161.0
798;Griet;2024 april;11334.0
799;Griet;2024 mei;10901.0
800;Griet;2024 juni;9645.0
801;Griet;2024 juli ;9458.0
