ID;Geslacht;Leeftijd;Recidive;Perioden;VerdachtenVanMisdrijven_1
0;Totaal;Totaal;Totaal;2014;217100
1;Totaal;Totaal;Totaal;2015;198510
2;Totaal;Totaal;Totaal;2016;185460
3;Totaal;Totaal;Totaal;2017;171240
4;Totaal;Totaal;Totaal;2018;164590
5;Totaal;Totaal;Totaal;2019;166610
6;Totaal;Totaal;Totaal;2020;152810
7;Totaal;Totaal;Totaal;2021;142040
8;Totaal;Totaal;Totaal;2022;155650
9;Totaal;Totaal;Totaal;2023;150300
10;Totaal;Totaal;Totaal;2024;140610
11;Totaal;Totaal;First offender;2014;77340
12;Totaal;Totaal;First offender;2015;69850
13;Totaal;Totaal;First offender;2016;65060
14;Totaal;Totaal;First offender;2017;60170
15;Totaal;Totaal;First offender;2018;57060
16;Totaal;Totaal;First offender;2019;58230
17;Totaal;Totaal;First offender;2020;50050
18;Totaal;Totaal;First offender;2021;47730
19;Totaal;Totaal;First offender;2022;56640
20;Totaal;Totaal;First offender;2023;54380
21;Totaal;Totaal;First offender;2024;48610
22;Totaal;Totaal;Meerpleger;2014;73850
23;Totaal;Totaal;Meerpleger;2015;67010
24;Totaal;Totaal;Meerpleger;2016;61780
25;Totaal;Totaal;Meerpleger;2017;56490
26;Totaal;Totaal;Meerpleger;2018;53980
27;Totaal;Totaal;Meerpleger;2019;55020
28;Totaal;Totaal;Meerpleger;2020;51200
29;Totaal;Totaal;Meerpleger;2021;46810
30;Totaal;Totaal;Meerpleger;2022;50020
31;Totaal;Totaal;Meerpleger;2023;47880
32;Totaal;Totaal;Meerpleger;2024;44990
33;Totaal;Totaal;"Veelpleger; totaal";2014;61610
34;Totaal;Totaal;"Veelpleger; totaal";2015;58290
35;Totaal;Totaal;"Veelpleger; totaal";2016;56010
36;Totaal;Totaal;"Veelpleger; totaal";2017;52280
37;Totaal;Totaal;"Veelpleger; totaal";2018;51200
38;Totaal;Totaal;"Veelpleger; totaal";2019;51180
39;Totaal;Totaal;"Veelpleger; totaal";2020;49830
40;Totaal;Totaal;"Veelpleger; totaal";2021;45820
41;Totaal;Totaal;"Veelpleger; totaal";2022;46710
42;Totaal;Totaal;"Veelpleger; totaal";2023;45700
43;Totaal;Totaal;"Veelpleger; totaal";2024;44270
44;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2014;35660
45;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2015;34370
46;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2016;33510
47;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2017;31840
48;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2018;30960
49;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2019;30120
50;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2020;28880
51;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2021;27240
52;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2022;27620
53;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2023;26620
54;Totaal;Totaal;"Veelpleger; 1 delict in verslagjaar";2024;25880
55;Totaal;Totaal;"Veelpleger; 2-5 delicten in verslagjaar";2014;22680
56;Totaal;Totaal;"Veelpleger; 2-5 delicten in verslagjaar";2015;20870
57;Totaal;Totaal;"Veelpleger; 2-5 delicten in verslagjaar";2016;19780
58;Totaal;Totaal;"Veelpleger; 2-5 delicten in verslagjaar";2017;17940
