ID;Geslacht;Sector;Vooropleiding;Perioden;TotaalAantalStudenten_1;Na4Jaar_2;Na5Jaar_3;Na6Jaar_4;Na7Jaar_5;Na8Jaar_6;Na9JaarOfMeer_7;Na4Jaar_8;Na5Jaar_9;Na6Jaar_10;Na7Jaar_11;Na8Jaar_12;Na9JaarOfMeer_13;Na4Jaar_14;Na5Jaar_15;Na6Jaar_16;Na7Jaar_17;Na8Jaar_18;Na9JaarOfMeer_19;Na1Jaar_20;Na2Jaar_21;Na3Jaar_22;Na4Jaar_23;Na5Jaar_24;Na6Jaar_25;Na7Jaar_26;Na8Jaar_27;Na9JaarOfMeer_28;InJaar2_29;InJaar3_30;InJaar4_31;InJaar5_32;InJaar6_33;InJaar7_34;InJaar8_35;InJaar9_36;InJaar10OfMeer_37;InJaar2_38;InJaar3_39;InJaar4_40;InJaar5_41;InJaar6_42;InJaar7_43;InJaar8_44;InJaar9_45;InJaar10OfMeer_46;InJaar2_47;InJaar3_48;InJaar4_49;InJaar5_50;InJaar6_51;InJaar7_52;InJaar8_53;InJaar9_54;InJaar10OfMeer_55;InJaar2_56;InJaar3_57;InJaar4_58;InJaar5_59;InJaar6_60;InJaar7_61;InJaar8_62;InJaar9_63;InJaar10OfMeer_64
0;Totaal mannen en vrouwen;Totaal alle sectoren;Totaal alle vooropleidingen;Cohort 1991;51050;33.0;56.0;64.0;67.0;68.0;70.0;33.0;54.0;60.0;62.0;63.0;64.0;0.0;2.0;4.0;5.0;6.0;6.0;15.0;21.0;23.0;25.0;27.0;27.0;28.0;28.0;28.0;85.0;78.0;75.0;42.0;18.0;9.0;5.0;3.0;2.0;80.0;70.0;67.0;34.0;12.0;5.0;3.0;2.0;1.0;4.0;5.0;5.0;5.0;4.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;0.0
1;Totaal mannen en vrouwen;Totaal alle sectoren;Totaal alle vooropleidingen;Cohort 1992;53950;35.0;56.0;64.0;67.0;69.0;70.0;35.0;54.0;60.0;62.0;63.0;64.0;0.0;2.0;4.0;5.0;6.0;7.0;14.0;20.0;23.0;24.0;26.0;27.0;27.0;27.0;28.0;86.0;80.0;76.0;41.0;18.0;9.0;6.0;4.0;2.0;80.0;71.0;67.0;33.0;12.0;5.0;3.0;2.0;1.0;4.0;5.0;6.0;5.0;4.0;2.0;1.0;1.0;1.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0;0.0
2;Totaal mannen en vrouwen;Totaal alle sectoren;Totaal alle vooropleidingen;Cohort 1993;55070;38.0;57.0;65.0;68.0;69.0;70.0;37.0;55.0;61.0;63.0;63.0;64.0;0.0;2.0;4.0;5.0;6.0;6.0;14.0;19.0;22.0;23.0;24.0;25.0;26.0;27.0;27.0;86.0;80.0;76.0;39.0;18.0;10.0;6.0;4.0;3.0;80.0;72.0;68.0;31.0;12.0;6.0;3.0;2.0;1.0;4.0;5.0;5.0;5.0;4.0;2.0;2.0;1.0;1.0;2.0;3.0;3.0;3.0;3.0;2.0;1.0;1.0;1.0
3;Totaal mannen en vrouwen;Totaal alle sectoren;Totaal alle vooropleidingen;Cohort 1994;55390;39.0;57.0;64.0;67.0;69.0;;38.0;55.0;60.0;62.0;63.0;;0.0;2.0;4.0;5.0;6.0;;15.0;19.0;22.0;23.0;25.0;26.0;27.0;27.0;;85.0;80.0;76.0;38.0;18.0;10.0;6.0;4.0;;79.0;72.0;68.0;29.0;12.0;6.0;3.0;2.0;;4.0;5.0;6.0;6.0;4.0;2.0;2.0;1.0;;2.0;2.0;3.0;3.0;2.0;2.0;1.0;1.0;
4;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding havo;Cohort 1991;19270;28.0;51.0;61.0;65.0;67.0;69.0;28.0;48.0;56.0;58.0;59.0;60.0;0.0;2.0;5.0;7.0;8.0;9.0;15.0;22.0;24.0;26.0;27.0;28.0;28.0;29.0;29.0;84.0;77.0;75.0;46.0;22.0;12.0;7.0;4.0;2.0;78.0;67.0;64.0;35.0;14.0;6.0;3.0;2.0;1.0;6.0;9.0;9.0;9.0;6.0;4.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;0.0
5;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding havo;Cohort 1992;22510;29.0;52.0;61.0;65.0;67.0;69.0;29.0;49.0;56.0;59.0;60.0;60.0;0.0;3.0;5.0;7.0;8.0;9.0;14.0;20.0;23.0;24.0;26.0;27.0;28.0;28.0;28.0;86.0;79.0;76.0;46.0;22.0;12.0;7.0;5.0;3.0;79.0;69.0;65.0;35.0;14.0;6.0;3.0;2.0;1.0;6.0;8.0;8.0;8.0;6.0;4.0;2.0;2.0;1.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0
6;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding havo;Cohort 1993;9750;29.0;51.0;61.0;65.0;67.0;68.0;29.0;48.0;55.0;58.0;59.0;59.0;0.0;3.0;6.0;7.0;8.0;9.0;14.0;19.0;22.0;23.0;25.0;26.0;27.0;28.0;28.0;86.0;81.0;78.0;47.0;24.0;13.0;8.0;5.0;4.0;78.0;70.0;66.0;36.0;16.0;7.0;4.0;3.0;2.0;7.0;8.0;9.0;8.0;6.0;4.0;2.0;2.0;1.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0
7;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding havo;Cohort 1994;21180;33.0;52.0;61.0;64.0;67.0;;32.0;49.0;55.0;58.0;59.0;;0.0;3.0;5.0;7.0;8.0;;16.0;20.0;22.0;24.0;25.0;26.0;27.0;28.0;;84.0;79.0;77.0;44.0;23.0;13.0;9.0;6.0;;76.0;69.0;66.0;32.0;14.0;7.0;4.0;3.0;;6.0;8.0;9.0;9.0;7.0;4.0;3.0;2.0;;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;
8;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding vwo;Cohort 1991;9120;42.0;67.0;75.0;78.0;80.0;82.0;42.0;65.0;71.0;73.0;74.0;74.0;0.0;2.0;4.0;6.0;6.0;7.0;7.0;10.0;12.0;13.0;15.0;16.0;16.0;17.0;17.0;93.0;89.0;87.0;44.0;18.0;9.0;5.0;3.0;1.0;85.0;80.0;78.0;36.0;11.0;5.0;2.0;1.0;0.0;3.0;4.0;4.0;4.0;3.0;1.0;1.0;1.0;0.0;5.0;5.0;5.0;5.0;4.0;3.0;2.0;1.0;0.0
9;Totaal mannen en vrouwen;Totaal alle sectoren;Vooropleiding vwo;Cohort 1992;7950;47.0;71.0;79.0;82.0;84.0;85.0;47.0;69.0;74.0;76.0;77.0;77.0;0.0;2.0;5.0;6.0;7.0;8.0;6.0;7.0;9.0;10.0;11.0;12.0;13.0;13.0;14.0;94.0;92.0;90.0;43.0;18.0;9.0;5.0;3.0;2.0;87.0;83.0;80.0;33.0;11.0;4.0;2.0;1.0;1.0;3.0;4.0;4.0;4.0;2.0;1.0;1.0;1.0;0.0;5.0;6.0;6.0;6.0;5.0;3.0;2.0;1.0;1.0
