ID;Geslacht;Leeftijd;Nationaliteit;Perioden;UitgenodigdeVluchtelingen_1
0;Totaal mannen en vrouwen;Totaal;Totaal;2008;695
1;Totaal mannen en vrouwen;Totaal;Totaal;2009;370
2;Totaal mannen en vrouwen;Totaal;Totaal;2010;430
3;Totaal mannen en vrouwen;Totaal;Totaal;2011;540
4;Totaal mannen en vrouwen;Totaal;Totaal;2012;430
5;Totaal mannen en vrouwen;Totaal;Totaal;2013;310
6;Totaal mannen en vrouwen;Totaal;Totaal;2014;790
7;Totaal mannen en vrouwen;Totaal;Totaal;2015;450
8;Totaal mannen en vrouwen;Totaal;Totaal;2016;695
9;Totaal mannen en vrouwen;Totaal;Totaal;2017;2265
10;Totaal mannen en vrouwen;Totaal;Totaal;2018;1225
11;Totaal mannen en vrouwen;Totaal;Totaal;2019;1875
12;Totaal mannen en vrouwen;Totaal;Totaal;2020;425
13;Totaal mannen en vrouwen;Totaal;Totaal;2021;470
14;Totaal mannen en vrouwen;Totaal;Totaal;2022;1405
15;Totaal mannen en vrouwen;Totaal;Totaal;2023;830
16;Totaal mannen en vrouwen;Totaal;Afghaans ;2008;0
17;Totaal mannen en vrouwen;Totaal;Afghaans ;2009;0
18;Totaal mannen en vrouwen;Totaal;Afghaans ;2010;10
19;Totaal mannen en vrouwen;Totaal;Afghaans ;2011;0
20;Totaal mannen en vrouwen;Totaal;Afghaans ;2012;0
21;Totaal mannen en vrouwen;Totaal;Afghaans ;2013;0
22;Totaal mannen en vrouwen;Totaal;Afghaans ;2014;0
23;Totaal mannen en vrouwen;Totaal;Afghaans ;2015;5
24;Totaal mannen en vrouwen;Totaal;Afghaans ;2016;0
25;Totaal mannen en vrouwen;Totaal;Afghaans ;2017;0
26;Totaal mannen en vrouwen;Totaal;Afghaans ;2018;0
27;Totaal mannen en vrouwen;Totaal;Afghaans ;2019;0
28;Totaal mannen en vrouwen;Totaal;Afghaans ;2020;0
29;Totaal mannen en vrouwen;Totaal;Afghaans ;2021;0
30;Totaal mannen en vrouwen;Totaal;Afghaans ;2022;0
31;Totaal mannen en vrouwen;Totaal;Afghaans ;2023;25
32;Totaal mannen en vrouwen;Totaal;Bhutaans ;2008;25
33;Totaal mannen en vrouwen;Totaal;Bhutaans ;2009;40
34;Totaal mannen en vrouwen;Totaal;Bhutaans ;2010;45
35;Totaal mannen en vrouwen;Totaal;Bhutaans ;2011;55
36;Totaal mannen en vrouwen;Totaal;Bhutaans ;2012;0
37;Totaal mannen en vrouwen;Totaal;Bhutaans ;2013;0
38;Totaal mannen en vrouwen;Totaal;Bhutaans ;2014;0
39;Totaal mannen en vrouwen;Totaal;Bhutaans ;2015;0
40;Totaal mannen en vrouwen;Totaal;Bhutaans ;2016;0
41;Totaal mannen en vrouwen;Totaal;Bhutaans ;2017;0
42;Totaal mannen en vrouwen;Totaal;Bhutaans ;2018;0
43;Totaal mannen en vrouwen;Totaal;Bhutaans ;2019;0
44;Totaal mannen en vrouwen;Totaal;Bhutaans ;2020;0
45;Totaal mannen en vrouwen;Totaal;Bhutaans ;2021;0
46;Totaal mannen en vrouwen;Totaal;Bhutaans ;2022;0
47;Totaal mannen en vrouwen;Totaal;Bhutaans ;2023;0
48;Totaal mannen en vrouwen;Totaal;Burundisch ;2008;45
49;Totaal mannen en vrouwen;Totaal;Burundisch ;2009;0
50;Totaal mannen en vrouwen;Totaal;Burundisch ;2010;0
51;Totaal mannen en vrouwen;Totaal;Burundisch ;2011;0
52;Totaal mannen en vrouwen;Totaal;Burundisch ;2012;0
53;Totaal mannen en vrouwen;Totaal;Burundisch ;2013;0
54;Totaal mannen en vrouwen;Totaal;Burundisch ;2014;0
55;Totaal mannen en vrouwen;Totaal;Burundisch ;2015;0
56;Totaal mannen en vrouwen;Totaal;Burundisch ;2016;0
57;Totaal mannen en vrouwen;Totaal;Burundisch ;2017;0
58;Totaal mannen en vrouwen;Totaal;Burundisch ;2018;0
59;Totaal mannen en vrouwen;Totaal;Burundisch ;2019;10
60;Totaal mannen en vrouwen;Totaal;Burundisch ;2020;0
61;Totaal mannen en vrouwen;Totaal;Burundisch ;2021;0
62;Totaal mannen en vrouwen;Totaal;Burundisch ;2022;0
63;Totaal mannen en vrouwen;Totaal;Burundisch ;2023;0
64;Totaal mannen en vrouwen;Totaal;Congolees ;2008;25
65;Totaal mannen en vrouwen;Totaal;Congolees ;2009;5
66;Totaal mannen en vrouwen;Totaal;Congolees ;2010;0
67;Totaal mannen en vrouwen;Totaal;Congolees ;2011;20
68;Totaal mannen en vrouwen;Totaal;Congolees ;2012;20
69;Totaal mannen en vrouwen;Totaal;Congolees ;2013;85
70;Totaal mannen en vrouwen;Totaal;Congolees ;2014;15
71;Totaal mannen en vrouwen;Totaal;Congolees ;2015;0
72;Totaal mannen en vrouwen;Totaal;Congolees ;2016;0
73;Totaal mannen en vrouwen;Totaal;Congolees ;2017;0
74;Totaal mannen en vrouwen;Totaal;Congolees ;2018;130
75;Totaal mannen en vrouwen;Totaal;Congolees ;2019;30
76;Totaal mannen en vrouwen;Totaal;Congolees ;2020;0
77;Totaal mannen en vrouwen;Totaal;Congolees ;2021;0
78;Totaal mannen en vrouwen;Totaal;Congolees ;2022;0
79;Totaal mannen en vrouwen;Totaal;Congolees ;2023;0
80;Totaal mannen en vrouwen;Totaal;Congolees (Democratische Republiek) ;2008;55
81;Totaal mannen en vrouwen;Totaal;Congolees (Democratische Republiek) ;2009;10
82;Totaal mannen en vrouwen;Totaal;Congolees (Democratische Republiek) ;2010;0
83;Totaal mannen en vrouwen;Totaal;Congolees (Democratische Republiek) ;2011;15
84;Totaal mannen en vrouwen;Totaal;Congolees (Democratische Republiek) ;2012;25
