ID;Inkomensgroepen;KenmerkenVanHetHuishouden;Perioden;Aantal_1;Aandeel_2;AantalPersonen_3;Totaal_4;Aandeel_5;Gemiddeld_6;k_25ePercentiel_7;k_50ePercentielMediaan_8;k_75ePercentiel_9
0;1;1;2002;6862;100.0;2.3;914.0;100.0;133.0;4.0;33.0;161.0
1;1;1;2003;6919;100.0;2.3;976.6;100.0;141.0;3.0;37.0;176.0
2;1;1;2004;6948;100.0;2.3;980.7;100.0;141.0;3.0;35.0;177.0
3;1;1;2005;6990;100.0;2.3;1046.8;100.0;150.0;3.0;39.0;188.0
4;1;1;2006;7063;100.0;2.3;1113.6;100.0;158.0;2.0;38.0;195.0
5;1;1;2007;7109;100.0;2.3;1223.8;100.0;172.0;3.0;43.0;210.0
6;1;1;2008;7166;100.0;2.2;1299.6;100.0;181.0;3.0;47.0;223.0
7;1;1;2009;7242;100.0;2.2;1248.5;100.0;172.0;3.0;42.0;215.0
8;1;1;2010;7303;100.0;2.2;1213.4;100.0;166.0;2.0;33.0;199.0
9;1;1;2011 voor methodewijziging;7337;100.0;2.2;1168.4;100.0;159.0;1.0;30.0;190.0
10;1;1;2011 na methodewijziging;7337;100.0;2.2;1191.1;100.0;162.0;1.0;30.0;191.0
11;1;1;2012;7406;100.0;2.2;1180.0;100.0;159.0;1.0;27.0;186.0
12;1;1;2013;7458;100.0;2.2;1085.0;100.0;145.0;1.0;19.0;160.0
13;1;1;2014;7481;100.0;2.2;1189.5;100.0;159.0;1.0;19.0;161.0
14;1;22;2002;2288;33.3;1.0;159.7;17.5;70.0;1.0;8.0;47.0
15;1;22;2003;2325;33.6;1.0;180.5;18.5;78.0;1.0;9.0;62.0
16;1;22;2004;2342;33.7;1.0;187.8;19.2;80.0;1.0;8.0;61.0
17;1;22;2005;2368;33.9;1.0;204.2;19.5;86.0;1.0;9.0;73.0
18;1;22;2006;2436;34.5;1.0;219.6;19.7;90.0;1.0;9.0;76.0
19;1;22;2007;2473;34.8;1.0;245.8;20.1;99.0;1.0;10.0;84.0
20;1;22;2008;2511;35.0;1.0;249.6;19.2;99.0;1.0;11.0;97.0
21;1;22;2009;2561;35.4;1.0;253.5;20.3;99.0;1.0;11.0;93.0
22;1;22;2010;2599;35.6;1.0;255.3;21.0;98.0;1.0;10.0;85.0
23;1;22;2011 voor methodewijziging;2617;35.7;1.0;250.5;21.4;96.0;1.0;9.0;85.0
24;1;22;2011 na methodewijziging;2617;35.7;1.0;253.7;21.3;97.0;1.0;9.0;84.0
25;1;22;2012;2670;36.0;1.0;252.7;21.4;95.0;1.0;8.0;81.0
26;1;22;2013;2707;36.3;1.0;237.4;21.9;88.0;0.0;6.0;70.0
27;1;22;2014;2710;36.2;1.0;251.8;21.2;93.0;1.0;6.0;73.0
28;1;23;2002;1028;15.0;1.0;63.6;7.0;62.0;0.0;6.0;45.0
29;1;23;2003;1050;15.2;1.0;71.8;7.4;68.0;0.0;7.0;58.0
30;1;23;2004;1063;15.3;1.0;71.5;7.3;67.0;0.0;6.0;55.0
31;1;23;2005;1072;15.3;1.0;78.1;7.5;73.0;0.0;6.0;65.0
32;1;23;2006;1106;15.7;1.0;88.5;7.9;80.0;0.0;7.0;66.0
33;1;23;2007;1126;15.8;1.0;99.1;8.1;88.0;0.0;6.0;75.0
34;1;23;2008;1149;16.0;1.0;95.0;7.3;83.0;0.0;8.0;89.0
35;1;23;2009;1183;16.3;1.0;105.3;8.4;89.0;0.0;8.0;83.0
36;1;23;2010;1203;16.5;1.0;108.4;8.9;90.0;0.0;7.0;71.0
37;1;23;2011 voor methodewijziging;1217;16.6;1.0;104.2;8.9;86.0;0.0;6.0;68.0
38;1;23;2011 na methodewijziging;1222;16.7;1.0;105.9;8.9;87.0;0.0;5.0;65.0
39;1;23;2012;1254;16.9;1.0;106.6;9.0;85.0;0.0;5.0;62.0
40;1;23;2013;1274;17.1;1.0;98.9;9.1;78.0;0.0;3.0;51.0
41;1;23;2014;1281;17.1;1.0;109.7;9.2;86.0;0.0;3.0;53.0
42;1;24;2002;868;12.7;1.0;44.9;4.9;52.0;0.0;4.0;37.0
43;1;24;2003;886;12.8;1.0;50.7;5.2;57.0;0.0;4.0;46.0
44;1;24;2004;896;12.9;1.0;47.7;4.9;53.0;0.0;4.0;42.0
45;1;24;2005;900;12.9;1.0;51.7;4.9;57.0;0.0;4.0;47.0
46;1;24;2006;927;13.1;1.0;58.6;5.3;63.0;0.0;4.0;49.0
47;1;24;2007;941;13.2;1.0;65.5;5.4;70.0;0.0;4.0;57.0
48;1;24;2008;958;13.4;1.0;60.1;4.6;63.0;0.0;5.0;66.0
49;1;24;2009;985;13.6;1.0;67.6;5.4;69.0;0.0;5.0;57.0
50;1;24;2010;994;13.6;1.0;66.0;5.4;66.0;0.0;4.0;46.0
51;1;24;2011 voor methodewijziging;1007;13.7;1.0;62.2;5.3;62.0;0.0;3.0;41.0
52;1;24;2011 na methodewijziging;1009;13.8;1.0;63.7;5.3;63.0;0.0;3.0;38.0
53;1;24;2012;1027;13.9;1.0;62.1;5.3;60.0;0.0;2.0;34.0
54;1;24;2013;1034;13.9;1.0;54.0;5.0;52.0;0.0;2.0;24.0
