ID;Geslacht;Onderwijssoort;SoortDiploma;Studierichting;Migratieachtergrond;Perioden;Gediplomeerden_1
0;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2015/'16;1722
1;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2016/'17;1764
2;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2017/'18;2207
3;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2018/'19;2512
4;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2019/'20;3487
5;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Totaal;2020/'21;4498
6;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2015/'16;1340
7;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2016/'17;1403
8;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2017/'18;1724
9;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2018/'19;2032
10;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2019/'20;2824
11;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Nederlandse achtergrond;2020/'21;3709
12;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2015/'16;382
13;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2016/'17;361
14;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2017/'18;483
15;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2018/'19;480
16;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2019/'20;663
17;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal;Met migratieachtergrond;2020/'21;789
