ID;RegioS;Perioden;WoningvoorraadOp31December_1
0;Nederland;1947;2094800.0
1;Nederland;1948;2131691.0
2;Nederland;1949;2177902.0
3;Nederland;1950;2229595.0
4;Nederland;1951;2291108.0
5;Nederland;1952;2345132.0
6;Nederland;1953;2399372.0
7;Nederland;1954;2459900.0
8;Nederland;1955;2512270.0
9;Nederland;1956;2582711.0
10;Nederland;1957;2663848.0
11;Nederland;1958;2744332.0
12;Nederland;1959;2818302.0
13;Nederland;1960;2871584.0
14;Nederland;1961;2942121.0
15;Nederland;1962;3007834.0
16;Nederland;1963;3072038.0
17;Nederland;1964;3159730.0
18;Nederland;1965;3261008.0
19;Nederland;1966;3365978.0
20;Nederland;1967;3476912.0
21;Nederland;1968;3582006.0
22;Nederland;1969;3687323.0
23;Nederland;1970;3786524.0
24;Nederland;1971;3905679.0
25;Nederland;1972;4041729.0
26;Nederland;1973;4182738.0
27;Nederland;1974;4312898.0
28;Nederland;1975;4388002.0
29;Nederland;1976;4479923.0
30;Nederland;1977;4577702.0
31;Nederland;1978;4671609.0
32;Nederland;1979;4747089.0
33;Nederland;1980;4849719.0
34;Nederland;1981;4957212.0
35;Nederland;1982;5071883.0
36;Nederland;1983;5178058.0
37;Nederland;1984;5289327.0
38;Nederland;1985;5384081.0
39;Nederland;1986;5483078.0
40;Nederland;1987;5588559.0
41;Nederland;1988;5699392.0
42;Nederland;1989;5802361.0
43;Nederland;1990;5892241.0
44;Nederland;1991;5965850.0
45;Nederland;1992;6042985.0
46;Nederland;1993;6116025.0
47;Nederland;1994;6191922.0
48;Nederland;1995;6276045.0
49;Nederland;1996;6357569.0
50;Nederland;1997;6440511.0
51;Nederland;1998;6522362.0
52;Nederland;1999;6589662.0
53;Nederland;2000;6650911.0
54;Nederland;2001;6709732.0
55;Nederland;2002;6764066.0
56;Nederland;2003;6809581.0
57;Nederland;2004;6858719.0
58;Nederland;2005;6912405.0
59;Nederland;2006;6967046.0
60;Nederland;2007;7028606.0
61;Nederland;2008;7104518.0
62;Nederland;2009;7172436.0
63;Nederland;2010;7217803.0
64;Nederland;2011;7266295.0
65;Noord-Nederland (LD);1947;274849.0
66;Noord-Nederland (LD);1948;279842.0
67;Noord-Nederland (LD);1949;284813.0
68;Noord-Nederland (LD);1950;289621.0
69;Noord-Nederland (LD);1951;295922.0
70;Noord-Nederland (LD);1952;300798.0
71;Noord-Nederland (LD);1953;305391.0
72;Noord-Nederland (LD);1954;308739.0
73;Noord-Nederland (LD);1955;312003.0
74;Noord-Nederland (LD);1956;316107.0
75;Noord-Nederland (LD);1957;324300.0
76;Noord-Nederland (LD);1958;330797.0
77;Noord-Nederland (LD);1959;336509.0
78;Noord-Nederland (LD);1960;337583.0
79;Noord-Nederland (LD);1961;343336.0
80;Noord-Nederland (LD);1962;348612.0
81;Noord-Nederland (LD);1963;356114.0
82;Noord-Nederland (LD);1964;366774.0
83;Noord-Nederland (LD);1965;378386.0
84;Noord-Nederland (LD);1966;390683.0
85;Noord-Nederland (LD);1967;401437.0
86;Noord-Nederland (LD);1968;411464.0
87;Noord-Nederland (LD);1969;421533.0
88;Noord-Nederland (LD);1970;430427.0
89;Noord-Nederland (LD);1971;443769.0
90;Noord-Nederland (LD);1972;460317.0
91;Noord-Nederland (LD);1973;477993.0
92;Noord-Nederland (LD);1974;494596.0
93;Noord-Nederland (LD);1975;496906.0
94;Noord-Nederland (LD);1976;506526.0
95;Noord-Nederland (LD);1977;517087.0
96;Noord-Nederland (LD);1978;525595.0
97;Noord-Nederland (LD);1979;533739.0
98;Noord-Nederland (LD);1980;542545.0
99;Noord-Nederland (LD);1981;553380.0
100;Noord-Nederland (LD);1982;564325.0
101;Noord-Nederland (LD);1983;572404.0
102;Noord-Nederland (LD);1984;580795.0
103;Noord-Nederland (LD);1985;589117.0
104;Noord-Nederland (LD);1986;597551.0
105;Noord-Nederland (LD);1987;606456.0
106;Noord-Nederland (LD);1988;615938.0
107;Noord-Nederland (LD);1989;625601.0
108;Noord-Nederland (LD);1990;633362.0
109;Noord-Nederland (LD);1991;639346.0
110;Noord-Nederland (LD);1992;644901.0
111;Noord-Nederland (LD);1993;651719.0
112;Noord-Nederland (LD);1994;660774.0
113;Noord-Nederland (LD);1995;669126.0
114;Noord-Nederland (LD);1996;676737.0
115;Noord-Nederland (LD);1997;685453.0
116;Noord-Nederland (LD);1998;692192.0
117;Noord-Nederland (LD);1999;697417.0
118;Noord-Nederland (LD);2000;701612.0
119;Noord-Nederland (LD);2001;705634.0
120;Noord-Nederland (LD);2002;710738.0
121;Noord-Nederland (LD);2003;714038.0
122;Noord-Nederland (LD);2004;718059.0
123;Noord-Nederland (LD);2005;721859.0
124;Noord-Nederland (LD);2006;726191.0
125;Noord-Nederland (LD);2007;731711.0
126;Noord-Nederland (LD);2008;738829.0
127;Noord-Nederland (LD);2009;743503.0
128;Noord-Nederland (LD);2010;745828.0
129;Noord-Nederland (LD);2011;748901.0
130;Oost-Nederland (LD);1947;337791.0
131;Oost-Nederland (LD);1948;345852.0
132;Oost-Nederland (LD);1949;355832.0
133;Oost-Nederland (LD);1950;366162.0
134;Oost-Nederland (LD);1951;378326.0
135;Oost-Nederland (LD);1952;389006.0
136;Oost-Nederland (LD);1953;400083.0
137;Oost-Nederland (LD);1954;410851.0
138;Oost-Nederland (LD);1955;419878.0
139;Oost-Nederland (LD);1956;432510.0
140;Oost-Nederland (LD);1957;447325.0
141;Oost-Nederland (LD);1958;460459.0
142;Oost-Nederland (LD);1959;474080.0
143;Oost-Nederland (LD);1960;483029.0
144;Oost-Nederland (LD);1961;495093.0
145;Oost-Nederland (LD);1962;507283.0
146;Oost-Nederland (LD);1963;519828.0
147;Oost-Nederland (LD);1964;537577.0
148;Oost-Nederland (LD);1965;557351.0
149;Oost-Nederland (LD);1966;578671.0
150;Oost-Nederland (LD);1967;600461.0
151;Oost-Nederland (LD);1968;620611.0
152;Oost-Nederland (LD);1969;640235.0
153;Oost-Nederland (LD);1970;658263.0
154;Oost-Nederland (LD);1971;681654.0
155;Oost-Nederland (LD);1972;708391.0
156;Oost-Nederland (LD);1973;738085.0
157;Oost-Nederland (LD);1974;767699.0
158;Oost-Nederland (LD);1975;784593.0
159;Oost-Nederland (LD);1976;804144.0
160;Oost-Nederland (LD);1977;826169.0
161;Oost-Nederland (LD);1978;846074.0
162;Oost-Nederland (LD);1979;863904.0
163;Oost-Nederland (LD);1980;887858.0
164;Oost-Nederland (LD);1981;912882.0
165;Oost-Nederland (LD);1982;938457.0
166;Oost-Nederland (LD);1983;959326.0
167;Oost-Nederland (LD);1984;985228.0
168;Oost-Nederland (LD);1985;1006889.0
169;Oost-Nederland (LD);1986;1032857.0
170;Oost-Nederland (LD);1987;1056399.0
171;Oost-Nederland (LD);1988;1080960.0
172;Oost-Nederland (LD);1989;1103044.0
173;Oost-Nederland (LD);1990;1122728.0
174;Oost-Nederland (LD);1991;1139400.0
175;Oost-Nederland (LD);1992;1158669.0
176;Oost-Nederland (LD);1993;1176277.0
177;Oost-Nederland (LD);1994;1195043.0
178;Oost-Nederland (LD);1995;1215875.0
179;Oost-Nederland (LD);1996;1235313.0
180;Oost-Nederland (LD);1997;1257456.0
181;Oost-Nederland (LD);1998;1277300.0
182;Oost-Nederland (LD);1999;1293798.0
183;Oost-Nederland (LD);2000;1308518.0
