ID;Leeftijden;Migratieachtergrond;Perioden;WanbetalersZorgverzekering_1;WanbetalersZorgverzekeringRelatief_2
0;20300;Totaal;2010;244210;1.9
1;20300;Totaal;2011;274750;2.1
2;20300;Totaal;2012;278670;2.1
3;20300;Totaal;2013;282440;2.1
4;20300;Totaal;2014;298240;2.2
5;20300;Totaal;2015;282190;2.1
6;20300;Totaal;2016;249930;1.8
7;20300;Totaal;2017;229870;1.7
8;20300;Totaal;2018;206100;1.5
9;20300;Totaal;2019;190250;1.4
10;20300;Totaal;2020;174720;1.2
11;20300;Totaal;2021;161900;1.1
12;20300;Totaal;2022;158980;1.1
13;20300;Nederlandse achtergrond;2010;137370;1.3
14;20300;Nederlandse achtergrond;2011;150470;1.4
15;20300;Nederlandse achtergrond;2012;151340;1.4
16;20300;Nederlandse achtergrond;2013;149140;1.4
17;20300;Nederlandse achtergrond;2014;156710;1.5
18;20300;Nederlandse achtergrond;2015;147710;1.4
19;20300;Nederlandse achtergrond;2016;130230;1.2
20;20300;Nederlandse achtergrond;2017;119200;1.1
21;20300;Nederlandse achtergrond;2018;105050;1.0
22;20300;Nederlandse achtergrond;2019;94970;0.9
23;20300;Nederlandse achtergrond;2020;85330;0.8
24;20300;Nederlandse achtergrond;2021;77050;0.7
25;20300;Nederlandse achtergrond;2022;74040;0.7
26;20300;Met migratieachtergrond;2010;106840;4.1
27;20300;Met migratieachtergrond;2011;124270;4.6
28;20300;Met migratieachtergrond;2012;127330;4.7
29;20300;Met migratieachtergrond;2013;133300;4.8
30;20300;Met migratieachtergrond;2014;141530;5.0
31;20300;Met migratieachtergrond;2015;134480;4.6
32;20300;Met migratieachtergrond;2016;119700;4.0
33;20300;Met migratieachtergrond;2017;110670;3.6
34;20300;Met migratieachtergrond;2018;101050;3.2
35;20300;Met migratieachtergrond;2019;95290;2.9
36;20300;Met migratieachtergrond;2020;89380;2.6
37;20300;Met migratieachtergrond;2021;84850;2.4
38;20300;Met migratieachtergrond;2022;84940;2.3
39;20300;Marokko;2010;12810;5.6
40;20300;Marokko;2011;15350;6.6
41;20300;Marokko;2012;15740;6.6
42;20300;Marokko;2013;17310;7.1
43;20300;Marokko;2014;18320;7.3
44;20300;Marokko;2015;17790;6.9
45;20300;Marokko;2016;16020;6.1
46;20300;Marokko;2017;14970;5.6
47;20300;Marokko;2018;13810;5.0
48;20300;Marokko;2019;13120;4.6
49;20300;Marokko;2020;12500;4.3
50;20300;Marokko;2021;11960;4.0
51;20300;Marokko;2022;11980;3.8
52;20300;Turkije;2010;13030;4.8
53;20300;Turkije;2011;15310;5.5
54;20300;Turkije;2012;15670;5.5
55;20300;Turkije;2013;16330;5.7
56;20300;Turkije;2014;16970;5.8
57;20300;Turkije;2015;16210;5.5
58;20300;Turkije;2016;14460;4.8
59;20300;Turkije;2017;13410;4.3
60;20300;Turkije;2018;12160;3.8
61;20300;Turkije;2019;11340;3.5
62;20300;Turkije;2020;10360;3.1
63;20300;Turkije;2021;9750;2.9
64;20300;Turkije;2022;9370;2.6
65;20300;Suriname;2010;20570;7.8
66;20300;Suriname;2011;24260;9.0
67;20300;Suriname;2012;24540;9.0
68;20300;Suriname;2013;25800;9.4
69;20300;Suriname;2014;26460;9.5
70;20300;Suriname;2015;24990;8.9
71;20300;Suriname;2016;22130;7.8
72;20300;Suriname;2017;20060;7.0
73;20300;Suriname;2018;17850;6.1
74;20300;Suriname;2019;16140;5.4
75;20300;Suriname;2020;14430;4.8
76;20300;Suriname;2021;13300;4.3
77;20300;Suriname;2022;12640;4.1
78;20300;(voormalige) Nederlandse Antillen, Aruba;2010;12810;12.7
79;20300;(voormalige) Nederlandse Antillen, Aruba;2011;14920;14.4
80;20300;(voormalige) Nederlandse Antillen, Aruba;2012;15360;14.6
81;20300;(voormalige) Nederlandse Antillen, Aruba;2013;15920;14.9
82;20300;(voormalige) Nederlandse Antillen, Aruba;2014;16630;15.2
83;20300;(voormalige) Nederlandse Antillen, Aruba;2015;15680;14.1
84;20300;(voormalige) Nederlandse Antillen, Aruba;2016;14250;12.5
85;20300;(voormalige) Nederlandse Antillen, Aruba;2017;13070;11.2
