ID;Beroepen;Perioden;GemiddeldeWinst_1;Zelfstandigen_2
0;Huisartsgeneeskunde;2001;80.8;6215
1;Huisartsgeneeskunde;2002;94.8;6170
2;Huisartsgeneeskunde;2003;103.1;6230
3;Huisartsgeneeskunde;2004;98.0;6250
4;Huisartsgeneeskunde;2005;98.3;6355
5;Huisartsgeneeskunde;2006;123.5;6680
6;Huisartsgeneeskunde;2007;128.1;6595
7;Huisartsgeneeskunde;2008;122.6;6820
8;Huisartsgeneeskunde;2009;124.9;6915
9;Huisartsgeneeskunde;2010;120.9;7455
10;Huisartsgeneeskunde;2011;124.5;7780
11;Huisartsgeneeskunde;2012;117.0;8085
12;Huisartsgeneeskunde;2013;111.1;8330
13;Huisartsgeneeskunde;2014;113.4;8645
14;Tandarts;2001;84.7;4410
15;Tandarts;2002;101.7;4435
16;Tandarts;2003;106.9;4415
17;Tandarts;2004;103.5;4415
18;Tandarts;2005;105.1;4530
19;Tandarts;2006;108.9;4760
20;Tandarts;2007;118.2;4710
21;Tandarts;2008;122.5;4805
22;Tandarts;2009;119.3;4810
23;Tandarts;2010;118.5;5050
24;Tandarts;2011;113.5;5235
25;Tandarts;2012;114.4;5400
26;Tandarts;2013;107.0;5480
27;Tandarts;2014;114.8;5550
28;Totaal medisch specialist;2001;136.7;3685
29;Totaal medisch specialist;2002;148.1;3805
30;Totaal medisch specialist;2003;161.6;3835
31;Totaal medisch specialist;2004;173.8;3865
32;Totaal medisch specialist;2005;175.6;3990
33;Totaal medisch specialist;2006;186.9;4305
34;Totaal medisch specialist;2007;205.3;4380
35;Totaal medisch specialist;2008;236.1;4520
36;Totaal medisch specialist;2009;259.2;4530
37;Totaal medisch specialist;2010;213.6;5115
38;Totaal medisch specialist;2011;189.6;5255
39;Totaal medisch specialist;2012;189.2;5595
40;Totaal medisch specialist;2013;189.1;5805
41;Totaal medisch specialist;2014;195.2;5700
42;Anesthesiologie;2001;146.5;325
43;Anesthesiologie;2002;154.5;345
44;Anesthesiologie;2003;172.6;345
45;Anesthesiologie;2004;184.6;345
46;Anesthesiologie;2005;187.1;355
47;Anesthesiologie;2006;196.3;385
48;Anesthesiologie;2007;213.6;400
49;Anesthesiologie;2008;314.8;415
50;Anesthesiologie;2009;353.6;405
51;Anesthesiologie;2010;277.0;445
52;Anesthesiologie;2011;221.0;470
53;Anesthesiologie;2012;214.8;490
54;Anesthesiologie;2013;209.2;505
55;Anesthesiologie;2014;219.0;480
56;Cardiologie;2001;164.7;185
57;Cardiologie;2002;168.4;200
58;Cardiologie;2003;185.4;220
59;Cardiologie;2004;214.7;230
60;Cardiologie;2005;219.7;240
61;Cardiologie;2006;228.5;255
62;Cardiologie;2007;244.4;255
63;Cardiologie;2008;222.2;265
64;Cardiologie;2009;228.4;265
65;Cardiologie;2010;204.8;305
66;Cardiologie;2011;173.7;305
67;Cardiologie;2012;202.4;310
68;Cardiologie;2013;212.3;325
69;Cardiologie;2014;210.7;320
70;Cardio-thoracale chirurgie;2001;;5
71;Cardio-thoracale chirurgie;2002;;10
