ID;Landen;Perioden;k_0Tot1Jaar_1;k_1Tot3Jaar_2;k_3Tot5Jaar_3;k_5Tot10Jaar_4;k_10JaarEnMeer_5;SocialeUitkeringen_6;Werkloosheidsuitkeringen_7;ParttimeWerkgelegenheid_8;Minimumloon_9
0;Australië;1990;;;;;;;;;
1;Australië;1991;;;;;;;;;
2;Australië;1992;;;;;;;;;
3;Australië;1993;;;;;;;;;
4;Australië;1994;;;;;;;;;
5;Australië;1995;;;;;;;;;
6;Australië;1996;;;;;;;;;
7;Australië;1997;;;;;;;;;
8;Australië;1998;;;;;;;;;
9;Australië;1999;;;;;;;;;
10;Australië;2000;;;;;;;;;
11;Australië;2001;22.6;22.6;14.0;15.7;25.2;;;23.7;
12;Australië;2002;;;;;;;;24.0;
13;Australië;2003;;;;;;;;24.3;
14;Australië;2004;23.4;20.9;14.4;16.6;24.6;;;23.8;
15;Australië;2005;;;;;;;;24.0;
16;Australië;2006;22.1;22.4;13.8;17.5;24.1;;;23.9;
17;Australië;2007;23.3;22.0;13.9;16.7;24.0;;;23.8;
18;Australië;2008;21.9;23.6;14.0;16.7;23.7;;;23.8;
19;Australië;2009;19.7;24.2;15.4;17.8;22.9;;;24.7;
20;Australië;2010;20.4;21.2;15.7;17.9;24.8;;;24.9;
21;Australië;2011;;;;;;;;24.7;
22;Australië;2012;;;;;;;;24.6;
23;Australië;2013;;;;;;;;;
24;België;1990;;;;;;25.1;3.4;13.5;
25;België;1991;;;;;;25.8;3.5;14.6;
26;België;1992;10.4;15.7;11.4;17.1;45.3;26.5;3.4;14.3;
27;België;1993;9.5;15.3;11.8;18.3;45.0;27.6;3.7;14.7;
28;België;1994;9.5;14.4;12.7;18.7;44.8;26.8;3.6;14.6;
29;België;1995;10.2;13.7;11.2;19.7;45.2;25.9;3.4;14.6;
30;België;1996;10.1;13.5;10.2;20.7;45.4;26.4;3.4;14.8;
31;België;1997;9.9;14.5;10.0;20.6;45.1;25.4;3.3;15.0;
32;België;1998;11.9;10.6;10.5;20.5;46.5;25.2;3.2;15.6;
33;België;1999;12.9;11.0;10.3;18.0;47.7;25.0;3.1;19.9;1085.0
