ID;KenmerkenWerknemers;Marges;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDieHebbenVerzuimd_2;AantalKeerVerzuimd_3;AantalWerkdagenVerzuimd_4;AantalWerkdagenMeestRecenteVerzuim_5;k_1Tot5Werkdagen_6;k_5Tot20Werkdagen_7;k_20Tot210Werkdagen_8;k_210WerkdagenOfMeer_9;Rug_10;NekSchoudersArmenPolsenHanden_11;HeupBenenKnieenVoeten_12;HartEnVaatstelsel_13;PsychischOverspannenheidBurnOut_14;VermoeidheidOfConcentratieproblemen_15;ConflictOpHetWerk_16;Luchtwegen_17;BuikMaagOfDarmen_18;Huid_19;OrenOfOgen_20;GriepOfVerkoudheid_21;Hoofdpijn_22;KlachtenInVerbandMetZwangerschap_23;OverigeKlachten_24;GriepVerkoudheidOfAnderVirus_25;Hoofdpijn_26;PsychischOverspannenheidBurnOut_27;VermoeidheidOfConcentratieproblemen_28;Rug_29;NekSchoudersArmenPolsenHanden_30;HeupBenenKnieenVoeten_31;HartEnVaatstelsel_32;BuikMaagOfDarmen_33;Luchtwegen_34;Huid_35;OrenOfOgen_36;OverigeKlachten_37;Zwangerschapsklachten_38;Menstruatieklachten_39;Overgangsklachten_40;MenstruatieOfOvergangsklachten_41;JaHoofdzakelijkGevolgVanMijnWerk_42;JaVoorEenDeelGevolgVanMijnWerk_43;NeeGeenGevolgVanMijnWerk_44;WeetNiet_45;WerkdrukWerkstress_46;EmotioneelTeZwaar_47;LichamelijkTeZwaar_48;LangdurigDezelfdeHandelingOfPcWerk_49;TeMoeilijkWerk_50;ProblemenMetLeidingWerkgever_51;ProblemenMetCollegaOfOndergeschikte_52;ProblemenMetKlanten_53;GevaarlijkWerkBedrijfsongeval_54;GevaarlijkeStoffen_55;AndereReden_56;TeHogeWerkdruk_57;LangDezelfdeBewegingenDoen_58;LangAchterDeComputerWerken_59;SlechteFysiekeWerkomstandigheden_60;LichamelijkTeZwaarWerk_61;EmotioneelTeZwaarWerk_62;RuzieConflictOngewenstGedrag_63;ArbeidsongevalOfOngeluk_64;BesmettingOpHetWerk_65;AndereReden_66
10;Totaal;Waarde;2024;4.9;51.6;2.9;17.1;14.2;70.6;17.5;10.7;1.2;;;;;;;;;;;;;;;;55.5;4.8;8.2;2.3;3.8;3.3;3.7;1.0;4.9;1.3;0.4;0.9;9.8;3.2;6.3;3.6;9.6;7.7;14.7;71.4;6.2;;;;;;;;;;;;27.2;5.5;6.1;2.7;12.3;5.8;6.3;2.8;14.6;16.6
11;Totaal;Ondergrens 95%-interval;2014;3.6;42.4;2.3;14.7;12.7;67.9;18.6;10.4;1.0;5.7;5.0;4.7;1.3;5.3;2.6;0.5;2.5;9.1;0.5;0.8;42.4;5.0;1.5;11.3;;;;;;;;;;;;;;;;;;8.4;16.5;68.5;4.4;37.3;2.9;14.2;9.5;0.1;6.2;1.2;0.7;1.5;0.2;18.7;;;;;;;;;;
12;Totaal;Ondergrens 95%-interval;2015;3.8;44.4;2.3;15.2;13.0;67.6;18.7;11.0;0.8;5.8;4.6;5.0;1.2;5.9;2.0;0.4;2.4;7.4;0.4;0.9;46.1;4.9;1.2;10.6;;;;;;;;;;;;;;;;;;8.1;15.0;69.9;5.1;35.4;3.2;15.7;10.0;0.3;4.9;1.8;0.5;1.4;0.3;19.2;;;;;;;;;;
13;Totaal;Ondergrens 95%-interval;2016;3.7;45.2;2.4;14.6;12.5;68.7;18.2;10.5;0.8;5.4;4.4;4.4;1.2;5.9;2.6;0.4;2.5;8.2;0.5;0.9;45.2;4.8;1.2;11.1;;;;;;;;;;;;;;;;;;8.2;15.6;69.8;4.4;37.2;3.0;15.6;9.6;0.3;5.2;1.1;0.4;1.2;0.4;19.1;;;;;;;;;;
14;Totaal;Ondergrens 95%-interval;2017;3.8;43.5;2.3;15.5;13.6;68.0;17.9;11.2;1.0;5.3;4.9;4.6;1.3;7.0;2.6;0.4;2.2;8.1;0.5;0.9;44.0;4.6;1.0;11.0;;;;;;;;;;;;;;;;;;9.9;16.3;67.0;4.7;38.7;2.9;15.0;9.5;0.2;5.4;1.4;0.4;1.2;0.3;18.2;;;;;;;;;;
15;Totaal;Ondergrens 95%-interval;2018;4.2;47.5;2.6;15.8;13.2;67.2;19.3;11.0;0.8;5.0;4.3;4.4;1.3;6.9;2.3;0.5;2.1;8.1;0.5;1.1;46.4;4.6;1.3;10.6;;;;;;;;;;;;;;;;;;9.1;15.6;69.1;4.5;37.0;2.8;15.3;9.5;0.3;5.4;1.8;0.6;1.5;0.5;19.4;;;;;;;;;;
16;Totaal;Ondergrens 95%-interval;2019;4.4;46.4;2.6;16.6;14.1;67.7;17.9;11.7;1.0;5.0;4.6;4.6;1.2;7.8;2.4;0.5;2.2;7.9;0.4;0.9;44.8;4.6;1.4;10.8;;;;;;;;;;;;;;;;;;9.4;16.0;67.6;5.3;37.3;3.2;15.3;8.8;0.2;5.8;2.0;0.6;1.4;0.5;18.7;;;;;;;;;;
17;Totaal;Ondergrens 95%-interval;2020;4.2;43.1;2.7;17.3;14.8;62.2;22.7;12.3;1.0;5.0;4.5;3.8;1.2;7.0;2.3;0.5;2.7;7.0;0.4;1.0;42.3;5.8;1.4;14.5;;;;;;;;;;;;;;;;;;9.0;14.1;68.7;6.2;33.8;2.7;15.0;9.1;0.2;4.9;1.8;1.0;1.6;0.4;22.7;;;;;;;;;;
18;Totaal;Ondergrens 95%-interval;2021;4.5;43.1;2.7;18.5;16.1;61.1;22.7;13.0;1.1;4.6;3.7;3.8;1.0;8.2;2.8;0.4;2.3;6.6;0.3;0.8;39.5;5.0;1.2;17.9;;;;;;;;;;;;;;;;;;9.7;15.1;66.5;6.6;36.4;3.3;14.2;7.5;0.5;4.8;1.4;0.8;1.4;0.1;22.8;;;;;;;;;;
19;Totaal;Ondergrens 95%-interval;2022;5.1;57.2;2.6;15.8;12.6;63.2;25.4;9.0;0.9;;;;;;;;;;;;;;;;63.1;3.4;6.4;1.7;3.0;2.6;2.7;0.9;3.3;1.1;0.2;0.6;8.2;2.7;4.0;2.0;6.1;7.3;12.6;72.2;6.5;;;;;;;;;;;;27.4;4.8;4.6;1.3;9.8;4.1;4.3;2.2;20.8;13.7
20;Totaal;Ondergrens 95%-interval;2023;4.6;50.4;2.7;16.4;13.7;69.3;17.9;10.2;1.1;;;;;;;;;;;;;;;;54.6;4.8;7.6;2.2;3.5;3.1;3.4;0.9;4.7;1.2;0.3;0.8;9.7;2.8;5.7;2.8;8.6;7.5;13.9;70.9;6.0;;;;;;;;;;;;28.5;5.4;4.9;2.3;10.6;5.1;5.6;2.5;13.4;14.5
21;Totaal;Ondergrens 95%-interval;2024;4.7;51.1;2.8;16.7;13.7;70.1;17.0;10.3;1.1;;;;;;;;;;;;;;;;54.9;4.6;7.9;2.1;3.6;3.1;3.5;0.9;4.6;1.2;0.4;0.8;9.4;2.8;5.7;3.2;8.9;7.4;14.3;70.8;5.9;;;;;;;;;;;;26.1;5.0;5.5;2.3;11.5;5.2;5.7;2.4;13.7;15.7
22;Totaal;Bovengrens 95%-interval;2014;3.8;43.5;2.5;15.7;14.0;69.5;19.9;11.5;1.3;6.5;5.8;5.4;1.6;6.1;3.1;0.7;3.0;10.1;0.7;1.1;44.1;5.7;2.0;12.4;;;;;;;;;;;;;;;;;;9.4;17.8;70.0;5.1;40.5;4.1;16.6;11.5;0.5;7.8;2.0;1.3;2.4;0.7;21.4;;;;;;;;;;
23;Totaal;Bovengrens 95%-interval;2015;4.1;45.4;2.4;16.1;14.2;69.0;19.9;12.0;1.1;6.5;5.2;5.6;1.5;6.6;2.5;0.6;2.9;8.2;0.7;1.2;47.6;5.5;1.6;11.5;;;;;;;;;;;;;;;;;;8.9;16.1;71.2;5.8;38.3;4.4;18.0;11.9;0.7;6.3;2.7;1.1;2.2;0.8;21.7;;;;;;;;;;
24;Totaal;Bovengrens 95%-interval;2016;3.9;46.1;2.5;15.5;13.6;70.0;19.3;11.4;1.1;6.1;5.0;5.1;1.5;6.6;3.1;0.6;2.9;9.0;0.7;1.2;46.8;5.4;1.5;12.0;;;;;;;;;;;;;;;;;;9.1;16.7;71.2;5.0;40.1;4.1;17.8;11.4;0.8;6.5;1.8;0.9;2.0;0.9;21.5;;;;;;;;;;
25;Totaal;Bovengrens 95%-interval;2017;4.1;44.5;2.5;16.5;14.8;69.4;19.1;12.2;1.3;6.0;5.6;5.3;1.6;7.8;3.1;0.7;2.7;8.9;0.7;1.2;45.6;5.2;1.3;11.9;;;;;;;;;;;;;;;;;;10.8;17.5;68.5;5.4;41.5;4.0;17.2;11.3;0.6;6.7;2.2;0.9;1.9;0.7;20.5;;;;;;;;;;
26;Totaal;Bovengrens 95%-interval;2018;4.5;48.4;2.7;16.6;14.2;68.4;20.3;11.8;1.1;5.6;4.8;4.9;1.6;7.5;2.7;0.7;2.4;8.8;0.7;1.3;47.7;5.1;1.6;11.4;;;;;;;;;;;;;;;;;;9.8;16.5;70.3;5.1;39.4;3.7;17.1;11.0;0.6;6.6;2.4;1.0;2.2;1.0;21.4;;;;;;;;;;
27;Totaal;Bovengrens 95%-interval;2019;4.6;47.3;2.7;17.5;15.2;69.0;18.9;12.5;1.3;5.6;5.2;5.1;1.5;8.5;2.8;0.7;2.6;8.6;0.6;1.2;46.1;5.2;1.7;11.6;;;;;;;;;;;;;;;;;;10.1;17.0;68.8;5.9;39.8;4.2;17.2;10.3;0.5;7.1;2.8;1.1;2.1;0.9;20.7;;;;;;;;;;
28;Totaal;Bovengrens 95%-interval;2020;4.5;44.0;2.8;18.3;16.0;63.5;23.9;13.2;1.3;5.6;5.1;4.4;1.5;7.8;2.7;0.7;3.1;7.7;0.6;1.3;43.7;6.4;1.7;15.4;;;;;;;;;;;;;;;;;;9.8;15.1;70.0;6.9;36.4;3.7;17.0;10.7;0.6;6.2;2.7;1.6;2.5;0.8;25.1;;;;;;;;;;
29;Totaal;Bovengrens 95%-interval;2021;4.8;44.1;2.8;19.6;17.4;62.5;24.0;14.0;1.5;5.3;4.3;4.3;1.3;9.1;3.3;0.7;2.8;7.3;0.5;1.1;41.0;5.6;1.6;19.1;;;;;;;;;;;;;;;;;;10.6;16.2;67.9;7.4;39.3;4.4;16.3;9.2;1.2;6.2;2.1;1.3;2.2;0.3;25.3;;;;;;;;;;
30;Totaal;Bovengrens 95%-interval;2022;5.3;58.0;2.7;16.6;13.6;64.3;26.4;9.7;1.2;;;;;;;;;;;;;;;;64.2;3.8;7.0;2.1;3.4;3.0;3.1;1.1;3.8;1.4;0.3;0.8;8.9;3.5;5.0;2.7;7.3;7.9;13.3;73.2;7.1;;;;;;;;;;;;29.8;6.1;5.8;2.1;11.4;5.2;5.5;3.0;22.9;15.6
31;Totaal;Bovengrens 95%-interval;2023;4.9;51.2;2.8;17.3;14.8;70.4;18.8;11.0;1.3;;;;;;;;;;;;;;;;55.9;5.3;8.3;2.6;4.0;3.5;3.8;1.2;5.2;1.5;0.5;1.0;10.4;3.7;6.9;3.7;10.0;8.2;14.8;72.0;6.7;;;;;;;;;;;;30.9;6.7;6.1;3.2;12.4;6.4;7.0;3.4;15.2;16.5
32;Totaal;Bovengrens 95%-interval;2024;5.0;52.0;3.0;17.6;14.7;71.2;18.0;11.1;1.4;;;;;;;;;;;;;;;;56.0;5.1;8.6;2.4;4.0;3.6;4.0;1.1;5.1;1.5;0.5;1.1;10.1;3.6;6.9;4.1;10.3;8.1;15.2;71.9;6.5;;;;;;;;;;;;28.4;6.2;6.8;3.2;13.2;6.4;7.0;3.3;15.5;17.6
33;Herkomst: geboren in Nederland;Waarde;2014;3.7;43.4;2.4;15.1;13.4;69.0;18.9;11.0;1.1;6.0;5.3;5.1;1.4;5.7;2.9;0.6;2.8;9.7;0.5;0.9;42.9;5.4;1.8;12.0;;;;;;;;;;;;;;;;;;8.6;16.6;70.6;4.2;39.1;3.5;15.4;10.2;0.2;6.7;1.6;1.0;2.0;0.3;19.9;;;;;;;;;;
34;Herkomst: geboren in Nederland;Waarde;2015;4.0;45.5;2.3;15.7;13.8;68.5;19.0;11.6;1.0;6.0;4.7;5.3;1.4;6.3;2.1;0.5;2.7;7.8;0.5;1.1;46.9;5.3;1.4;11.1;;;;;;;;;;;;;;;;;;8.2;15.2;71.6;5.0;37.0;3.5;16.6;10.9;0.3;5.6;2.2;0.7;1.8;0.4;20.8;;;;;;;;;;
35;Herkomst: geboren in Nederland;Waarde;2016;3.9;46.2;2.5;14.9;13.0;69.7;18.5;10.8;1.0;5.8;4.3;4.8;1.4;6.2;2.9;0.4;2.7;8.5;0.6;1.1;46.2;5.1;1.3;11.6;;;;;;;;;;;;;;;;;;8.2;16.0;71.8;4.1;38.5;3.4;16.6;10.6;0.5;5.8;1.3;0.6;1.5;0.6;20.6;;;;;;;;;;
36;Herkomst: geboren in Nederland;Waarde;2017;4.0;44.3;2.4;16.1;14.4;68.6;18.5;11.8;1.1;5.5;5.0;5.0;1.4;7.4;2.8;0.5;2.4;8.5;0.6;1.0;44.9;4.9;1.2;11.6;;;;;;;;;;;;;;;;;;9.7;16.6;69.1;4.6;40.3;3.6;16.0;9.9;0.3;5.9;1.8;0.5;1.5;0.4;19.7;;;;;;;;;;
37;Herkomst: geboren in Nederland;Waarde;2018;4.4;48.6;2.6;16.1;13.8;68.1;19.5;11.4;1.0;5.0;4.4;4.7;1.5;7.1;2.5;0.6;2.3;8.4;0.5;1.1;47.7;4.9;1.4;11.0;;;;;;;;;;;;;;;;;;8.8;15.7;71.2;4.2;38.5;3.2;16.1;9.5;0.3;6.1;2.0;0.8;1.9;0.7;21.0;;;;;;;;;;
38;Herkomst: geboren in Nederland;Waarde;2019;4.6;47.5;2.7;17.1;14.8;68.5;18.2;12.2;1.1;5.0;4.6;4.9;1.3;8.2;2.6;0.6;2.4;8.5;0.5;1.0;45.6;5.0;1.5;11.3;;;;;;;;;;;;;;;;;;8.9;16.3;69.8;4.9;38.9;3.7;15.9;9.5;0.3;6.3;2.3;0.7;1.8;0.7;19.8;;;;;;;;;;
39;Herkomst: geboren in Nederland;Waarde;2020;4.4;44.3;2.7;17.7;15.5;63.1;22.9;12.8;1.2;5.1;4.5;4.0;1.4;7.4;2.5;0.6;2.9;7.5;0.5;1.0;43.2;6.1;1.6;15.0;;;;;;;;;;;;;;;;;;8.7;14.5;70.6;6.1;34.9;3.4;15.9;9.4;0.2;5.5;2.2;1.2;1.8;0.5;24.9;;;;;;;;;;
40;Herkomst: geboren in Nederland;Waarde;2021;4.7;44.1;2.7;19.1;16.9;61.8;23.2;13.7;1.3;4.4;3.7;4.1;1.2;8.6;3.1;0.5;2.6;7.0;0.4;0.9;40.7;5.2;1.4;18.9;;;;;;;;;;;;;;;;;;9.4;15.1;69.0;6.5;38.1;3.8;15.3;7.3;0.4;5.3;1.8;1.0;1.9;0.1;25.0;;;;;;;;;;
41;Herkomst: geboren in Nederland;Waarde;2022;5.3;57.9;2.6;16.3;13.4;63.8;25.6;9.5;1.1;;;;;;;;;;;;;;;;63.8;3.5;6.8;1.9;2.9;2.7;2.9;1.0;3.6;1.2;0.3;0.7;8.8;3.0;4.3;2.2;6.4;7.2;12.6;73.9;6.4;;;;;;;;;;;;29.3;4.8;4.6;1.4;10.1;4.1;5.0;2.7;23.0;15.0
42;Herkomst: geboren in Nederland;Waarde;2023;4.9;50.6;2.7;17.1;14.7;69.7;17.9;11.1;1.2;;;;;;;;;;;;;;;;55.4;5.0;8.0;2.5;3.4;3.2;3.6;1.0;4.9;1.4;0.4;0.9;10.3;3.1;6.0;3.2;8.9;7.2;13.7;73.5;5.5;;;;;;;;;;;;30.5;5.1;5.0;2.1;11.3;5.3;6.3;3.1;15.7;15.6
43;Herkomst: geboren in Nederland;Waarde;2024;5.0;51.3;2.8;17.3;14.6;70.8;17.1;10.9;1.2;;;;;;;;;;;;;;;;55.5;4.8;8.3;2.4;3.6;3.1;3.7;1.0;5.0;1.3;0.4;0.9;10.0;3.2;6.3;3.9;9.8;7.0;14.2;73.2;5.5;;;;;;;;;;;;27.9;4.6;5.1;2.3;12.3;5.4;6.5;2.8;15.7;17.4
44;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2014;3.6;42.8;2.3;14.6;12.6;68.1;18.3;10.5;0.9;5.6;4.9;4.7;1.3;5.3;2.6;0.5;2.5;9.2;0.4;0.8;42.0;5.0;1.6;11.5;;;;;;;;;;;;;;;;;;8.1;16.0;69.8;3.8;37.5;2.9;14.2;9.2;0.1;5.9;1.3;0.7;1.6;0.2;18.5;;;;;;;;;;
45;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2015;3.9;44.9;2.2;15.1;13.1;67.7;18.4;11.1;0.8;5.7;4.4;5.0;1.2;5.9;1.9;0.4;2.4;7.4;0.4;0.9;46.1;4.9;1.2;10.6;;;;;;;;;;;;;;;;;;7.8;14.7;70.8;4.7;35.5;2.9;15.5;10.0;0.2;4.9;1.8;0.5;1.4;0.3;19.5;;;;;;;;;;
46;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2016;3.7;45.7;2.4;14.4;12.4;69.0;18.0;10.4;0.8;5.4;4.1;4.5;1.2;5.9;2.6;0.3;2.5;8.1;0.5;0.9;45.4;4.8;1.2;11.1;;;;;;;;;;;;;;;;;;7.7;15.4;71.1;3.8;37.0;2.9;15.4;9.7;0.3;5.2;1.0;0.4;1.2;0.4;19.4;;;;;;;;;;
47;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2017;3.9;43.8;2.3;15.6;13.8;67.9;17.9;11.3;1.0;5.1;4.7;4.6;1.2;7.0;2.6;0.4;2.2;8.1;0.5;0.9;44.1;4.6;1.0;11.1;;;;;;;;;;;;;;;;;;9.2;16.0;68.4;4.3;38.8;3.0;14.9;9.0;0.2;5.2;1.5;0.4;1.1;0.3;18.4;;;;;;;;;;
48;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2018;4.3;48.1;2.6;15.7;13.2;67.5;19.0;11.0;0.9;4.7;4.1;4.4;1.4;6.8;2.3;0.5;2.1;8.1;0.5;1.0;47.0;4.6;1.3;10.6;;;;;;;;;;;;;;;;;;8.5;15.2;70.7;4.0;37.2;2.8;15.1;8.8;0.2;5.5;1.7;0.6;1.6;0.5;19.9;;;;;;;;;;
49;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2019;4.4;47.0;2.6;16.6;14.2;67.8;17.6;11.8;1.0;4.8;4.3;4.6;1.2;7.8;2.4;0.5;2.2;8.1;0.4;0.9;45.0;4.7;1.4;10.9;;;;;;;;;;;;;;;;;;8.6;15.8;69.2;4.6;37.6;3.2;14.9;8.7;0.2;5.7;2.0;0.6;1.5;0.5;18.8;;;;;;;;;;
50;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2020;4.3;43.9;2.6;17.2;14.9;62.4;22.3;12.3;1.1;4.8;4.2;3.8;1.3;7.1;2.3;0.5;2.7;7.1;0.4;0.9;42.4;5.8;1.4;14.6;;;;;;;;;;;;;;;;;;8.3;14.1;70.0;5.7;33.5;2.9;14.8;8.6;0.1;4.9;1.8;0.9;1.4;0.4;23.7;;;;;;;;;;
51;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2021;4.6;43.6;2.6;18.5;16.2;61.1;22.5;13.2;1.1;4.1;3.4;3.8;1.0;8.2;2.8;0.4;2.4;6.7;0.3;0.8;40.0;4.9;1.2;18.3;;;;;;;;;;;;;;;;;;9.0;14.6;68.2;6.1;36.6;3.3;14.2;6.5;0.2;4.7;1.4;0.8;1.5;0.1;23.6;;;;;;;;;;
52;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2022;5.2;57.5;2.6;15.9;12.9;63.2;25.1;9.2;1.0;;;;;;;;;;;;;;;;63.2;3.3;6.5;1.7;2.7;2.5;2.7;0.9;3.3;1.1;0.2;0.6;8.5;2.7;3.8;1.9;5.8;6.9;12.2;73.4;6.1;;;;;;;;;;;;28.1;4.2;4.0;1.1;9.3;3.6;4.5;2.2;21.9;14.1
53;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2023;4.7;50.1;2.7;16.6;14.1;69.1;17.5;10.7;1.1;;;;;;;;;;;;;;;;54.7;4.7;7.7;2.3;3.2;3.0;3.3;0.9;4.6;1.3;0.3;0.8;9.9;2.7;5.4;2.8;8.2;6.9;13.3;73.0;5.2;;;;;;;;;;;;29.2;4.5;4.4;1.7;10.4;4.7;5.6;2.6;14.7;14.5
54;Herkomst: geboren in Nederland;Ondergrens 95%-interval;2024;4.8;50.8;2.8;16.8;14.0;70.2;16.6;10.6;1.1;;;;;;;;;;;;;;;;54.8;4.5;7.9;2.2;3.4;2.9;3.5;0.9;4.7;1.2;0.4;0.8;9.7;2.8;5.7;3.4;9.0;6.7;13.8;72.7;5.2;;;;;;;;;;;;26.7;4.0;4.5;1.9;11.5;4.8;5.9;2.4;14.7;16.4
55;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2014;3.9;44.0;2.5;15.7;14.1;69.8;19.6;11.5;1.3;6.4;5.7;5.5;1.7;6.1;3.2;0.7;3.1;10.2;0.7;1.1;43.8;5.8;2.1;12.6;;;;;;;;;;;;;;;;;;9.1;17.3;71.3;4.6;40.8;4.2;16.7;11.2;0.5;7.6;2.1;1.4;2.6;0.6;21.3;;;;;;;;;;
56;Herkomst: geboren in Nederland;Bovengrens 95%-interval;2015;4.2;46.0;2.4;16.2;14.4;69.2;19.6;12.1;1.1;6.4;5.1;5.7;1.5;6.7;2.3;0.6;2.9;8.3;0.7;1.2;47.7;5.6;1.6;11.6;;;;;;;;;;;;;;;;;;8.6;15.8;72.2;5.4;38.6;4.1;17.9;12.0;0.6;6.4;2.8;1.1;2.3;0.7;22.1;;;;;;;;;;
