ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2;GemiddGestandaardiseerdInkPerHuish_3
0;Nederland;Totaal particulier huishouden;6705.2;29.2;20.3
1;Nederland;Eenpersoonshuishouden;2121.4;17.7;17.7
2;Nederland;Paar zonder kinderen;1981.3;31.7;23.1
3;Nederland;Paar met kinderen;2000.7;38.8;20.8
4;Nederland;Eenoudergezin;397.8;24.4;16.7
5;Noord-Nederland;Totaal particulier huishouden;696.4;27.1;18.8
6;Noord-Nederland;Eenpersoonshuishouden;210.3;16.5;16.5
7;Noord-Nederland;Paar zonder kinderen;222.7;29.0;21.2
8;Noord-Nederland;Paar met kinderen;210.3;35.5;19.0
9;Noord-Nederland;Eenoudergezin;37.1;23.2;15.9
10;Oost-Nederland;Totaal particulier huishouden;1342.2;29.1;19.7
11;Oost-Nederland;Eenpersoonshuishouden;374.0;17.1;17.1
12;Oost-Nederland;Paar zonder kinderen;406.4;30.5;22.3
13;Oost-Nederland;Paar met kinderen;446.2;37.4;19.9
14;Oost-Nederland;Eenoudergezin;71.0;24.6;16.7
15;West-Nederland;Totaal particulier huishouden;3230.7;29.6;20.9
16;West-Nederland;Eenpersoonshuishouden;1139.1;18.3;18.3
17;West-Nederland;Paar zonder kinderen;894.6;33.4;24.3
18;West-Nederland;Paar met kinderen;884.1;40.5;21.7
19;West-Nederland;Eenoudergezin;213.6;24.3;16.6
20;Zuid-Nederland;Totaal particulier huishouden;1435.8;29.4;20.1
21;Zuid-Nederland;Eenpersoonshuishouden;398.0;17.3;17.3
22;Zuid-Nederland;Paar zonder kinderen;457.6;30.7;22.4
23;Zuid-Nederland;Paar met kinderen;460.0;38.4;20.6
24;Zuid-Nederland;Eenoudergezin;76.1;24.9;17.0
25;Groningen;Totaal particulier huishouden;239.7;26.3;18.6
26;Groningen;Eenpersoonshuishouden;79.7;16.5;16.5
27;Groningen;Paar zonder kinderen;74.7;28.8;21.1
28;Groningen;Paar met kinderen;65.6;35.5;19.0
29;Groningen;Eenoudergezin;14.0;22.4;15.5
30;Friesland;Totaal particulier huishouden;261.3;27.0;18.6
31;Friesland;Eenpersoonshuishouden;78.0;16.3;16.3
32;Friesland;Paar zonder kinderen;82.1;28.8;21.0
33;Friesland;Paar met kinderen;82.0;35.3;18.8
34;Friesland;Eenoudergezin;13.8;23.5;16.0
35;Drenthe;Totaal particulier huishouden;195.5;28.1;19.2
36;Drenthe;Eenpersoonshuishouden;52.5;16.8;16.8
37;Drenthe;Paar zonder kinderen;65.9;29.4;21.5
38;Drenthe;Paar met kinderen;62.8;35.9;19.2
39;Drenthe;Eenoudergezin;9.2;24.1;16.6
40;Overijssel;Totaal particulier huishouden;430.8;28.2;19.1
41;Overijssel;Eenpersoonshuishouden;119.7;16.7;16.7
42;Overijssel;Paar zonder kinderen;131.5;29.3;21.4
43;Overijssel;Paar met kinderen;143.7;36.3;19.3
44;Overijssel;Eenoudergezin;21.3;24.5;16.6
45;Flevoland;Totaal particulier huishouden;135.2;29.4;19.7
46;Flevoland;Eenpersoonshuishouden;34.3;17.4;17.4
47;Flevoland;Paar zonder kinderen;37.4;31.5;23.0
48;Flevoland;Paar met kinderen;49.4;36.9;19.7
49;Flevoland;Eenoudergezin;9.7;22.6;15.4
50;Gelderland;Totaal particulier huishouden;776.2;29.5;20.0
51;Gelderland;Eenpersoonshuishouden;220.0;17.3;17.3
52;Gelderland;Paar zonder kinderen;237.6;31.0;22.6
53;Gelderland;Paar met kinderen;253.0;38.2;20.3
54;Gelderland;Eenoudergezin;40.1;25.2;17.1
55;Utrecht;Totaal particulier huishouden;471.1;31.8;22.0
56;Utrecht;Eenpersoonshuishouden;152.7;19.1;19.1
57;Utrecht;Paar zonder kinderen;135.1;35.1;25.6
58;Utrecht;Paar met kinderen;143.6;42.1;22.5
59;Utrecht;Eenoudergezin;25.7;26.2;17.8
60;Noord-Holland;Totaal particulier huishouden;1140.3;29.3;21.0
61;Noord-Holland;Eenpersoonshuishouden;433.5;18.6;18.6
