ID;Geslacht;Arbeidspositie;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1;BeroepsEnNietBeroepsbevMetInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkOverdrachtsinkomen_4;GemiddeldPersoonlijkInkomen_5;GemiddeldGestandaardiseerdInkomen_6;BeroepsNietBeroepsbevInkomenOnb_7
0;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2005;12190;11979;22.7;5.2;23.2;21.6;211
1;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2006;12221;12014;24.0;5.2;24.5;22.7;207
2;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2007;12257;12064;25.3;5.2;25.9;24.6;193
3;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2008;12315;12116;26.3;5.3;27.0;25.2;199
4;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2009;12372;12159;26.5;5.6;27.6;25.2;212
5;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2010;12412;12168;26.7;5.9;27.9;25.3;244
6;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2011;12452;12165;27.1;6.0;28.2;25.3;287
7;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2012;12541;12228;27.2;6.1;28.4;25.3;312
8;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2013;12638;12197;27.3;6.5;28.9;25.6;440
9;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Totaal personen;2014;12665;12145;27.7;6.7;29.4;26.7;520
10;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2005;9849;9728;23.6;5.2;23.9;22.1;121
11;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2006;9858;9745;24.9;5.3;25.2;23.3;113
12;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2007;9878;9764;26.1;5.3;26.7;25.3;114
13;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2008;9890;9775;27.2;5.4;27.8;25.8;114
14;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2009;9878;9755;27.4;5.8;28.5;25.9;123
15;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2010;9920;9770;27.7;6.0;28.8;25.9;150
16;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2011;9917;9731;28.1;6.1;29.2;25.9;186
17;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2012;9944;9743;28.1;6.2;29.2;26.0;201
18;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2013;9977;9682;28.6;6.7;30.0;26.4;295
19;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: Nederland;2014;9985;9626;28.9;6.9;30.6;27.6;359
20;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2005;2328;2248;19.1;5.0;20.2;19.3;81
21;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2006;2348;2266;20.0;5.0;21.2;20.4;82
22;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2007;2366;2297;21.6;4.7;22.5;21.9;69
23;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2008;2408;2332;22.7;4.6;23.5;22.4;76
24;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2009;2471;2394;22.7;5.0;23.9;22.6;77
25;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2010;2472;2388;22.6;5.4;24.1;22.6;84
26;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2011;2521;2427;23.2;5.5;24.6;22.5;94
27;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2012;2583;2481;23.6;5.5;24.9;22.7;102
28;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2013;2641;2512;22.7;5.9;24.6;22.7;130
29;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: met migratieacht...;2014;2662;2515;23.1;6.0;25.0;23.5;147
30;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2005;1144;1118;22.7;6.0;24.0;22.2;25
31;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2006;1139;1107;23.8;6.1;25.2;23.1;32
32;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2007;1141;1118;25.4;5.8;26.7;24.9;22
33;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2008;1155;1126;26.3;5.7;27.5;25.2;29
34;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2009;1183;1150;26.6;6.2;28.3;25.6;33
35;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2010;1182;1150;26.6;6.5;28.5;25.6;31
36;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2011;1199;1161;26.9;6.6;28.8;25.3;38
37;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2012;1223;1185;27.5;6.5;29.1;25.5;37
38;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2013;1245;1190;26.7;7.0;29.0;25.7;55
39;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: westers;2014;1246;1182;27.0;7.1;29.4;26.6;64
40;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2005;1185;1130;15.5;4.1;16.6;16.5;55
41;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2006;1209;1159;16.5;4.1;17.5;17.8;50
42;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2007;1225;1179;18.0;3.7;18.6;19.0;47
43;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2008;1252;1206;19.4;3.6;19.8;19.8;47
44;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2009;1288;1244;19.0;3.9;19.8;19.8;44
45;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2010;1290;1238;18.8;4.3;20.0;19.7;53
46;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2011;1322;1266;19.9;4.4;20.8;20.0;56
47;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2012;1360;1296;20.1;4.5;21.0;20.1;64
48;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2013;1396;1322;19.1;5.0;20.7;20.1;74
49;Totaal mannen en vrouwen;Beroeps- en niet beroepsbevolking;Migratieachtergrond: niet-westers;2014;1417;1333;19.5;4.9;21.0;20.7;84
