ID;Geslacht;Leeftijd;Marges;Perioden;Ondergewicht_1;NormaalGewicht_2;Overgewicht_3;MatigOvergewicht_4;ErnstigOvergewicht_5;OpgegevenLengte20JaarOfOuder_6;OpgegevenGewicht20JaarOfOuder_7
0;Totaal mannen en vrouwen;Totaal;Waarde;1981;3.3;69.3;27.4;22.9;4.4;171.5;70.6
1;Totaal mannen en vrouwen;Totaal;Waarde;1982;3.7;69.5;26.7;22.6;4.1;171.5;70.4
2;Totaal mannen en vrouwen;Totaal;Waarde;1983;3.7;68.9;27.4;23.1;4.3;171.6;70.6
3;Totaal mannen en vrouwen;Totaal;Waarde;1984;3.9;68.7;27.3;22.8;4.5;171.8;70.8
4;Totaal mannen en vrouwen;Totaal;Waarde;1985;4.0;68.7;27.3;22.9;4.3;171.8;70.7
5;Totaal mannen en vrouwen;Totaal;Waarde;1986;4.1;67.8;28.1;23.9;4.2;172.0;71.1
6;Totaal mannen en vrouwen;Totaal;Waarde;1987;3.4;67.5;29.1;24.6;4.5;172.2;71.5
7;Totaal mannen en vrouwen;Totaal;Waarde;1988;3.5;68.1;28.4;24.2;4.1;172.4;71.4
8;Totaal mannen en vrouwen;Totaal;Waarde;1989;3.3;66.8;29.9;24.5;5.4;172.3;72.0
9;Totaal mannen en vrouwen;Totaal;Waarde;1990;3.6;66.4;30.0;24.4;5.6;172.8;72.1
10;Totaal mannen en vrouwen;Totaal;Waarde;1991;3.2;66.3;30.5;25.4;5.1;172.7;72.2
11;Totaal mannen en vrouwen;Totaal;Waarde;1992;3.5;64.9;31.7;26.0;5.6;172.7;72.5
12;Totaal mannen en vrouwen;Totaal;Waarde;1993;3.5;64.8;31.7;26.0;5.7;173.0;72.6
13;Totaal mannen en vrouwen;Totaal;Waarde;1994;3.0;63.8;33.1;26.8;6.4;173.0;73.2
14;Totaal mannen en vrouwen;Totaal;Waarde;1995;3.2;64.4;32.5;26.2;6.2;173.1;73.3
15;Totaal mannen en vrouwen;Totaal;Waarde;1996;3.8;62.5;33.7;27.4;6.3;173.3;73.5
16;Totaal mannen en vrouwen;Totaal;Waarde;1997;3.0;62.2;34.8;27.6;7.2;173.6;74.4
