ID;Geslacht;Herkomstgroepering;Opleidingsfase;Opleidingsvorm;Perioden;TotaalGeslaagden_1;StudieduurInMaanden_2
0;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 1995;28310.0;66.0
1;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 1996;25520.0;66.0
2;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 1997;22260.0;67.0
3;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 1998;20540.0;68.0
4;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 1999;20270.0;67.0
5;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 2000;20430.0;67.0
6;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 2001;21310.0;67.0
7;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 2002;22190.0;66.0
8;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 2003;23800.0;65.0
9;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Totaal opleidingsvorm;Cohort 2004;25980.0;64.0
10;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 1995;27020.0;66.0
11;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 1996;23850.0;66.0
12;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 1997;20670.0;66.0
13;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 1998;19030.0;67.0
14;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 1999;18620.0;67.0
15;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 2000;18630.0;66.0
16;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 2001;19450.0;66.0
17;Totaal mannen en vrouwen;Herkomstgroeperingen totaal;Doctoraal;Voltijdopleidingen;Cohort 2002;20280.0;65.0
