ID;Geslacht;Leeftijd;RegioS;Perioden;TotaalAantalBijstandsuitkeringen_1;BurgerlijkeStaatTotaal_2;Ongehuwd_3;Gehuwd_4;Gescheiden_5;Weduwstaat_6;LeefvormTotaal_7;Alleenstaande_8;AlleenstaandeOuder_9;EchtPaar_10;AndersInclusiefLeefvormOnbekend_11;HuisvestingTotaal_12;Huurder_13;Eigenaar_14;Inwonend_15;AantalTenLasteKomendeKinderenTotaal_16;GeenKinderenOfOnbekend_17;k_1Kind_18;k_2Kinderen_19;k_3OfMeerKinderen_20;InkomstenbronTotaal_21;GeenInkomsten_22;InkomstenUitArbeid_23;InkomstenUitOverigeBronnen_24;ArbeidAlsmedeOverigeBronnen_25;BijstandsuitkeringenTotaal_26;UitkeringsduurKorterDan1Jaar_27;Uitkeringsduur1JaarOfLanger_28
0;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 januari;449010.0;449010.0;205120.0;112930.0;124040.0;6470.0;449010.0;256860.0;108130.0;82810.0;1210.0;449010.0;401970.0;8350.0;38690.0;449010.0;;;;;449010.0;355880.0;47670.0;39190.0;6070.0;449010.0;111480.0;337530.0
1;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 februari;446090.0;446090.0;203370.0;112380.0;123460.0;6480.0;446090.0;254850.0;107790.0;82220.0;1230.0;446090.0;399500.0;8300.0;38290.0;446090.0;;;;;446090.0;353300.0;46660.0;39810.0;6120.0;446090.0;107880.0;338210.0
2;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 maart;439860.0;439860.0;199440.0;111100.0;122550.0;6470.0;439860.0;250600.0;107150.0;80960.0;1160.0;439860.0;394630.0;8190.0;37040.0;439860.0;;;;;439860.0;349150.0;45250.0;39170.0;6090.0;439860.0;100950.0;338920.0
3;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 april;435960.0;435960.0;196500.0;110560.0;122160.0;6510.0;435960.0;246390.0;106890.0;79680.0;3000.0;435960.0;391820.0;8130.0;36010.0;435960.0;;;;;435960.0;347180.0;43440.0;38940.0;6260.0;435960.0;98960.0;337000.0
4;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 mei;431780.0;431780.0;193750.0;109890.0;121440.0;6530.0;431780.0;243240.0;106660.0;78900.0;2990.0;431780.0;388810.0;8040.0;34930.0;431780.0;;;;;431780.0;344040.0;42770.0;38440.0;6330.0;431780.0;96240.0;335540.0
5;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 juni;426670.0;426670.0;190390.0;108910.0;120700.0;6530.0;426670.0;240900.0;106200.0;78350.0;1220.0;426670.0;384900.0;7910.0;33870.0;426670.0;;;;;426670.0;339550.0;41980.0;38590.0;6360.0;426670.0;92380.0;334290.0
6;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 juli;425910.0;425910.0;190560.0;108360.0;120280.0;6550.0;425910.0;240780.0;106090.0;77850.0;1190.0;425910.0;383970.0;7880.0;34050.0;425910.0;;;;;425910.0;339160.0;40560.0;39630.0;6430.0;425910.0;93140.0;332770.0
7;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 augustus;422320.0;422320.0;188590.0;107330.0;119690.0;6560.0;422320.0;238530.0;105810.0;76790.0;1190.0;422320.0;380990.0;7790.0;33540.0;422320.0;;;;;422320.0;337120.0;38690.0;40130.0;6250.0;422320.0;90420.0;331910.0
8;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 september;419510.0;419510.0;187120.0;106670.0;119030.0;6550.0;419510.0;236730.0;105190.0;76270.0;1320.0;419510.0;378630.0;7740.0;33140.0;419510.0;;;;;419510.0;334040.0;38830.0;40270.0;6250.0;419510.0;90080.0;329430.0
9;Mannen en vrouwen;Totaal leeftijd;Nederland;1998 oktober;416760.0;416760.0;185370.0;105890.0;118610.0;6760.0;416760.0;234980.0;104560.0;75610.0;1620.0;416760.0;376320.0;7710.0;32730.0;416760.0;;;;;416760.0;330730.0;37980.0;41210.0;6720.0;416760.0;89460.0;327300.0
