ID;Geslacht;KerkelijkeGezindte;Regio;Bewoners_1
0;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Nederland;7935565
1;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Groningen (provincie);392436
2;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Friesland;399659
3;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Drenthe;222432
4;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Overijssel;520788
5;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gelderland;829293
6;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Utrecht (provincie);406960
7;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Noord-Holland;1509587
8;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Zuid-Holland;1957578
9;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Zeeland;247606
10;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Noord-Brabant;898386
11;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Limburg;550840
12;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met meer dan 100000 inwoners;2161741
13;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met 50001 - 100000 inwoners;794275
14;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met 20001 - 50000 inwoners;909519
15;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met 10001 - 20000 inwoners;1178525
16;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met 5001 - 10000 inwoners;1206889
17;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met 2001 - 5000 inwoners;1218855
18;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met 1001 - 2000 inwoners;348525
19;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met 501 - 1000 inwoners;106191
20;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Gemeenten met 500 of minder inwoners;11045
21;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Aagtekerke;760
22;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Aalsmeer;8567
23;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Aalten;11195
24;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Aardenburg;2116
25;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Aarle-Rixtel;2642
26;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Abbekerk;768
27;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Abbenbroek;683
28;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Abcoude-Baambrugge;1446
29;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Abcoude-Proosdij;1649
30;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Achtkarspelen;14983
31;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Achttienhoven (U.);692
32;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Adorp;1411
33;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Aduard;2019
34;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Aengwirden;4723
35;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Akersloot;2004
36;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Alblas (Oud-);1248
37;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Alblasserdam;6189
38;Totaal mannen en vrouwen;Totaal alle kerkelijke gezindten;Alem, Maren en Kessel;1223
