ID;Gender;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;Jobs_2;FullTimeEquivalentFte_3;HoursWorked_4
0;Total male and female;Total;A-U All economic activities;1969;5361.0;5843.0;4871.0;9980.0
1;Total male and female;Total;A-U All economic activities;1970;5447.0;5936.0;4939.0;9964.0
2;Total male and female;Total;A-U All economic activities;1971;5515.0;6015.0;4984.0;9932.0
3;Total male and female;Total;A-U All economic activities;1972;5505.0;6014.0;4962.0;9833.0
4;Total male and female;Total;A-U All economic activities;1973;5576.0;6106.0;5010.0;9828.0
5;Total male and female;Total;A-U All economic activities;1974;5629.0;6172.0;5041.0;9625.0
6;Total male and female;Total;A-U All economic activities;1975;5636.0;6183.0;5024.0;9343.0
7;Total male and female;Total;A-U All economic activities;1976;5705.0;6268.0;5052.0;9450.0
8;Total male and female;Total;A-U All economic activities;1977;5734.0;6290.0;5078.0;9359.0
9;Total male and female;Total;A-U All economic activities;1978;5800.0;6363.0;5124.0;9283.0
10;Total male and female;Total;A-U All economic activities;1979;5931.0;6509.0;5215.0;9368.0
11;Total male and female;Total;A-U All economic activities;1980;6033.0;6633.0;5280.0;9514.0
12;Total male and female;Total;A-U All economic activities;1981;6011.0;6620.0;5230.0;9499.0
13;Total male and female;Total;A-U All economic activities;1982;5931.0;6545.0;5118.0;9311.0
14;Total male and female;Total;A-U All economic activities;1983;5876.0;6491.0;5035.0;9109.0
15;Total male and female;Total;A-U All economic activities;1984;5932.0;6559.0;5050.0;9142.0
16;Total male and female;Total;A-U All economic activities;1985;6046.0;6684.0;5141.0;9186.0
17;Total male and female;Total;A-U All economic activities;1986;6214.0;6878.0;5258.0;9341.0
18;Total male and female;Total;A-U All economic activities;1987;6350.0;7027.0;5345.0;9430.0
19;Total male and female;Total;A-U All economic activities;1988;6465.0;7157.0;5428.0;9585.0
20;Total male and female;Total;A-U All economic activities;1989;6640.0;7345.0;5550.0;9789.0
21;Total male and female;Total;A-U All economic activities;1990;6829.0;7550.0;5695.0;10046.0
22;Total male and female;Total;A-U All economic activities;1991;6945.0;7671.0;5770.0;10176.0
23;Total male and female;Total;A-U All economic activities;1992;7035.0;7790.0;5845.0;10427.0
24;Total male and female;Total;A-U All economic activities;1993;7072.0;7838.0;5852.0;10408.0
25;Total male and female;Total;A-U All economic activities;1994;7127.0;7907.0;5853.0;10515.0
26;Total male and female;Total;A-U All economic activities;1995;7276.0;8066.0;5959.0;10763.0
27;Total male and female;Total;A-U All economic activities;1996;7427.0;8252.0;6098.0;11099.0
28;Total male and female;Total;A-U All economic activities;1997;7656.0;8467.0;6286.0;11331.0
29;Total male and female;Total;A-U All economic activities;1998;7838.0;8687.0;6464.0;11572.0
30;Total male and female;Total;A-U All economic activities;1999;8063.0;8930.0;6629.0;11895.0
31;Total male and female;Total;A-U All economic activities;2000;8210.0;9068.0;6728.0;12003.0
32;Total male and female;Total;A-U All economic activities;2001;8371.0;9188.0;6832.0;12154.0
33;Total male and female;Total;A-U All economic activities;2002;8428.0;9241.0;6819.0;12093.0
34;Total male and female;Total;A-U All economic activities;2003;8381.0;9177.0;6740.0;11956.0
35;Total male and female;Total;A-U All economic activities;2004;8283.0;9121.0;6693.0;11990.0
36;Total male and female;Total;A-U All economic activities;2005;8339.0;9208.0;6712.0;11955.0
37;Total male and female;Total;A-U All economic activities;2006;8519.0;9426.0;6860.0;12186.0
38;Total male and female;Total;A-U All economic activities;2007;8771.0;9729.0;7051.0;12540.0
39;Total male and female;Total;A-U All economic activities;2008;8914.0;9913.0;7181.0;12747.0
40;Total male and female;Total;A-U All economic activities;2009;8838.0;9852.0;7099.0;12567.0
41;Total male and female;Total;A-U All economic activities;2010;8778.0;9816.0;7056.0;12477.0
42;Total male and female;Total;A-U All economic activities;2011;8854.0;9952.0;7099.0;12594.0
43;Total male and female;Total;A-U All economic activities;2012;8836.0;9923.0;7055.0;12487.0
44;Total male and female;Total;A-U All economic activities;2013;8732.0;9789.0;6972.0;12378.0
45;Total male and female;Total;A-U All economic activities;2014;8724.0;9790.0;6964.0;12466.0
46;Total male and female;Total;A-U All economic activities;2015;8806.0;9901.0;7037.0;12539.0
47;Total male and female;Total;A-U All economic activities;2016;8901.0;9999.0;7131.0;12788.0
48;Total male and female;Total;A Agriculture, forestry and fishing;1969;275.0;371.0;270.0;592.0
49;Total male and female;Total;A Agriculture, forestry and fishing;1970;269.0;364.0;263.0;578.0
50;Total male and female;Total;A Agriculture, forestry and fishing;1971;263.0;356.0;256.0;563.0
51;Total male and female;Total;A Agriculture, forestry and fishing;1972;261.0;353.0;252.0;555.0
52;Total male and female;Total;A Agriculture, forestry and fishing;1973;257.0;348.0;247.0;546.0
53;Total male and female;Total;A Agriculture, forestry and fishing;1974;254.0;344.0;243.0;536.0
54;Total male and female;Total;A Agriculture, forestry and fishing;1975;251.0;338.0;239.0;525.0
55;Total male and female;Total;A Agriculture, forestry and fishing;1976;249.0;337.0;236.0;520.0
56;Total male and female;Total;A Agriculture, forestry and fishing;1977;245.0;329.0;231.0;505.0
57;Total male and female;Total;A Agriculture, forestry and fishing;1978;243.0;326.0;228.0;497.0
58;Total male and female;Total;A Agriculture, forestry and fishing;1979;240.0;321.0;224.0;488.0
59;Total male and female;Total;A Agriculture, forestry and fishing;1980;241.0;325.0;224.0;492.0
