ID;LeeftijdVanDeMoederOp31December;MigratieachtergrondMoeder;GeneratieMoeder;Perioden;LevendGeborenKinderen_1
0;Totaal;Totaal;Totaal moeders;1996;189521.0
1;Totaal;Totaal;Totaal moeders;1997;192443.0
2;Totaal;Totaal;Totaal moeders;1998;199408.0
3;Totaal;Totaal;Totaal moeders;1999;200445.0
4;Totaal;Totaal;Totaal moeders;2000;206619.0
5;Totaal;Totaal;Totaal moeders;2001;202603.0
6;Totaal;Totaal;Totaal moeders;2002;202083.0
7;Totaal;Totaal;Totaal moeders;2003;200297.0
8;Totaal;Totaal;Totaal moeders;2004;194007.0
9;Totaal;Totaal;Totaal moeders;2005;187910.0
10;Totaal;Totaal;Totaal moeders;2006;185057.0
11;Totaal;Totaal;Totaal moeders;2007;181336.0
12;Totaal;Totaal;Totaal moeders;2008;184634.0
13;Totaal;Totaal;Totaal moeders;2009;184915.0
14;Totaal;Totaal;Totaal moeders;2010;184397.0
15;Totaal;Totaal;Totaal moeders;2011;180060.0
16;Totaal;Totaal;Totaal moeders;2012;175959.0
17;Totaal;Totaal;Totaal moeders;2013;171341.0
18;Totaal;Totaal;Totaal moeders;2014;175181.0
19;Totaal;Totaal;Totaal moeders;2015;170510.0
20;Totaal;Totaal;Totaal moeders;2016;172520.0
21;Totaal;Totaal;Totaal moeders;2017;169836.0
22;Totaal;Totaal;Totaal moeders;2018;168525.0
23;Totaal;Totaal;Totaal moeders;2019;169680.0
24;Totaal;Totaal;Totaal moeders;2020;168681.0
25;Totaal;Totaal;Totaal moeders;2021;179441.0
26;Totaal;Totaal;Totaal moeders;2022;167504.0
27;Totaal;Totaal;Moeder: Nederlandse achtergrond;1996;149722.0
28;Totaal;Totaal;Moeder: Nederlandse achtergrond;1997;150688.0
29;Totaal;Totaal;Moeder: Nederlandse achtergrond;1998;155578.0
30;Totaal;Totaal;Moeder: Nederlandse achtergrond;1999;155800.0
31;Totaal;Totaal;Moeder: Nederlandse achtergrond;2000;158884.0
32;Totaal;Totaal;Moeder: Nederlandse achtergrond;2001;154766.0
33;Totaal;Totaal;Moeder: Nederlandse achtergrond;2002;153791.0
34;Totaal;Totaal;Moeder: Nederlandse achtergrond;2003;151670.0
35;Totaal;Totaal;Moeder: Nederlandse achtergrond;2004;145450.0
36;Totaal;Totaal;Moeder: Nederlandse achtergrond;2005;139983.0
37;Totaal;Totaal;Moeder: Nederlandse achtergrond;2006;137454.0
38;Totaal;Totaal;Moeder: Nederlandse achtergrond;2007;133849.0
39;Totaal;Totaal;Moeder: Nederlandse achtergrond;2008;136170.0
40;Totaal;Totaal;Moeder: Nederlandse achtergrond;2009;135544.0
41;Totaal;Totaal;Moeder: Nederlandse achtergrond;2010;133739.0
42;Totaal;Totaal;Moeder: Nederlandse achtergrond;2011;129802.0
43;Totaal;Totaal;Moeder: Nederlandse achtergrond;2012;125372.0
44;Totaal;Totaal;Moeder: Nederlandse achtergrond;2013;121724.0
45;Totaal;Totaal;Moeder: Nederlandse achtergrond;2014;123345.0
46;Totaal;Totaal;Moeder: Nederlandse achtergrond;2015;118657.0
47;Totaal;Totaal;Moeder: Nederlandse achtergrond;2016;118787.0
48;Totaal;Totaal;Moeder: Nederlandse achtergrond;2017;116236.0
49;Totaal;Totaal;Moeder: Nederlandse achtergrond;2018;113915.0
50;Totaal;Totaal;Moeder: Nederlandse achtergrond;2019;113721.0
51;Totaal;Totaal;Moeder: Nederlandse achtergrond;2020;113404.0
52;Totaal;Totaal;Moeder: Nederlandse achtergrond;2021;121283.0
53;Totaal;Totaal;Moeder: Nederlandse achtergrond;2022;111104.0
54;Totaal;Totaal;Moeder: Met migratieachtergrond;1996;39799.0
55;Totaal;Totaal;Moeder: Met migratieachtergrond;1997;41755.0
56;Totaal;Totaal;Moeder: Met migratieachtergrond;1998;43830.0
57;Totaal;Totaal;Moeder: Met migratieachtergrond;1999;44645.0
58;Totaal;Totaal;Moeder: Met migratieachtergrond;2000;47735.0
59;Totaal;Totaal;Moeder: Met migratieachtergrond;2001;47837.0
60;Totaal;Totaal;Moeder: Met migratieachtergrond;2002;48292.0
61;Totaal;Totaal;Moeder: Met migratieachtergrond;2003;48627.0
62;Totaal;Totaal;Moeder: Met migratieachtergrond;2004;48557.0
63;Totaal;Totaal;Moeder: Met migratieachtergrond;2005;47927.0
64;Totaal;Totaal;Moeder: Met migratieachtergrond;2006;47603.0
65;Totaal;Totaal;Moeder: Met migratieachtergrond;2007;47487.0
66;Totaal;Totaal;Moeder: Met migratieachtergrond;2008;48464.0
67;Totaal;Totaal;Moeder: Met migratieachtergrond;2009;49371.0
68;Totaal;Totaal;Moeder: Met migratieachtergrond;2010;50658.0
69;Totaal;Totaal;Moeder: Met migratieachtergrond;2011;50258.0
70;Totaal;Totaal;Moeder: Met migratieachtergrond;2012;50587.0
