ID;TypeZorgwoonruimte;RegioS;Perioden;Zorgwoonruimte_1
0;Totaal;Nederland;2017;115945
1;Totaal;Nederland;2018;119250
2;Totaal;Nederland;2019;122605
3;Totaal;Nederland;2020;127035
4;Totaal;Nederland;2021;131220
5;Totaal;Nederland;2022;132790
6;Totaal;Nederland;2023;136050
7;Totaal;Nederland;2024;139465
8;Totaal;Noord-Nederland (LD);2017;17010
9;Totaal;Noord-Nederland (LD);2018;17560
10;Totaal;Noord-Nederland (LD);2019;18195
11;Totaal;Noord-Nederland (LD);2020;19025
12;Totaal;Noord-Nederland (LD);2021;19415
13;Totaal;Noord-Nederland (LD);2022;19215
14;Totaal;Noord-Nederland (LD);2023;19540
15;Totaal;Noord-Nederland (LD);2024;20205
16;Totaal;Oost-Nederland (LD);2017;28020
17;Totaal;Oost-Nederland (LD);2018;28850
18;Totaal;Oost-Nederland (LD);2019;29875
19;Totaal;Oost-Nederland (LD);2020;31115
20;Totaal;Oost-Nederland (LD);2021;31900
21;Totaal;Oost-Nederland (LD);2022;32550
22;Totaal;Oost-Nederland (LD);2023;33610
23;Totaal;Oost-Nederland (LD);2024;34465
24;Totaal;West-Nederland (LD);2017;46560
25;Totaal;West-Nederland (LD);2018;47185
26;Totaal;West-Nederland (LD);2019;48590
27;Totaal;West-Nederland (LD);2020;50345
28;Totaal;West-Nederland (LD);2021;52740
29;Totaal;West-Nederland (LD);2022;53235
30;Totaal;West-Nederland (LD);2023;54185
31;Totaal;West-Nederland (LD);2024;55225
32;Totaal;Zuid-Nederland (LD);2017;24355
33;Totaal;Zuid-Nederland (LD);2018;25655
34;Totaal;Zuid-Nederland (LD);2019;25945
35;Totaal;Zuid-Nederland (LD);2020;26550
36;Totaal;Zuid-Nederland (LD);2021;27165
37;Totaal;Zuid-Nederland (LD);2022;27790
38;Totaal;Zuid-Nederland (LD);2023;28715
39;Totaal;Zuid-Nederland (LD);2024;29570
40;Totaal;Groningen (PV);2017;5010
41;Totaal;Groningen (PV);2018;5185
42;Totaal;Groningen (PV);2019;5395
43;Totaal;Groningen (PV);2020;5790
44;Totaal;Groningen (PV);2021;5775
45;Totaal;Groningen (PV);2022;5765
46;Totaal;Groningen (PV);2023;5645
47;Totaal;Groningen (PV);2024;5750
48;Totaal;Fryslân (PV);2017;6260
49;Totaal;Fryslân (PV);2018;6315
50;Totaal;Fryslân (PV);2019;6330
51;Totaal;Fryslân (PV);2020;6655
52;Totaal;Fryslân (PV);2021;7040
53;Totaal;Fryslân (PV);2022;7070
54;Totaal;Fryslân (PV);2023;7260
55;Totaal;Fryslân (PV);2024;7425
56;Totaal;Drenthe (PV);2017;5745
57;Totaal;Drenthe (PV);2018;6065
58;Totaal;Drenthe (PV);2019;6475
