ID;Perioden;Prijsindex_1;OntwikkelingTOVEenJaarEerder_2;Prijsindex_3;OntwikkelingTOVEenJaarEerder_4
0;2008 1e kwartaal;104.0;;104.0;
1;2008 2e kwartaal;104.2;;104.2;
2;2008 3e kwartaal;104.7;;104.7;
3;2008 4e kwartaal;106.8;;106.8;
4;2008;104.9;;104.9;
5;2009 1e kwartaal;105.6;1.6;105.6;1.6
6;2009 2e kwartaal;105.0;0.8;105.0;0.8
7;2009 3e kwartaal;104.3;-0.4;104.3;-0.4
8;2009 4e kwartaal;102.0;-4.4;102.0;-4.4
9;2009;104.2;-0.6;104.2;-0.6
10;2010 1e kwartaal;99.8;-5.5;99.8;-5.5
11;2010 2e kwartaal;100.2;-4.6;100.2;-4.6
12;2010 3e kwartaal;99.1;-4.9;99.1;-4.9
13;2010 4e kwartaal;100.8;-1.2;100.8;-1.2
14;2010;100.0;-4.1;100.0;-4.1
15;2011 1e kwartaal;98.8;-1.0;98.8;-1.0
16;2011 2e kwartaal;99.4;-0.8;99.4;-0.8
17;2011 3e kwartaal;98.8;-0.3;98.8;-0.3
18;2011 4e kwartaal;98.3;-2.5;98.3;-2.5
19;2011;98.8;-1.1;98.8;-1.1
20;2012 1e kwartaal;94.2;-4.7;94.2;-4.7
21;2012 2e kwartaal;96.0;-3.4;96.0;-3.4
22;2012 3e kwartaal;93.6;-5.3;93.6;-5.3
23;2012 4e kwartaal;94.1;-4.2;92.5;-5.8
24;2012;94.5;-4.4;94.1;-4.8
25;2013 1e kwartaal;96.1;2.1;94.6;0.4
26;2013 2e kwartaal;92.1;-4.1;90.6;-5.7
27;2013 3e kwartaal;92.2;-1.5;90.7;-3.1
28;2013 4e kwartaal;89.9;-4.5;88.4;-4.5
29;2013;92.6;-2.0;91.1;-3.2
30;2014 1e kwartaal;86.9;-9.7;85.4;-9.7
31;2014 2e kwartaal;88.7;-3.7;87.2;-3.7
32;2014 3e kwartaal;90.2;-2.2;88.7;-2.2
33;2014 4e kwartaal;88.8;-1.2;87.3;-1.2
34;2014;88.6;-4.3;87.2;-4.3
35;2015 1e kwartaal;88.9;2.3;87.4;2.3
36;2015 2e kwartaal;90.3;1.8;88.8;1.8
37;2015 3e kwartaal;86.6;-4.0;85.2;-4.0
38;2015 4e kwartaal;86.0;-3.1;84.6;-3.1
39;2015;88.0;-0.8;86.5;-0.8
40;2016 1e kwartaal;85.6;-3.7;84.2;-3.7
41;2016 2e kwartaal;86.6;-4.1;85.2;-4.1
42;2016 3e kwartaal;88.9;2.6;87.4;2.6
43;2016 4e kwartaal;89.8;4.3;88.3;4.3
44;2016;87.7;-0.3;86.3;-0.3
45;2017 1e kwartaal;89.2;4.3;87.7;4.3
46;2017 2e kwartaal;94.5;9.2;93.0;9.2
47;2017 3e kwartaal;93.9;5.7;92.4;5.7
48;2017 4e kwartaal;96.2;7.1;94.6;7.1
49;2017;93.5;6.6;91.9;6.6
