ID;Geslacht;Leeftijden;SociaalEconomischeCategorie;PositieInHuishouden;Perioden;Emigranten_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2000;81.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2001;83.7
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2002;95.1
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2003;103.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2004;111.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2005;120.7
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2006;132.4
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2007;126.4
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2008;124.6
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2009;121.3
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2010;126.6
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Persoon in particulier huishouden;2011;133.3
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2000;24.3
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2001;24.2
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2002;29.8
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2003;32.2
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2004;36.5
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2005;38.3
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2006;43.7
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Alleenstaande;2007;42.1
