ID;HouseholdCharacteristics;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2;PersonsWithPurchasingPowerIncrease_3;k_20thPercentile_4;k_40thPercentile_5;k_60thPercentile_6;k_80thPercentile_7
0;Total persons;2012;-1.1;57.8;42.2;-9.4;-2.5;0.4;7.1
1;Total persons;2013;-1.1;56.0;44.0;-9.6;-2.8;0.8;7.9
2;Total persons;2014;1.9;37.6;62.4;-6.5;0.4;3.7;11.6
3;Total persons;2015;1.3;40.4;59.6;-6.8;-0.1;3.3;11.4
4;Total persons;2016;3.0;32.3;67.7;-4.6;1.2;5.4;13.9
5;Total persons;2017;0.7;43.9;56.1;-6.4;-0.5;2.6;11.5
6;Total persons;2018;0.6;45.6;54.4;-6.3;-0.5;2.7;11.6
7;Total persons;2019;1.5;35.6;64.4;-5.4;0.5;3.6;12.3
8;Total persons;2020;2.5;32.0;68.0;-5.6;1.2;4.8;13.4
9;Total persons;2021;1.4;41.8;58.2;-5.8;-0.2;3.7;13.0
10;Total persons;2022;-1.1;54.5;45.5;-8.4;-2.9;1.5;9.6
11;Total persons;2023;0.3;47.9;52.1;-7.1;-1.2;2.1;9.3
12;Type: Single person household;2012;-1.1;63.9;36.1;-5.8;-1.8;-0.4;4.2
13;Type: Single person household;2013;-1.5;63.5;36.5;-6.9;-2.4;-0.4;4.4
14;Type: Single person household;2014;1.6;32.5;67.5;-3.2;0.8;2.4;7.7
15;Type: Single person household;2015;0.9;36.6;63.4;-3.4;0.3;1.5;6.6
16;Type: Single person household;2016;1.6;29.7;70.3;-2.3;1.0;2.4;8.3
17;Type: Single person household;2017;0.3;44.3;55.7;-3.7;-0.3;0.8;5.7
18;Type: Single person household;2018;-0.1;51.9;48.1;-3.3;-0.4;0.4;5.8
19;Type: Single person household;2019;0.9;30.3;69.7;-2.1;0.5;1.5;6.6
20;Type: Single person household;2020;1.7;24.3;75.7;-1.5;1.3;2.4;7.9
21;Type: Single person household;2021;0.1;46.6;53.4;-2.3;-0.2;1.1;7.2
22;Type: Single person household;2022;-1.3;55.2;44.8;-4.8;-2.6;1.5;6.5
23;Type: Single person household;2023;-0.1;51.0;49.0;-4.8;-1.1;0.9;5.1
24;Type: Multi-person household;2012;-1.1;56.9;43.1;-9.3;-2.6;0.6;7.0
25;Type: Multi-person household;2013;-0.9;54.8;45.2;-9.2;-2.8;1.1;7.9
26;Type: Multi-person household;2014;2.0;37.8;62.2;-6.2;0.4;4.0;11.5
27;Type: Multi-person household;2015;1.6;40.4;59.6;-6.5;-0.1;3.7;11.5
28;Type: Multi-person household;2016;3.5;32.0;68.0;-4.3;1.4;5.8;14.0
29;Type: Multi-person household;2017;0.9;43.6;56.4;-6.3;-0.5;3.0;11.6
30;Type: Multi-person household;2018;0.9;44.3;55.7;-6.2;-0.5;3.2;11.7
31;Type: Multi-person household;2019;1.9;36.0;64.0;-5.3;0.5;4.0;12.4
32;Type: Multi-person household;2020;2.9;32.6;67.4;-5.5;1.2;5.3;13.5
33;Type: Multi-person household;2021;1.8;40.7;59.3;-5.8;-0.1;4.1;13.0
34;Type: Multi-person household;2022;-1.1;54.5;45.5;-8.5;-3.0;1.4;9.6
35;Type: Multi-person household;2023;0.5;47.1;52.9;-7.0;-1.2;2.4;9.4
36;Type: One-parent family;2012;-1.3;57.2;42.8;-10.3;-3.0;0.6;7.7
37;Type: One-parent family;2013;-0.7;53.7;46.3;-9.8;-2.3;1.3;8.9
38;Type: One-parent family;2014;2.2;37.5;62.5;-6.7;0.6;4.2;12.6
39;Type: One-parent family;2015;2.9;36.0;64.0;-6.1;0.8;5.7;14.9
40;Type: One-parent family;2016;3.6;32.1;67.9;-5.1;1.5;6.0;14.5
41;Type: One-parent family;2017;1.5;38.5;61.5;-6.3;0.2;3.7;12.8
42;Type: One-parent family;2018;1.1;42.3;57.7;-6.6;-0.3;3.5;12.8
43;Type: One-parent family;2019;1.9;36.3;63.7;-5.9;0.5;4.2;13.4
44;Type: One-parent family;2020;2.7;33.2;66.8;-5.8;1.3;5.0;13.8
45;Type: One-parent family;2021;2.1;38.0;62.0;-5.7;0.3;4.5;13.9
46;Type: One-parent family;2022;1.1;45.9;54.1;-7.4;-1.5;3.5;12.1
47;Type: One-parent family;2023;3.4;34.4;65.6;-5.1;1.4;5.5;13.7
48;Type: Couple, total;2012;-1.0;56.9;43.1;-8.5;-2.5;0.6;6.6
49;Type: Couple, total;2013;-0.9;54.9;45.1;-8.5;-2.7;1.0;7.4
50;Type: Couple, total;2014;2.0;37.1;62.9;-5.5;0.5;4.0;10.9
