ID;KenmerkenHuishoudens;Marges;Perioden;ToegangTotInternet_1;TypeInternetverbindingBreedband_2;PersonalComputerPCOfDesktop_3;LaptopOfNetbook_4;Tablet_5;MobieleTelefoonOfSmartphone_6;Spelcomputer_7;SmartTVOfTVMetSetTopBox_8
0;Totaal huishoudens;Waarde;2012;87.7;75.9;63.8;67.4;;49.6;18.4;17.4
1;Totaal huishoudens;Waarde;2013;89.3;80.8;61.4;68.8;38.5;58.7;16.9;26.3
2;Totaal huishoudens;Waarde;2014;90.0;88.6;54.5;70.2;49.9;67.5;18.3;35.2
3;Totaal huishoudens;Waarde;2015;91.4;88.8;50.3;72.2;58.1;73.0;19.3;33.7
4;Totaal huishoudens;Waarde;2016;92.0;90.1;52.7;74.7;61.7;80.2;22.8;40.5
5;Totaal huishoudens;Waarde;2017;95.5;94.2;54.6;77.7;66.1;85.0;24.9;47.2
6;Totaal huishoudens;Waarde;2018;95.0;94.3;50.3;78.1;63.1;87.1;25.9;49.2
7;Totaal huishoudens;Waarde;2019;95.5;94.7;49.7;79.2;65.9;89.2;27.4;55.5
8;Totaal huishoudens;Ondergrens 95%-interval;2012;86.4;74.3;61.8;65.5;;47.7;17.0;16.0
9;Totaal huishoudens;Ondergrens 95%-interval;2013;88.2;79.4;59.5;67.1;36.7;56.9;15.6;24.6
10;Totaal huishoudens;Ondergrens 95%-interval;2014;88.8;87.4;52.6;68.4;48.1;65.7;16.9;33.4
11;Totaal huishoudens;Ondergrens 95%-interval;2015;90.2;87.6;48.5;70.5;56.3;71.4;17.9;32.0
12;Totaal huishoudens;Ondergrens 95%-interval;2016;90.9;88.9;51.0;73.2;59.9;78.7;21.4;38.8
13;Totaal huishoudens;Ondergrens 95%-interval;2017;94.6;93.2;52.8;76.2;64.4;83.6;23.5;45.5
14;Totaal huishoudens;Ondergrens 95%-interval;2018;94.1;93.4;48.5;76.5;61.3;85.8;24.4;47.5
15;Totaal huishoudens;Ondergrens 95%-interval;2019;94.7;93.9;48.1;77.7;64.3;88.0;26.0;53.9
16;Totaal huishoudens;Bovengrens 95%-interval;2012;89.0;77.6;65.7;69.2;;51.5;19.9;18.8
17;Totaal huishoudens;Bovengrens 95%-interval;2013;90.5;82.3;63.3;70.6;40.3;60.6;18.2;28.0
