ID;Sex;Age;Nationality;CaribbeanNetherlands;Periods;PopulationOnJanuary1st_1
42;Total male and female;Total;Total;Saba;2011;1797
43;Total male and female;Total;Total;Saba;2012;1971
44;Total male and female;Total;Total;Saba;2013;1991
45;Total male and female;Total;Total;Saba;2014;1846
46;Total male and female;Total;Total;Saba;2015;1811
47;Total male and female;Total;Total;Saba;2016;1947
48;Total male and female;Total;Total;Saba;2017;2010
49;Total male and female;Total;Total;Saba;2018;2155
50;Total male and female;Total;Total;Saba;2019;1915
51;Total male and female;Total;Total;Saba;2020;1933
52;Total male and female;Total;Total;Saba;2021;1918
53;Total male and female;Total;Total;Saba;2022;1911
54;Total male and female;Total;Total;Saba;2023;2035
55;Total male and female;Total;Total;Saba;2024;2060
56;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2011;4668
57;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2012;5248
58;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2013;5719
59;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2014;5959
60;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2015;5872
61;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2016;5506
62;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2017;4996
63;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2018;5322
64;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2019;5269
65;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2020;5683
66;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2021;5831
67;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2022;6220
68;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2023;7128
69;Total male and female;Total;Total non-Dutch nationality;Caribbean Netherlands;2024;7892
70;Total male and female;Total;Total non-Dutch nationality;Bonaire;2011;2704
71;Total male and female;Total;Total non-Dutch nationality;Bonaire;2012;3032
72;Total male and female;Total;Total non-Dutch nationality;Bonaire;2013;3371
73;Total male and female;Total;Total non-Dutch nationality;Bonaire;2014;3722
74;Total male and female;Total;Total non-Dutch nationality;Bonaire;2015;3845
75;Total male and female;Total;Total non-Dutch nationality;Bonaire;2016;4051
76;Total male and female;Total;Total non-Dutch nationality;Bonaire;2017;3441
77;Total male and female;Total;Total non-Dutch nationality;Bonaire;2018;3597
78;Total male and female;Total;Total non-Dutch nationality;Bonaire;2019;3909
79;Total male and female;Total;Total non-Dutch nationality;Bonaire;2020;4281
80;Total male and female;Total;Total non-Dutch nationality;Bonaire;2021;4484
81;Total male and female;Total;Total non-Dutch nationality;Bonaire;2022;4823
82;Total male and female;Total;Total non-Dutch nationality;Bonaire;2023;5553
83;Total male and female;Total;Total non-Dutch nationality;Bonaire;2024;6301
84;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2011;1228
85;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2012;1319
86;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2013;1427
87;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2014;1468
88;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2015;1333
89;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2016;669
90;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2017;712
91;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2018;755
92;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2019;638
93;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2020;641
94;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2021;612
95;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2022;664
96;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2023;712
97;Total male and female;Total;Total non-Dutch nationality;St. Eustatius;2024;701
98;Total male and female;Total;Total non-Dutch nationality;Saba;2011;736
99;Total male and female;Total;Total non-Dutch nationality;Saba;2012;897
100;Total male and female;Total;Total non-Dutch nationality;Saba;2013;921
101;Total male and female;Total;Total non-Dutch nationality;Saba;2014;769
102;Total male and female;Total;Total non-Dutch nationality;Saba;2015;694
103;Total male and female;Total;Total non-Dutch nationality;Saba;2016;786
104;Total male and female;Total;Total non-Dutch nationality;Saba;2017;843
105;Total male and female;Total;Total non-Dutch nationality;Saba;2018;970
106;Total male and female;Total;Total non-Dutch nationality;Saba;2019;722
107;Total male and female;Total;Total non-Dutch nationality;Saba;2020;761
108;Total male and female;Total;Total non-Dutch nationality;Saba;2021;735
109;Total male and female;Total;Total non-Dutch nationality;Saba;2022;733
110;Total male and female;Total;Total non-Dutch nationality;Saba;2023;863
111;Total male and female;Total;Total non-Dutch nationality;Saba;2024;890
112;Total male and female;Total;Africa;Caribbean Netherlands;2011;55
113;Total male and female;Total;Africa;Caribbean Netherlands;2012;55
114;Total male and female;Total;Africa;Caribbean Netherlands;2013;65
115;Total male and female;Total;Africa;Caribbean Netherlands;2014;60
116;Total male and female;Total;Africa;Caribbean Netherlands;2015;57
117;Total male and female;Total;Africa;Caribbean Netherlands;2016;35
118;Total male and female;Total;Africa;Caribbean Netherlands;2017;27
119;Total male and female;Total;Africa;Caribbean Netherlands;2018;23
120;Total male and female;Total;Africa;Caribbean Netherlands;2019;22
121;Total male and female;Total;Africa;Caribbean Netherlands;2020;25
122;Total male and female;Total;Africa;Caribbean Netherlands;2021;31
123;Total male and female;Total;Africa;Caribbean Netherlands;2022;30
124;Total male and female;Total;Africa;Caribbean Netherlands;2023;39
125;Total male and female;Total;Africa;Caribbean Netherlands;2024;44
126;Total male and female;Total;Africa;Bonaire;2011;28
127;Total male and female;Total;Africa;Bonaire;2012;27
128;Total male and female;Total;Africa;Bonaire;2013;31
129;Total male and female;Total;Africa;Bonaire;2014;32
130;Total male and female;Total;Africa;Bonaire;2015;30
131;Total male and female;Total;Africa;Bonaire;2016;28
132;Total male and female;Total;Africa;Bonaire;2017;20
133;Total male and female;Total;Africa;Bonaire;2018;12
134;Total male and female;Total;Africa;Bonaire;2019;17
135;Total male and female;Total;Africa;Bonaire;2020;17
136;Total male and female;Total;Africa;Bonaire;2021;20
137;Total male and female;Total;Africa;Bonaire;2022;19
138;Total male and female;Total;Africa;Bonaire;2023;18
139;Total male and female;Total;Africa;Bonaire;2024;25
140;Total male and female;Total;Africa;St. Eustatius;2011;22
141;Total male and female;Total;Africa;St. Eustatius;2012;21
142;Total male and female;Total;Africa;St. Eustatius;2013;21
143;Total male and female;Total;Africa;St. Eustatius;2014;21
144;Total male and female;Total;Africa;St. Eustatius;2015;19
145;Total male and female;Total;Africa;St. Eustatius;2016;0
146;Total male and female;Total;Africa;St. Eustatius;2017;0
147;Total male and female;Total;Africa;St. Eustatius;2018;0
148;Total male and female;Total;Africa;St. Eustatius;2019;0
149;Total male and female;Total;Africa;St. Eustatius;2020;0
150;Total male and female;Total;Africa;St. Eustatius;2021;3
151;Total male and female;Total;Africa;St. Eustatius;2022;2
152;Total male and female;Total;Africa;St. Eustatius;2023;4
153;Total male and female;Total;Africa;St. Eustatius;2024;5
154;Total male and female;Total;Africa;Saba;2011;5
155;Total male and female;Total;Africa;Saba;2012;7
156;Total male and female;Total;Africa;Saba;2013;13
157;Total male and female;Total;Africa;Saba;2014;7
158;Total male and female;Total;Africa;Saba;2015;8
159;Total male and female;Total;Africa;Saba;2016;7
160;Total male and female;Total;Africa;Saba;2017;7
161;Total male and female;Total;Africa;Saba;2018;11
162;Total male and female;Total;Africa;Saba;2019;5
163;Total male and female;Total;Africa;Saba;2020;8
164;Total male and female;Total;Africa;Saba;2021;8
165;Total male and female;Total;Africa;Saba;2022;9
166;Total male and female;Total;Africa;Saba;2023;17
167;Total male and female;Total;Africa;Saba;2024;14
168;Total male and female;Total;Asia;Caribbean Netherlands;2011;335
169;Total male and female;Total;Asia;Caribbean Netherlands;2012;364
170;Total male and female;Total;Asia;Caribbean Netherlands;2013;396
171;Total male and female;Total;Asia;Caribbean Netherlands;2014;426
172;Total male and female;Total;Asia;Caribbean Netherlands;2015;427
173;Total male and female;Total;Asia;Caribbean Netherlands;2016;447
174;Total male and female;Total;Asia;Caribbean Netherlands;2017;454
175;Total male and female;Total;Asia;Caribbean Netherlands;2018;496
176;Total male and female;Total;Asia;Caribbean Netherlands;2019;498
177;Total male and female;Total;Asia;Caribbean Netherlands;2020;515
178;Total male and female;Total;Asia;Caribbean Netherlands;2021;517
179;Total male and female;Total;Asia;Caribbean Netherlands;2022;548
180;Total male and female;Total;Asia;Caribbean Netherlands;2023;596
181;Total male and female;Total;Asia;Caribbean Netherlands;2024;632
182;Total male and female;Total;Asia;Bonaire;2011;209
183;Total male and female;Total;Asia;Bonaire;2012;228
184;Total male and female;Total;Asia;Bonaire;2013;256
185;Total male and female;Total;Asia;Bonaire;2014;298
186;Total male and female;Total;Asia;Bonaire;2015;298
187;Total male and female;Total;Asia;Bonaire;2016;325
188;Total male and female;Total;Asia;Bonaire;2017;332
189;Total male and female;Total;Asia;Bonaire;2018;374
190;Total male and female;Total;Asia;Bonaire;2019;389
191;Total male and female;Total;Asia;Bonaire;2020;405
192;Total male and female;Total;Asia;Bonaire;2021;411
193;Total male and female;Total;Asia;Bonaire;2022;419
194;Total male and female;Total;Asia;Bonaire;2023;438
195;Total male and female;Total;Asia;Bonaire;2024;471
196;Total male and female;Total;Asia;St. Eustatius;2011;75
197;Total male and female;Total;Asia;St. Eustatius;2012;76
198;Total male and female;Total;Asia;St. Eustatius;2013;89
199;Total male and female;Total;Asia;St. Eustatius;2014;87
200;Total male and female;Total;Asia;St. Eustatius;2015;82
201;Total male and female;Total;Asia;St. Eustatius;2016;70
202;Total male and female;Total;Asia;St. Eustatius;2017;74
203;Total male and female;Total;Asia;St. Eustatius;2018;66
204;Total male and female;Total;Asia;St. Eustatius;2019;51
205;Total male and female;Total;Asia;St. Eustatius;2020;41
206;Total male and female;Total;Asia;St. Eustatius;2021;41
207;Total male and female;Total;Asia;St. Eustatius;2022;61
208;Total male and female;Total;Asia;St. Eustatius;2023;68
209;Total male and female;Total;Asia;St. Eustatius;2024;60
210;Total male and female;Total;Asia;Saba;2011;51
211;Total male and female;Total;Asia;Saba;2012;60
212;Total male and female;Total;Asia;Saba;2013;51
213;Total male and female;Total;Asia;Saba;2014;41
214;Total male and female;Total;Asia;Saba;2015;47
215;Total male and female;Total;Asia;Saba;2016;52
216;Total male and female;Total;Asia;Saba;2017;48
217;Total male and female;Total;Asia;Saba;2018;56
218;Total male and female;Total;Asia;Saba;2019;58
219;Total male and female;Total;Asia;Saba;2020;69
220;Total male and female;Total;Asia;Saba;2021;65
221;Total male and female;Total;Asia;Saba;2022;68
222;Total male and female;Total;Asia;Saba;2023;90
223;Total male and female;Total;Asia;Saba;2024;101
224;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2011;16712
225;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2012;17427
226;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2013;17999
227;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2014;18799
228;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2015;19181
229;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2016;19529
230;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2017;19905
231;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2018;20222
232;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2019;20356
233;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2020;20805
234;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2021;21498
235;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2022;22040
236;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2023;22855
237;Total male and female;Total;Europe (including Dutch nationals);Caribbean Netherlands;2024;23101
238;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2011;13156
239;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2012;13727
240;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2013;14284
241;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2014;14983
242;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2015;15372
243;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2016;15691
244;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2017;16040
245;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2018;16274
246;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2019;16536
247;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2020;17001
248;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2021;17653
249;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2022;18138
250;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2023;18960
251;Total male and female;Total;Europe (including Dutch nationals);Bonaire;2024;19294
252;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2011;2456
253;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2012;2574
254;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2013;2588
255;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2014;2683
256;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2015;2632
257;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2016;2606
258;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2017;2626
259;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2018;2678
260;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2019;2564
261;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2020;2569
262;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2021;2607
263;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2022;2658
264;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2023;2662
265;Total male and female;Total;Europe (including Dutch nationals);St. Eustatius;2024;2583
266;Total male and female;Total;Europe (including Dutch nationals);Saba;2011;1100
267;Total male and female;Total;Europe (including Dutch nationals);Saba;2012;1126
268;Total male and female;Total;Europe (including Dutch nationals);Saba;2013;1127
269;Total male and female;Total;Europe (including Dutch nationals);Saba;2014;1133
270;Total male and female;Total;Europe (including Dutch nationals);Saba;2015;1177
271;Total male and female;Total;Europe (including Dutch nationals);Saba;2016;1232
272;Total male and female;Total;Europe (including Dutch nationals);Saba;2017;1239
273;Total male and female;Total;Europe (including Dutch nationals);Saba;2018;1270
274;Total male and female;Total;Europe (including Dutch nationals);Saba;2019;1256
275;Total male and female;Total;Europe (including Dutch nationals);Saba;2020;1235
276;Total male and female;Total;Europe (including Dutch nationals);Saba;2021;1238
277;Total male and female;Total;Europe (including Dutch nationals);Saba;2022;1244
278;Total male and female;Total;Europe (including Dutch nationals);Saba;2023;1233
279;Total male and female;Total;Europe (including Dutch nationals);Saba;2024;1224
280;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2011;293
281;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2012;371
282;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2013;422
283;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2014;479
284;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2015;460
285;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2016;487
286;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2017;462
287;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2018;492
288;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2019;468
289;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2020;501
290;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2021;524
291;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2022;534
292;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2023;565
293;Total male and female;Total;Europe (excluding Dutch nationals);Caribbean Netherlands;2024;596
294;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2011;181
295;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2012;218
296;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2013;247
297;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2014;292
298;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2015;312
299;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2016;334
300;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2017;302
301;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2018;322
302;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2019;341
303;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2020;367
304;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2021;392
305;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2022;388
306;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2023;423
307;Total male and female;Total;Europe (excluding Dutch nationals);Bonaire;2024;462
308;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2011;73
309;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2012;101
310;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2013;118
311;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2014;131
312;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2015;88
313;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2016;82
314;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2017;88
315;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2018;85
316;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2019;64
317;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2020;71
318;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2021;77
319;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2022;80
320;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2023;81
321;Total male and female;Total;Europe (excluding Dutch nationals);St. Eustatius;2024;80
322;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2011;39
323;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2012;52
324;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2013;57
325;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2014;56
326;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2015;60
327;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2016;71
328;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2017;72
329;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2018;85
330;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2019;63
331;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2020;63
332;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2021;55
333;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2022;66
334;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2023;61
335;Total male and female;Total;Europe (excluding Dutch nationals);Saba;2024;54
336;Total male and female;Total;America;Caribbean Netherlands;2011;3975
337;Total male and female;Total;America;Caribbean Netherlands;2012;4447
338;Total male and female;Total;America;Caribbean Netherlands;2013;4825
339;Total male and female;Total;America;Caribbean Netherlands;2014;4982
340;Total male and female;Total;America;Caribbean Netherlands;2015;4917
341;Total male and female;Total;America;Caribbean Netherlands;2016;4532
342;Total male and female;Total;America;Caribbean Netherlands;2017;4047
343;Total male and female;Total;America;Caribbean Netherlands;2018;4300
344;Total male and female;Total;America;Caribbean Netherlands;2019;4269
345;Total male and female;Total;America;Caribbean Netherlands;2020;4632
346;Total male and female;Total;America;Caribbean Netherlands;2021;4742
347;Total male and female;Total;America;Caribbean Netherlands;2022;5090
348;Total male and female;Total;America;Caribbean Netherlands;2023;5912
349;Total male and female;Total;America;Caribbean Netherlands;2024;6603
350;Total male and female;Total;America;Bonaire;2011;2284
351;Total male and female;Total;America;Bonaire;2012;2556
352;Total male and female;Total;America;Bonaire;2013;2834
353;Total male and female;Total;America;Bonaire;2014;3097
354;Total male and female;Total;America;Bonaire;2015;3202
355;Total male and female;Total;America;Bonaire;2016;3361
356;Total male and female;Total;America;Bonaire;2017;2785
357;Total male and female;Total;America;Bonaire;2018;2883
358;Total male and female;Total;America;Bonaire;2019;3155
359;Total male and female;Total;America;Bonaire;2020;3483
360;Total male and female;Total;America;Bonaire;2021;3651
361;Total male and female;Total;America;Bonaire;2022;3991
362;Total male and female;Total;America;Bonaire;2023;4668
363;Total male and female;Total;America;Bonaire;2024;5337
364;Total male and female;Total;America;St. Eustatius;2011;1052
365;Total male and female;Total;America;St. Eustatius;2012;1114
366;Total male and female;Total;America;St. Eustatius;2013;1192
367;Total male and female;Total;America;St. Eustatius;2014;1223
368;Total male and female;Total;America;St. Eustatius;2015;1138
369;Total male and female;Total;America;St. Eustatius;2016;516
370;Total male and female;Total;America;St. Eustatius;2017;549
371;Total male and female;Total;America;St. Eustatius;2018;603
372;Total male and female;Total;America;St. Eustatius;2019;521
373;Total male and female;Total;America;St. Eustatius;2020;529
374;Total male and female;Total;America;St. Eustatius;2021;491
375;Total male and female;Total;America;St. Eustatius;2022;520
376;Total male and female;Total;America;St. Eustatius;2023;558
377;Total male and female;Total;America;St. Eustatius;2024;553
378;Total male and female;Total;America;Saba;2011;639
379;Total male and female;Total;America;Saba;2012;777
380;Total male and female;Total;America;Saba;2013;799
381;Total male and female;Total;America;Saba;2014;662
382;Total male and female;Total;America;Saba;2015;577
383;Total male and female;Total;America;Saba;2016;655
384;Total male and female;Total;America;Saba;2017;713
385;Total male and female;Total;America;Saba;2018;814
386;Total male and female;Total;America;Saba;2019;593
387;Total male and female;Total;America;Saba;2020;620
388;Total male and female;Total;America;Saba;2021;600
389;Total male and female;Total;America;Saba;2022;579
390;Total male and female;Total;America;Saba;2023;686
391;Total male and female;Total;America;Saba;2024;713
392;Total male and female;Total;Oceania;Caribbean Netherlands;2011;7
393;Total male and female;Total;Oceania;Caribbean Netherlands;2012;8
394;Total male and female;Total;Oceania;Caribbean Netherlands;2013;8
395;Total male and female;Total;Oceania;Caribbean Netherlands;2014;10
396;Total male and female;Total;Oceania;Caribbean Netherlands;2015;8
397;Total male and female;Total;Oceania;Caribbean Netherlands;2016;4
398;Total male and female;Total;Oceania;Caribbean Netherlands;2017;3
399;Total male and female;Total;Oceania;Caribbean Netherlands;2018;7
400;Total male and female;Total;Oceania;Caribbean Netherlands;2019;6
401;Total male and female;Total;Oceania;Caribbean Netherlands;2020;9
402;Total male and female;Total;Oceania;Caribbean Netherlands;2021;12
403;Total male and female;Total;Oceania;Caribbean Netherlands;2022;7
404;Total male and female;Total;Oceania;Caribbean Netherlands;2023;6
405;Total male and female;Total;Oceania;Caribbean Netherlands;2024;6
406;Total male and female;Total;Oceania;Bonaire;2011;2
407;Total male and female;Total;Oceania;Bonaire;2012;3
408;Total male and female;Total;Oceania;Bonaire;2013;3
409;Total male and female;Total;Oceania;Bonaire;2014;3
410;Total male and female;Total;Oceania;Bonaire;2015;3
411;Total male and female;Total;Oceania;Bonaire;2016;3
412;Total male and female;Total;Oceania;Bonaire;2017;2
413;Total male and female;Total;Oceania;Bonaire;2018;6
414;Total male and female;Total;Oceania;Bonaire;2019;6
415;Total male and female;Total;Oceania;Bonaire;2020;9
416;Total male and female;Total;Oceania;Bonaire;2021;9
417;Total male and female;Total;Oceania;Bonaire;2022;4
418;Total male and female;Total;Oceania;Bonaire;2023;6
419;Total male and female;Total;Oceania;Bonaire;2024;6
420;Total male and female;Total;Oceania;St. Eustatius;2011;4
421;Total male and female;Total;Oceania;St. Eustatius;2012;4
422;Total male and female;Total;Oceania;St. Eustatius;2013;4
423;Total male and female;Total;Oceania;St. Eustatius;2014;4
424;Total male and female;Total;Oceania;St. Eustatius;2015;4
425;Total male and female;Total;Oceania;St. Eustatius;2016;0
426;Total male and female;Total;Oceania;St. Eustatius;2017;0
427;Total male and female;Total;Oceania;St. Eustatius;2018;0
428;Total male and female;Total;Oceania;St. Eustatius;2019;0
429;Total male and female;Total;Oceania;St. Eustatius;2020;0
430;Total male and female;Total;Oceania;St. Eustatius;2021;0
431;Total male and female;Total;Oceania;St. Eustatius;2022;0
432;Total male and female;Total;Oceania;St. Eustatius;2023;0
433;Total male and female;Total;Oceania;St. Eustatius;2024;0
434;Total male and female;Total;Oceania;Saba;2011;1
435;Total male and female;Total;Oceania;Saba;2012;1
436;Total male and female;Total;Oceania;Saba;2013;1
437;Total male and female;Total;Oceania;Saba;2014;3
438;Total male and female;Total;Oceania;Saba;2015;1
439;Total male and female;Total;Oceania;Saba;2016;1
440;Total male and female;Total;Oceania;Saba;2017;1
441;Total male and female;Total;Oceania;Saba;2018;1
442;Total male and female;Total;Oceania;Saba;2019;0
443;Total male and female;Total;Oceania;Saba;2020;0
444;Total male and female;Total;Oceania;Saba;2021;3
445;Total male and female;Total;Oceania;Saba;2022;3
446;Total male and female;Total;Oceania;Saba;2023;0
447;Total male and female;Total;Oceania;Saba;2024;0
448;Total male and female;Total;North America;Caribbean Netherlands;2011;1241
449;Total male and female;Total;North America;Caribbean Netherlands;2012;1589
