ID;BurgerlijkeStaat;Geslacht;Privevermogen;TotaalPrivevermogenEuroS_1;TotaalPrivevermogenAantallen_2
0;Totaal burgerlijke staat;Mannen en vrouwen;Totaal privévermogen;8040180;50280
1;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;-29483;600
2;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;3905;1960
3;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;11228;1500
4;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;94167;5390
5;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;261722;7190
6;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;726312;9810
7;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;1747705;12180
8;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;2769137;9280
9;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2455486;2380
10;Totaal burgerlijke staat;Mannen;Totaal privévermogen;4141829;25700
11;Totaal burgerlijke staat;Mannen;Negatief of nul euro;-20140;390
12;Totaal burgerlijke staat;Mannen;> 0 tot 5 000 euro;1742;930
13;Totaal burgerlijke staat;Mannen;5 000 tot 10 000 euro;4865;650
14;Totaal burgerlijke staat;Mannen;10 000 tot 25 000 euro;37361;2140
15;Totaal burgerlijke staat;Mannen;25 000 tot 50 000 euro;117763;3190
16;Totaal burgerlijke staat;Mannen;50 000 tot 100 000 euro;406571;5440
17;Totaal burgerlijke staat;Mannen;100 000 tot 200 000 euro;1000708;7010
18;Totaal burgerlijke staat;Mannen;200 000 tot 500 000 euro;1431343;4840
19;Totaal burgerlijke staat;Mannen;500 000 euro en meer;1161617;1120
20;Totaal burgerlijke staat;Vrouwen;Totaal privévermogen;3898351;24580
21;Totaal burgerlijke staat;Vrouwen;Negatief of nul euro;-9343;210
22;Totaal burgerlijke staat;Vrouwen;> 0 tot 5 000 euro;2163;1030
23;Totaal burgerlijke staat;Vrouwen;5 000 tot 10 000 euro;6363;840
24;Totaal burgerlijke staat;Vrouwen;10 000 tot 25 000 euro;56807;3250
25;Totaal burgerlijke staat;Vrouwen;25 000 tot 50 000 euro;143960;4000
26;Totaal burgerlijke staat;Vrouwen;50 000 tot 100 000 euro;319741;4370
27;Totaal burgerlijke staat;Vrouwen;100 000 tot 200 000 euro;746996;5170
28;Totaal burgerlijke staat;Vrouwen;200 000 tot 500 000 euro;1337795;4440
29;Totaal burgerlijke staat;Vrouwen;500 000 euro en meer;1293869;1260
30;Ongehuwd;Mannen en vrouwen;Totaal privévermogen;1148787;6620
31;Ongehuwd;Mannen en vrouwen;Negatief of nul euro;-4557;80
32;Ongehuwd;Mannen en vrouwen;> 0 tot 5 000 euro;685;360
33;Ongehuwd;Mannen en vrouwen;5 000 tot 10 000 euro;2458;320
34;Ongehuwd;Mannen en vrouwen;10 000 tot 25 000 euro;20280;1180
35;Ongehuwd;Mannen en vrouwen;25 000 tot 50 000 euro;37105;1040
36;Ongehuwd;Mannen en vrouwen;50 000 tot 100 000 euro;68055;940
37;Ongehuwd;Mannen en vrouwen;100 000 tot 200 000 euro;156832;1070
38;Ongehuwd;Mannen en vrouwen;200 000 tot 500 000 euro;372498;1210
39;Ongehuwd;Mannen en vrouwen;500 000 euro en meer;495432;410
40;Ongehuwd;Mannen;Totaal privévermogen;552002;3180
41;Ongehuwd;Mannen;Negatief of nul euro;-4312;60
42;Ongehuwd;Mannen;> 0 tot 5 000 euro;363;210
43;Ongehuwd;Mannen;5 000 tot 10 000 euro;1129;150
44;Ongehuwd;Mannen;10 000 tot 25 000 euro;9172;540
45;Ongehuwd;Mannen;25 000 tot 50 000 euro;16963;480
46;Ongehuwd;Mannen;50 000 tot 100 000 euro;32067;440
47;Ongehuwd;Mannen;100 000 tot 200 000 euro;75434;520
48;Ongehuwd;Mannen;200 000 tot 500 000 euro;177314;580
49;Ongehuwd;Mannen;500 000 euro en meer;243872;200
50;Ongehuwd;Vrouwen;Totaal privévermogen;596785;3440
51;Ongehuwd;Vrouwen;Negatief of nul euro;-245;20
52;Ongehuwd;Vrouwen;> 0 tot 5 000 euro;322;160
53;Ongehuwd;Vrouwen;5 000 tot 10 000 euro;1329;170
54;Ongehuwd;Vrouwen;10 000 tot 25 000 euro;11107;640
55;Ongehuwd;Vrouwen;25 000 tot 50 000 euro;20142;570
56;Ongehuwd;Vrouwen;50 000 tot 100 000 euro;35989;500
57;Ongehuwd;Vrouwen;100 000 tot 200 000 euro;81398;560
58;Ongehuwd;Vrouwen;200 000 tot 500 000 euro;195184;630
59;Ongehuwd;Vrouwen;500 000 euro en meer;251560;200
60;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;Totaal privévermogen;3285895;21680
61;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;Negatief of nul euro;-16958;360
62;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;> 0 tot 5 000 euro;1141;600
63;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;5 000 tot 10 000 euro;2581;350
64;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;10 000 tot 25 000 euro;19074;1100
65;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;25 000 tot 50 000 euro;80738;2130
66;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;50 000 tot 100 000 euro;412961;5460
67;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;100 000 tot 200 000 euro;1037507;7330
68;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;200 000 tot 500 000 euro;1052759;3690
69;Gehuwd (w.o. gescheiden tafel en bed);Mannen en vrouwen;500 000 euro en meer;696092;680
70;Gehuwd (w.o. gescheiden tafel en bed);Mannen;Totaal privévermogen;2342211;15080
71;Gehuwd (w.o. gescheiden tafel en bed);Mannen;Negatief of nul euro;-10579;240
72;Gehuwd (w.o. gescheiden tafel en bed);Mannen;> 0 tot 5 000 euro;744;390
73;Gehuwd (w.o. gescheiden tafel en bed);Mannen;5 000 tot 10 000 euro;1818;250
74;Gehuwd (w.o. gescheiden tafel en bed);Mannen;10 000 tot 25 000 euro;12678;730
75;Gehuwd (w.o. gescheiden tafel en bed);Mannen;25 000 tot 50 000 euro;55280;1460
76;Gehuwd (w.o. gescheiden tafel en bed);Mannen;50 000 tot 100 000 euro;285676;3770
77;Gehuwd (w.o. gescheiden tafel en bed);Mannen;100 000 tot 200 000 euro;722044;5100
78;Gehuwd (w.o. gescheiden tafel en bed);Mannen;200 000 tot 500 000 euro;754462;2650
79;Gehuwd (w.o. gescheiden tafel en bed);Mannen;500 000 euro en meer;520088;490
80;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;Totaal privévermogen;943684;6600
81;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;Negatief of nul euro;-6379;120
82;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;> 0 tot 5 000 euro;396;200
83;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;5 000 tot 10 000 euro;763;100
84;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;10 000 tot 25 000 euro;6396;370
85;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;25 000 tot 50 000 euro;25458;670
86;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;50 000 tot 100 000 euro;127286;1690
87;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;100 000 tot 200 000 euro;315463;2230
88;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;200 000 tot 500 000 euro;298297;1050
89;Gehuwd (w.o. gescheiden tafel en bed);Vrouwen;500 000 euro en meer;176004;180
90;Verweduwd;Mannen en vrouwen;Totaal privévermogen;3209628;19230
91;Verweduwd;Mannen en vrouwen;Negatief of nul euro;-4161;90
92;Verweduwd;Mannen en vrouwen;> 0 tot 5 000 euro;1682;770
93;Verweduwd;Mannen en vrouwen;5 000 tot 10 000 euro;5273;710
94;Verweduwd;Mannen en vrouwen;10 000 tot 25 000 euro;47961;2720
95;Verweduwd;Mannen en vrouwen;25 000 tot 50 000 euro;128460;3600
96;Verweduwd;Mannen en vrouwen;50 000 tot 100 000 euro;210708;2940
97;Verweduwd;Mannen en vrouwen;100 000 tot 200 000 euro;479997;3270
98;Verweduwd;Mannen en vrouwen;200 000 tot 500 000 euro;1215676;3960
99;Verweduwd;Mannen en vrouwen;500 000 euro en meer;1124032;1170
100;Verweduwd;Mannen;Totaal privévermogen;1061091;5930
101;Verweduwd;Mannen;Negatief of nul euro;-2048;30
102;Verweduwd;Mannen;> 0 tot 5 000 euro;450;210
103;Verweduwd;Mannen;5 000 tot 10 000 euro;1455;200
104;Verweduwd;Mannen;10 000 tot 25 000 euro;12263;690
105;Verweduwd;Mannen;25 000 tot 50 000 euro;36873;1020
106;Verweduwd;Mannen;50 000 tot 100 000 euro;68318;950
107;Verweduwd;Mannen;100 000 tot 200 000 euro;159936;1090
108;Verweduwd;Mannen;200 000 tot 500 000 euro;428063;1380
109;Verweduwd;Mannen;500 000 euro en meer;355782;370
110;Verweduwd;Vrouwen;Totaal privévermogen;2148537;13300
111;Verweduwd;Vrouwen;Negatief of nul euro;-2113;50
112;Verweduwd;Vrouwen;> 0 tot 5 000 euro;1232;570
113;Verweduwd;Vrouwen;5 000 tot 10 000 euro;3817;510
114;Verweduwd;Vrouwen;10 000 tot 25 000 euro;35698;2040
115;Verweduwd;Vrouwen;25 000 tot 50 000 euro;91587;2580
116;Verweduwd;Vrouwen;50 000 tot 100 000 euro;142390;1990
117;Verweduwd;Vrouwen;100 000 tot 200 000 euro;320061;2190
118;Verweduwd;Vrouwen;200 000 tot 500 000 euro;787614;2580
119;Verweduwd;Vrouwen;500 000 euro en meer;768250;800
120;Gescheiden;Mannen en vrouwen;Totaal privévermogen;376936;2670
121;Gescheiden;Mannen en vrouwen;Negatief of nul euro;-3034;70
122;Gescheiden;Mannen en vrouwen;> 0 tot 5 000 euro;396;220
123;Gescheiden;Mannen en vrouwen;5 000 tot 10 000 euro;894;120
124;Gescheiden;Mannen en vrouwen;10 000 tot 25 000 euro;6771;380
125;Gescheiden;Mannen en vrouwen;25 000 tot 50 000 euro;15172;410
126;Gescheiden;Mannen en vrouwen;50 000 tot 100 000 euro;33047;460
127;Gescheiden;Mannen en vrouwen;100 000 tot 200 000 euro;71382;490
128;Gescheiden;Mannen en vrouwen;200 000 tot 500 000 euro;120918;400
129;Gescheiden;Mannen en vrouwen;500 000 euro en meer;131391;110
130;Gescheiden;Mannen;Totaal privévermogen;174699;1460
131;Gescheiden;Mannen;Negatief of nul euro;-2495;50
132;Gescheiden;Mannen;> 0 tot 5 000 euro;183;120
133;Gescheiden;Mannen;5 000 tot 10 000 euro;440;60
134;Gescheiden;Mannen;10 000 tot 25 000 euro;3217;190
135;Gescheiden;Mannen;25 000 tot 50 000 euro;8435;220
136;Gescheiden;Mannen;50 000 tot 100 000 euro;19430;270
137;Gescheiden;Mannen;100 000 tot 200 000 euro;41607;290
138;Gescheiden;Mannen;200 000 tot 500 000 euro;66220;220
139;Gescheiden;Mannen;500 000 euro en meer;37662;50
140;Gescheiden;Vrouwen;Totaal privévermogen;202238;1210
141;Gescheiden;Vrouwen;Negatief of nul euro;-539;20
142;Gescheiden;Vrouwen;> 0 tot 5 000 euro;213;110
143;Gescheiden;Vrouwen;5 000 tot 10 000 euro;454;60
144;Gescheiden;Vrouwen;10 000 tot 25 000 euro;3554;200
145;Gescheiden;Vrouwen;25 000 tot 50 000 euro;6737;180
146;Gescheiden;Vrouwen;50 000 tot 100 000 euro;13618;190
147;Gescheiden;Vrouwen;100 000 tot 200 000 euro;29774;210
148;Gescheiden;Vrouwen;200 000 tot 500 000 euro;54698;180
149;Gescheiden;Vrouwen;500 000 euro en meer;93729;70
150;Partnerschap;Mannen en vrouwen;Totaal privévermogen;18933;80
151;Partnerschap;Mannen en vrouwen;Negatief of nul euro;-773;10
152;Partnerschap;Mannen en vrouwen;> 0 tot 5 000 euro;2;0
153;Partnerschap;Mannen en vrouwen;5 000 tot 10 000 euro;23;0
