ID;Geslacht;RedenenBijEchtScheiding;ScheidingNaEenHuwelijk_1;ScheidingNaNietGehuwdSamenwonen_2
0;Mannen;2;38;46
1;Mannen;8;38;22
2;Mannen;1;28;35
3;Mannen;4;19;27
4;Mannen;9;9;9
5;Mannen;6;9;7
6;Mannen;3;6;3
7;Mannen;(Schoon-)familie / kinderen;6;2
8;Mannen;5;4;7
9;Mannen;Sociale / culturele verschillen;4;3
10;Mannen;7;2;4
11;Mannen;Lichamelijk geweld;1;1
12;Mannen;Te jong / leeftijdsverschil te groot;1;2
13;Mannen;Jaloezie / geen vertrouwen;1;3
14;Vrouwen;2;38;39
15;Vrouwen;8;37;31
16;Vrouwen;1;18;26
17;Vrouwen;4;15;29
18;Vrouwen;9;11;11
19;Vrouwen;6;13;8
20;Vrouwen;3;9;8
21;Vrouwen;(Schoon-)familie / kinderen;4;4
22;Vrouwen;5;4;10
23;Vrouwen;Sociale / culturele verschillen;4;3
24;Vrouwen;7;18;16
25;Vrouwen;Lichamelijk geweld;19;10
26;Vrouwen;Te jong / leeftijdsverschil te groot;1;4
27;Vrouwen;Jaloezie / geen vertrouwen;2;4
