ID;Geslacht;Leeftijd;MigratieachtergrondEnGeneratie;ZorgvormZvwZorgkosten;Perioden;GemiddeldeZorgkostenVolgensDeZvw_1;PersonenMetZvwZorgkostenRelatief_2
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2009;2032.0;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2010;2099.0;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2011;2115.0;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2012;2078.0;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2013;2186.0;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2014;2193.0;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2015;2324.0;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2016;2422.0;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2017;2479.0;98.8
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2018;2565.0;98.7
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2019;2650.0;98.5
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Totaal alle zorgvormen;2020;2564.0;98.4
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2009;130.0;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2010;131.0;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2011;142.0;
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2012;136.0;
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2013;139.0;
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2014;149.0;
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2015;149.0;
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2016;152.0;
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2017;155.0;98.2
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2018;164.0;98.1
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2019;175.0;97.9
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Huisartsenzorg;2020;176.0;97.8
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2009;;
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2010;;
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2011;;
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2012;;
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2013;;
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2014;;
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2015;27.0;
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2016;31.0;
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2017;33.0;40.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2018;34.0;47.5
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2019;35.0;48.8
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Multidisciplinaire zorg;2020;38.0;59.5
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2009;1092.0;
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2010;1121.0;
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2011;1135.0;
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2012;1176.0;
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2013;1230.0;
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2014;1242.0;
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2015;1200.0;
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2016;1278.0;
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2017;1296.0;58.5
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2018;1332.0;58.9
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2019;1377.0;59.1
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Ziekenhuiszorg;2020;1298.0;54.5
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Farmacie;2009;309.0;
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Farmacie;2010;315.0;
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal migratieachtergrond en generatie;Farmacie;2011;311.0;
