ID;SoortInkomen;VerdachtenNaarSoortMisdrijf;Perioden;AantalVerdachten_1;VerdachtenPer1000Inwoners_2
0;Betaald werk;Totaal verdachten van misdrijven;1999;66010;10
1;Betaald werk;Totaal verdachten van misdrijven;2000;67860;10
2;Betaald werk;Totaal verdachten van misdrijven;2001;73500;10
3;Betaald werk;Totaal verdachten van misdrijven;2002;78560;11
4;Betaald werk;Totaal verdachten van misdrijven;2003;84660;12
5;Betaald werk;Totaal verdachten van misdrijven;2004;87820;13
6;Betaald werk;Totaal verdachten van misdrijven;2005;91480;13
7;Betaald werk;Totaal verdachten van misdrijven;2006;98770;14
8;Betaald werk;Totaal verdachten van misdrijven;2007;104200;14
9;Betaald werk;Totaal verdachten van misdrijven;2008;98510;13
10;Betaald werk;Vermogensmisdrijven;1999;11480;2
11;Betaald werk;Vermogensmisdrijven;2000;11150;2
12;Betaald werk;Vermogensmisdrijven;2001;11170;2
13;Betaald werk;Vermogensmisdrijven;2002;11180;2
14;Betaald werk;Vermogensmisdrijven;2003;11370;2
15;Betaald werk;Vermogensmisdrijven;2004;11510;2
16;Betaald werk;Vermogensmisdrijven;2005;11500;2
17;Betaald werk;Vermogensmisdrijven;2006;13170;2
18;Betaald werk;Vermogensmisdrijven;2007;13400;2
19;Betaald werk;Vermogensmisdrijven;2008;13370;2
20;Betaald werk;Vernieling en openbare orde;1999;6230;1
21;Betaald werk;Vernieling en openbare orde;2000;6560;1
22;Betaald werk;Vernieling en openbare orde;2001;7190;1
23;Betaald werk;Vernieling en openbare orde;2002;8040;1
24;Betaald werk;Vernieling en openbare orde;2003;8260;1
25;Betaald werk;Vernieling en openbare orde;2004;8790;1
26;Betaald werk;Vernieling en openbare orde;2005;9300;1
27;Betaald werk;Vernieling en openbare orde;2006;9450;1
28;Betaald werk;Vernieling en openbare orde;2007;10450;1
29;Betaald werk;Vernieling en openbare orde;2008;9790;1
30;Betaald werk;Geweldsmisdrijven;1999;9920;1
31;Betaald werk;Geweldsmisdrijven;2000;10750;2
32;Betaald werk;Geweldsmisdrijven;2001;12560;2
33;Betaald werk;Geweldsmisdrijven;2002;13880;2
34;Betaald werk;Geweldsmisdrijven;2003;15370;2
35;Betaald werk;Geweldsmisdrijven;2004;16550;2
36;Betaald werk;Geweldsmisdrijven;2005;18450;3
37;Betaald werk;Geweldsmisdrijven;2006;20300;3
38;Betaald werk;Geweldsmisdrijven;2007;21960;3
39;Betaald werk;Geweldsmisdrijven;2008;21300;3
40;Betaald werk;Verkeersmisdrijven;1999;25280;4
