ID;Perioden;TotaalAlleVrouwen_1;AutochtoneVrouwenIncl2eGeneratie_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;k_24EULanden_10;OverigEuropa_11;Indonesie_12;OverigBuitenEuropa_13
0;2004;1.75;1.69;2.89;1.94;1.75;3.28;1.8;1.73;2.26;1.4;1.57;1.63;1.13
1;2005;1.75;1.7;2.86;1.93;1.75;3.27;1.8;1.73;2.26;1.4;1.56;1.64;1.14
2;2006;1.76;1.71;2.84;1.93;1.76;3.25;1.79;1.74;2.25;1.4;1.55;1.65;1.15
3;2007;1.76;1.72;2.82;1.92;1.76;3.23;1.78;1.74;2.25;1.4;1.54;1.66;1.16
4;2008;1.76;1.73;2.79;1.92;1.76;3.21;1.77;1.74;2.24;1.4;1.53;1.67;1.17
5;2009;1.75;1.74;2.77;1.92;1.75;3.18;1.76;1.75;2.23;1.4;1.52;1.68;1.18
6;2010;1.75;1.75;2.75;1.91;1.75;3.16;1.75;1.75;2.23;1.4;1.52;1.69;1.19
7;2011;1.75;1.75;2.72;1.91;1.75;3.13;1.75;1.75;2.22;1.4;1.51;1.69;1.2
8;2012;1.75;1.76;2.7;1.9;1.75;3.1;1.75;1.75;2.21;1.4;1.5;1.7;1.2
9;2013;1.75;1.76;2.67;1.89;1.75;3.07;1.75;1.75;2.2;1.4;1.5;1.71;1.21
10;2014;1.75;1.76;2.64;1.89;1.75;3.04;1.75;1.75;2.2;1.4;1.49;1.71;1.22
11;2015;1.75;1.76;2.62;1.88;1.75;3.0;1.75;1.75;2.19;1.4;1.48;1.72;1.23
12;2016;1.75;1.77;2.59;1.88;1.75;2.97;1.75;1.75;2.18;1.4;1.48;1.72;1.24
13;2017;1.75;1.77;2.57;1.87;1.75;2.94;1.75;1.75;2.17;1.4;1.47;1.73;1.25
14;2018;1.75;1.77;2.54;1.87;1.75;2.9;1.75;1.75;2.17;1.4;1.47;1.73;1.26
15;2019;1.75;1.77;2.52;1.86;1.75;2.86;1.75;1.75;2.16;1.4;1.46;1.73;1.26
16;2020;1.75;1.77;2.49;1.86;1.75;2.83;1.75;1.75;2.15;1.4;1.46;1.74;1.27
17;2021;1.75;1.77;2.46;1.85;1.75;2.79;1.75;1.75;2.14;1.4;1.45;1.74;1.28
18;2022;1.75;1.77;2.44;1.85;1.75;2.75;1.75;1.75;2.14;1.4;1.45;1.74;1.29
19;2023;1.75;1.77;2.41;1.84;1.75;2.71;1.75;1.75;2.13;1.4;1.45;1.74;1.29
20;2024;1.75;1.77;2.39;1.84;1.75;2.67;1.75;1.75;2.12;1.4;1.44;1.75;1.3
21;2025;1.75;1.77;2.36;1.83;1.75;2.63;1.75;1.75;2.11;1.4;1.44;1.75;1.31
22;2026;1.75;1.77;2.34;1.83;1.75;2.6;1.75;1.75;2.11;1.4;1.43;1.75;1.31
23;2027;1.75;1.77;2.32;1.82;1.75;2.56;1.75;1.75;2.1;1.4;1.43;1.75;1.32
24;2028;1.75;1.77;2.29;1.81;1.75;2.52;1.75;1.75;2.09;1.4;1.43;1.75;1.33
25;2029;1.75;1.77;2.27;1.81;1.75;2.48;1.75;1.75;2.08;1.4;1.43;1.75;1.33
26;2030;1.75;1.78;2.25;1.81;1.75;2.44;1.75;1.75;2.08;1.4;1.42;1.75;1.34
27;2031;1.75;1.78;2.23;1.8;1.75;2.41;1.75;1.75;2.07;1.4;1.42;1.75;1.34
28;2032;1.75;1.78;2.21;1.8;1.75;2.37;1.75;1.75;2.06;1.4;1.42;1.75;1.35
29;2033;1.75;1.78;2.19;1.79;1.75;2.34;1.75;1.75;2.06;1.4;1.42;1.75;1.36
30;2034;1.75;1.78;2.17;1.79;1.75;2.3;1.75;1.75;2.05;1.4;1.41;1.75;1.36
31;2035;1.75;1.78;2.15;1.78;1.75;2.27;1.75;1.75;2.05;1.4;1.41;1.75;1.36
32;2036;1.75;1.78;2.13;1.78;1.75;2.24;1.75;1.75;2.04;1.4;1.41;1.75;1.37
33;2037;1.75;1.78;2.11;1.78;1.75;2.21;1.75;1.75;2.04;1.4;1.41;1.75;1.37
34;2038;1.75;1.78;2.1;1.77;1.75;2.18;1.75;1.75;2.03;1.4;1.41;1.75;1.38
35;2039;1.75;1.78;2.08;1.77;1.75;2.16;1.75;1.75;2.03;1.4;1.41;1.75;1.38
36;2040;1.75;1.78;2.07;1.77;1.75;2.13;1.75;1.75;2.02;1.4;1.4;1.75;1.38
37;2041;1.75;1.79;2.06;1.76;1.75;2.11;1.75;1.75;2.02;1.4;1.4;1.75;1.39
38;2042;1.75;1.79;2.05;1.76;1.75;2.09;1.75;1.75;2.01;1.4;1.4;1.75;1.39
39;2043;1.75;1.79;2.04;1.76;1.75;2.07;1.75;1.75;2.01;1.4;1.4;1.75;1.39
40;2044;1.75;1.79;2.03;1.76;1.75;2.05;1.75;1.75;2.01;1.4;1.4;1.75;1.39
41;2045;1.75;1.79;2.02;1.75;1.75;2.04;1.75;1.75;2.01;1.4;1.4;1.75;1.4
42;2046;1.75;1.79;2.01;1.75;1.75;2.02;1.75;1.75;2.0;1.4;1.4;1.75;1.4
43;2047;1.75;1.79;2.01;1.75;1.75;2.01;1.75;1.75;2.0;1.4;1.4;1.75;1.4
44;2048;1.75;1.79;2.0;1.75;1.75;2.01;1.75;1.75;2.0;1.4;1.4;1.75;1.4
45;2049;1.75;1.79;2.0;1.75;1.75;2.0;1.75;1.75;2.0;1.4;1.4;1.75;1.4
