ID;TypeZelfstandige;Geslacht;BedrijfstakkenBranchesSBI2008;Persoonskenmerken;Perioden;Zelfstandige_1
0;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2007;1523.0
1;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2008;1604.8
2;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2009;1654.3
3;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2010;1645.5
4;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2011;1679.1
5;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2012;1695.5
6;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2013;1710.5
7;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2014;1733.1
8;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2015;1763.6
9;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2016;1791.0
10;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2017;1841.8
11;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2018;1896.2
12;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Totaal personen;2019;1951.3
13;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2007;59.3
14;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2008;64.8
15;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2009;69.0
16;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2010;69.9
17;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2011;69.3
18;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2012;72.0
19;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2013;77.9
20;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2014;78.0
21;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2015;81.6
22;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2016;83.9
23;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2017;89.5
24;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2018;98.5
25;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: Jonger dan 25 jaar;2019;110.5
26;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2007;224.4
27;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2008;230.6
28;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2009;234.0
29;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2010;233.2
30;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2011;238.9
31;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2012;242.6
32;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2013;247.7
33;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2014;254.0
34;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2015;263.9
35;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2016;270.4
36;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2017;280.2
37;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2018;293.7
38;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 25 tot 35 jaar;2019;303.7
39;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2007;447.3
40;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2008;462.6
41;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2009;464.3
42;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2010;452.0
43;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2011;449.2
44;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2012;439.0
45;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2013;426.4
46;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2014;415.8
47;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2015;405.6
48;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2016;397.4
49;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2017;392.9
50;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2018;392.2
51;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 35 tot 45 jaar;2019;392.4
52;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 45 tot 55 jaar;2007;406.5
53;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 45 tot 55 jaar;2008;428.5
54;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 45 tot 55 jaar;2009;445.2
55;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 45 tot 55 jaar;2010;449.2
56;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 45 tot 55 jaar;2011;465.5
57;Zelfstandige;Totaal mannen en vrouwen;A-U Alle economische activiteiten;Leeftijd: 45 tot 55 jaar;2012;475.1
