ID;ReIntegratievoorzieningen;RegioS;Perioden;NieuweVoorzieningen_1;BeeindigdeVoorzieningen_2
0;Totaal re-integratievoorzieningen;Nederland;2015 januari;17300.0;11230.0
1;Totaal re-integratievoorzieningen;Nederland;2015 februari;13860.0;10630.0
2;Totaal re-integratievoorzieningen;Nederland;2015 maart;16260.0;12600.0
3;Totaal re-integratievoorzieningen;Nederland;2015 april;13550.0;10660.0
4;Totaal re-integratievoorzieningen;Nederland;2015 mei;11030.0;9450.0
5;Totaal re-integratievoorzieningen;Nederland;2015 juni;14570.0;12880.0
6;Totaal re-integratievoorzieningen;Nederland;2015 juli;12730.0;12260.0
7;Totaal re-integratievoorzieningen;Nederland;2015 augustus;11290.0;9590.0
8;Totaal re-integratievoorzieningen;Nederland;2015 september;14610.0;11610.0
9;Totaal re-integratievoorzieningen;Nederland;2015 oktober;15030.0;11930.0
10;Totaal re-integratievoorzieningen;Nederland;2015 november;15320.0;11440.0
11;Totaal re-integratievoorzieningen;Nederland;2015 december;12230.0;13390.0
12;Totaal re-integratievoorzieningen;Nederland;2016 januari;14200.0;9550.0
13;Totaal re-integratievoorzieningen;Nederland;2016 februari;13700.0;10780.0
14;Totaal re-integratievoorzieningen;Nederland;2016 maart;15400.0;11910.0
15;Totaal re-integratievoorzieningen;Nederland;2016 april;14020.0;11350.0
16;Totaal re-integratievoorzieningen;Nederland;2016 mei;13690.0;10730.0
17;Totaal re-integratievoorzieningen;Nederland;2016 juni;14070.0;12290.0
18;Totaal re-integratievoorzieningen;Nederland;2016 juli;11860.0;10400.0
19;Totaal re-integratievoorzieningen;Nederland;2016 augustus;11930.0;9890.0
20;Totaal re-integratievoorzieningen;Nederland;2016 september;14810.0;11820.0
21;Totaal re-integratievoorzieningen;Nederland;2016 oktober;14710.0;10960.0
22;Totaal re-integratievoorzieningen;Nederland;2016 november;16160.0;11970.0
23;Totaal re-integratievoorzieningen;Nederland;2016 december;11940.0;12000.0
24;Totaal re-integratievoorzieningen;Nederland;2017 januari;15460.0;11430.0
25;Totaal re-integratievoorzieningen;Nederland;2017 februari;14120.0;9520.0
26;Totaal re-integratievoorzieningen;Nederland;2017 maart;16430.0;11590.0
27;Totaal re-integratievoorzieningen;Nederland;2017 april;12580.0;9810.0
28;Totaal re-integratievoorzieningen;Nederland;2017 mei;14330.0;10590.0
29;Totaal re-integratievoorzieningen;Nederland;2017 juni;13240.0;10500.0
30;Totaal re-integratievoorzieningen;Nederland;2017 juli;14590.0;11410.0
31;Totaal re-integratievoorzieningen;Nederland;2017 augustus;13470.0;10290.0
32;Totaal re-integratievoorzieningen;Nederland;2017 september;16730.0;10970.0
33;Totaal re-integratievoorzieningen;Nederland;2017 oktober;17160.0;12460.0
34;Totaal re-integratievoorzieningen;Nederland;2017 november;17730.0;12740.0
35;Totaal re-integratievoorzieningen;Nederland;2017 december;11990.0;10320.0
36;Totaal re-integratievoorzieningen;Nederland;2018 januari;17310.0;10180.0
37;Totaal re-integratievoorzieningen;Nederland;2018 februari;15380.0;10800.0
38;Totaal re-integratievoorzieningen;Nederland;2018 maart;16570.0;11840.0
39;Totaal re-integratievoorzieningen;Nederland;2018 april;15500.0;12470.0
40;Totaal re-integratievoorzieningen;Nederland;2018 mei;15350.0;11640.0
41;Totaal re-integratievoorzieningen;Nederland;2018 juni;14040.0;12600.0
42;Totaal re-integratievoorzieningen;Nederland;2018 juli;13950.0;12190.0
43;Totaal re-integratievoorzieningen;Nederland;2018 augustus;12350.0;10720.0
44;Totaal re-integratievoorzieningen;Nederland;2018 september;15560.0;11590.0
45;Totaal re-integratievoorzieningen;Nederland;2018 oktober;16990.0;13340.0
46;Totaal re-integratievoorzieningen;Nederland;2018 november;15580.0;13150.0
47;Totaal re-integratievoorzieningen;Nederland;2018 december;11870.0;13360.0
48;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 januari;1650.0;1220.0
49;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 februari;1770.0;1340.0
50;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 maart;2000.0;1390.0
51;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 april;1430.0;1150.0
52;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 mei;1150.0;1080.0
53;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 juni;1490.0;1560.0
54;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 juli;1210.0;1260.0
55;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 augustus;1260.0;1230.0
56;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 september;1730.0;1270.0
57;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 oktober;1800.0;1420.0
58;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 november;1640.0;1240.0
59;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2015 december;1440.0;1400.0
60;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 januari;1550.0;1110.0
61;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 februari;1860.0;1440.0
62;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 maart;1930.0;1450.0
63;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 april;1800.0;1410.0
64;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 mei;1500.0;1500.0
65;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 juni;1930.0;1630.0
66;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 juli;1440.0;1270.0
67;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 augustus;1280.0;1130.0
68;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 september;1980.0;1380.0
69;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 oktober;1790.0;1370.0
70;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 november;1990.0;1470.0
71;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2016 december;1720.0;2820.0
72;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 januari;1980.0;1370.0
73;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 februari;1830.0;1260.0
74;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 maart;2130.0;1540.0
75;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 april;1770.0;1320.0
76;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 mei;1810.0;1370.0
77;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 juni;1580.0;1420.0
78;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 juli;1890.0;1870.0
79;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 augustus;1380.0;1190.0
80;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 september;1830.0;1360.0
81;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 oktober;1910.0;1480.0
82;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 november;2140.0;1600.0
83;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2017 december;1580.0;1520.0
84;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 januari;2060.0;1300.0
85;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 februari;1870.0;1290.0
86;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 maart;2050.0;1570.0
87;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 april;1920.0;1490.0
88;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 mei;1780.0;1750.0
89;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 juni;1670.0;1570.0
90;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 juli;1630.0;1550.0
91;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 augustus;1260.0;1410.0
92;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 september;1880.0;1430.0
93;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 oktober;1840.0;1490.0
94;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 november;1770.0;1430.0
95;Totaal re-integratievoorzieningen;Noord-Nederland (LD);2018 december;1320.0;1840.0
96;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 januari;2720.0;1560.0
97;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 februari;2270.0;1610.0
98;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 maart;2650.0;1840.0
99;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 april;2340.0;1840.0
100;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 mei;1970.0;1300.0
101;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 juni;2590.0;2270.0
102;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 juli;2180.0;2340.0
103;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 augustus;2090.0;1530.0
104;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 september;2610.0;1860.0
105;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 oktober;2820.0;1890.0
106;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 november;2960.0;1880.0
107;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2015 december;2170.0;2300.0
108;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 januari;2940.0;1680.0
109;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 februari;2540.0;1630.0
110;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 maart;2540.0;1670.0
111;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 april;2230.0;1610.0
112;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 mei;2300.0;1620.0
113;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 juni;2220.0;1750.0
114;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 juli;2090.0;1510.0
115;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 augustus;1550.0;1150.0
116;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 september;2130.0;1340.0
117;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 oktober;2090.0;1220.0
118;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 november;2400.0;1660.0
119;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2016 december;1720.0;1380.0
120;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 januari;2750.0;1290.0
121;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 februari;2390.0;1260.0
122;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 maart;2580.0;1510.0
123;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 april;1960.0;1380.0
124;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 mei;2230.0;1660.0
125;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 juni;1930.0;1470.0
126;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 juli;2010.0;1530.0
127;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 augustus;1890.0;1400.0
128;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 september;2490.0;1560.0
129;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 oktober;2710.0;1790.0
130;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 november;2800.0;1560.0
131;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2017 december;1790.0;1520.0
132;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 januari;2640.0;1480.0
133;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 februari;2310.0;1490.0
134;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 maart;2210.0;1380.0
135;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 april;2140.0;1270.0
136;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 mei;1970.0;1380.0
137;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 juni;2000.0;1500.0
138;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 juli;2080.0;1670.0
139;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 augustus;1720.0;1440.0
140;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 september;2400.0;1510.0
141;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 oktober;2500.0;1790.0
142;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 november;2420.0;1670.0
143;Totaal re-integratievoorzieningen;Oost-Nederland (LD);2018 december;1690.0;1660.0
144;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 januari;10470.0;6850.0
145;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 februari;8050.0;6250.0
146;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 maart;9330.0;7650.0
147;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 april;7790.0;6090.0
148;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 mei;6460.0;5820.0
149;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 juni;8250.0;7180.0
150;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 juli;7380.0;6850.0
151;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 augustus;6590.0;5620.0
152;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 september;8300.0;7090.0
153;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 oktober;8270.0;7010.0
154;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 november;8580.0;6620.0
155;Totaal re-integratievoorzieningen;West-Nederland (LD);2015 december;6820.0;8020.0
156;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 januari;7720.0;5400.0
157;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 februari;7440.0;6040.0
158;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 maart;8760.0;7080.0
159;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 april;7870.0;6620.0
160;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 mei;7920.0;6090.0
161;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 juni;7950.0;7330.0
162;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 juli;6760.0;6110.0
163;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 augustus;7590.0;6270.0
164;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 september;8570.0;7560.0
165;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 oktober;8730.0;6780.0
166;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 november;9490.0;7210.0
167;Totaal re-integratievoorzieningen;West-Nederland (LD);2016 december;7190.0;6150.0
168;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 januari;8330.0;6980.0
169;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 februari;8240.0;5780.0
170;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 maart;9520.0;7020.0
171;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 april;6990.0;5660.0
172;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 mei;8120.0;5880.0
173;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 juni;7860.0;6150.0
174;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 juli;9000.0;6490.0
175;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 augustus;8330.0;6260.0
176;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 september;10100.0;6390.0
177;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 oktober;10470.0;7470.0
178;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 november;10370.0;7870.0
179;Totaal re-integratievoorzieningen;West-Nederland (LD);2017 december;6740.0;5880.0
180;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 januari;9490.0;5990.0
181;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 februari;9100.0;6660.0
182;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 maart;9920.0;7290.0
183;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 april;9210.0;8120.0
184;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 mei;9350.0;6880.0
185;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 juni;8210.0;7920.0
186;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 juli;8160.0;7370.0
187;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 augustus;7200.0;6170.0
188;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 september;8910.0;6840.0
189;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 oktober;9930.0;8150.0
190;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 november;9020.0;8290.0
191;Totaal re-integratievoorzieningen;West-Nederland (LD);2018 december;7140.0;8260.0
192;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 januari;2460.0;1610.0
193;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 februari;1770.0;1440.0
194;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 maart;2270.0;1720.0
195;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 april;1980.0;1590.0
196;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 mei;1450.0;1250.0
197;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 juni;2250.0;1870.0
198;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 juli;1970.0;1820.0
199;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 augustus;1350.0;1210.0
200;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 september;1970.0;1400.0
201;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 oktober;2140.0;1610.0
202;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 november;2150.0;1700.0
203;Totaal re-integratievoorzieningen;Zuid-Nederland (LD);2015 december;1800.0;1680.0
