ID;Geslacht;TypeZelfstandige;SociaaleconomischePositieJaarEerder;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;StartendeZelfstandigen_1
0;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2012;205.3
1;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2013;215.1
2;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2014;217.6
3;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2015;225.6
4;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2016;218.0
5;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2017;238.6
6;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2018;249.7
7;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2019;264.1
8;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2020;272.4
9;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2021;336.7
10;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A-U Alle economische activiteiten;2022;336.3
11;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2012;3.4
12;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2013;3.3
13;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2014;3.7
14;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2015;4.3
15;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2016;4.1
16;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2017;4.4
17;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2018;4.8
18;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2019;6.7
19;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2020;6.6
20;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2021;8.4
21;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2022;7.8
22;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2012;13.8
23;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2013;14.0
24;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2014;16.1
25;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2015;18.1
26;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2016;17.4
27;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2017;19.2
28;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2018;23.5
29;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2019;27.9
30;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2020;28.3
31;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2021;34.0
32;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2022;40.9
33;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2012;26.7
34;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2013;26.1
35;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2014;28.7
36;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2015;30.8
37;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2016;30.7
38;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2017;29.5
