ID;RegioS;Migratieachtergrond;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal;10653.7;17.0
1;Nederland;Nederlandse achtergrond;9004.6;17.2
2;Nederland;Met migratieachtergrond;1649.0;16.0
3;Nederland;Westerse migratieachtergrond;921.4;17.6
4;Nederland;Niet-westerse migratieachtergrond;727.7;13.9
5;Noord-Nederland;Totaal;1106.4;15.6
6;Noord-Nederland;Nederlandse achtergrond;1023.3;15.7
7;Noord-Nederland;Met migratieachtergrond;83.1;14.8
8;Noord-Nederland;Westerse migratieachtergrond;58.8;15.6
9;Noord-Nederland;Niet-westerse migratieachtergrond;24.2;12.9
10;Oost-Nederland;Totaal;2209.6;16.5
11;Oost-Nederland;Nederlandse achtergrond;1938.6;16.6
12;Oost-Nederland;Met migratieachtergrond;271.0;15.3
13;Oost-Nederland;Westerse migratieachtergrond;168.6;16.4
14;Oost-Nederland;Niet-westerse migratieachtergrond;102.5;13.4
15;West-Nederland;Totaal;4984.6;17.7
16;West-Nederland;Nederlandse achtergrond;4021.1;18.0
17;West-Nederland;Met migratieachtergrond;963.6;16.5
18;West-Nederland;Westerse migratieachtergrond;459.2;19.0
19;West-Nederland;Niet-westerse migratieachtergrond;504.4;14.2
20;Zuid-Nederland;Totaal;2353.0;16.6
21;Zuid-Nederland;Nederlandse achtergrond;2021.7;16.8
22;Zuid-Nederland;Met migratieachtergrond;331.4;15.4
23;Zuid-Nederland;Westerse migratieachtergrond;234.8;16.2
24;Zuid-Nederland;Niet-westerse migratieachtergrond;96.6;13.4
25;Groningen;Totaal;376.3;15.4
26;Groningen;Nederlandse achtergrond;341.0;15.4
27;Groningen;Met migratieachtergrond;35.3;14.6
28;Groningen;Westerse migratieachtergrond;23.5;15.5
29;Groningen;Niet-westerse migratieachtergrond;11.8;12.9
30;Friesland;Totaal;412.6;15.6
31;Friesland;Nederlandse achtergrond;386.7;15.7
32;Friesland;Met migratieachtergrond;25.9;14.5
33;Friesland;Westerse migratieachtergrond;18.2;15.4
34;Friesland;Niet-westerse migratieachtergrond;7.7;12.6
35;Drenthe;Totaal;317.5;15.9
36;Drenthe;Nederlandse achtergrond;295.5;15.9
37;Drenthe;Met migratieachtergrond;21.9;15.3
38;Drenthe;Westerse migratieachtergrond;17.2;15.9
39;Drenthe;Niet-westerse migratieachtergrond;4.8;13.2
40;Overijssel;Totaal;713.2;15.9
41;Overijssel;Nederlandse achtergrond;629.6;16.1
42;Overijssel;Met migratieachtergrond;83.6;14.5
43;Overijssel;Westerse migratieachtergrond;52.4;15.7
44;Overijssel;Niet-westerse migratieachtergrond;31.2;12.6
45;Flevoland;Totaal;211.0;16.9
46;Flevoland;Nederlandse achtergrond;172.4;17.0
47;Flevoland;Met migratieachtergrond;38.5;16.1
48;Flevoland;Westerse migratieachtergrond;16.6;17.5
49;Flevoland;Niet-westerse migratieachtergrond;21.9;15.0
50;Gelderland;Totaal;1285.4;16.7
51;Gelderland;Nederlandse achtergrond;1136.5;16.9
52;Gelderland;Met migratieachtergrond;148.9;15.5
53;Gelderland;Westerse migratieachtergrond;99.5;16.7
54;Gelderland;Niet-westerse migratieachtergrond;49.4;13.2
55;Utrecht;Totaal;760.0;18.3
56;Utrecht;Nederlandse achtergrond;642.0;18.6
57;Utrecht;Met migratieachtergrond;118.1;16.7
58;Utrecht;Westerse migratieachtergrond;62.9;19.0
59;Utrecht;Niet-westerse migratieachtergrond;55.2;14.0
60;Noord-Holland;Totaal;1725.7;18.0
61;Noord-Holland;Nederlandse achtergrond;1363.9;18.3
62;Noord-Holland;Met migratieachtergrond;361.8;16.9
63;Noord-Holland;Westerse migratieachtergrond;173.3;19.5
64;Noord-Holland;Niet-westerse migratieachtergrond;188.5;14.5
65;Zuid-Holland;Totaal;2252.0;17.5
66;Zuid-Holland;Nederlandse achtergrond;1798.2;17.8
67;Zuid-Holland;Met migratieachtergrond;453.8;16.1
68;Zuid-Holland;Westerse migratieachtergrond;199.6;18.8
69;Zuid-Holland;Niet-westerse migratieachtergrond;254.2;14.0
70;Zeeland;Totaal;246.8;16.5
71;Zeeland;Nederlandse achtergrond;216.9;16.7
72;Zeeland;Met migratieachtergrond;29.9;15.3
73;Zeeland;Westerse migratieachtergrond;23.4;15.9
74;Zeeland;Niet-westerse migratieachtergrond;6.5;13.3
75;Noord-Brabant;Totaal;1592.5;16.9
76;Noord-Brabant;Nederlandse achtergrond;1396.4;17.1
77;Noord-Brabant;Met migratieachtergrond;196.2;15.7
78;Noord-Brabant;Westerse migratieachtergrond;122.7;17.0
79;Noord-Brabant;Niet-westerse migratieachtergrond;73.5;13.5
80;Limburg;Totaal;760.5;16.0
81;Limburg;Nederlandse achtergrond;625.3;16.2
82;Limburg;Met migratieachtergrond;135.2;14.9
83;Limburg;Westerse migratieachtergrond;112.1;15.3
84;Limburg;Niet-westerse migratieachtergrond;23.1;12.9
85;Oost-Groningen;Totaal;102.6;14.7
86;Oost-Groningen;Nederlandse achtergrond;95.4;14.7
87;Oost-Groningen;Met migratieachtergrond;7.1;14.3
88;Oost-Groningen;Westerse migratieachtergrond;5.6;14.8
89;Oost-Groningen;Niet-westerse migratieachtergrond;1.5;12.6
90;Delfzijl en omgeving;Totaal;34.2;15.6
91;Delfzijl en omgeving;Nederlandse achtergrond;30.8;15.8
92;Delfzijl en omgeving;Met migratieachtergrond;3.5;14.5
93;Delfzijl en omgeving;Westerse migratieachtergrond;2.3;15.2
94;Delfzijl en omgeving;Niet-westerse migratieachtergrond;1.2;13.2
95;Overig Groningen;Totaal;239.5;15.6
96;Overig Groningen;Nederlandse achtergrond;214.8;15.7
97;Overig Groningen;Met migratieachtergrond;24.7;14.7
98;Overig Groningen;Westerse migratieachtergrond;15.6;15.8
99;Overig Groningen;Niet-westerse migratieachtergrond;9.1;12.9
100;Noord-Friesland;Totaal;212.6;15.4
101;Noord-Friesland;Nederlandse achtergrond;199.1;15.4
102;Noord-Friesland;Met migratieachtergrond;13.5;14.4
103;Noord-Friesland;Westerse migratieachtergrond;9.1;15.4
104;Noord-Friesland;Niet-westerse migratieachtergrond;4.4;12.4
105;Zuidwest-Friesland;Totaal;66.6;15.8
106;Zuidwest-Friesland;Nederlandse achtergrond;62.6;15.9
107;Zuidwest-Friesland;Met migratieachtergrond;4.0;14.8
108;Zuidwest-Friesland;Westerse migratieachtergrond;3.2;15.6
109;Zuidwest-Friesland;Niet-westerse migratieachtergrond;0.8;11.7
110;Zuidoost-Friesland;Totaal;133.4;15.8
111;Zuidoost-Friesland;Nederlandse achtergrond;125.0;15.9
112;Zuidoost-Friesland;Met migratieachtergrond;8.4;14.7
113;Zuidoost-Friesland;Westerse migratieachtergrond;5.9;15.3
114;Zuidoost-Friesland;Niet-westerse migratieachtergrond;2.5;13.3
115;Noord-Drenthe;Totaal;120.6;16.6
116;Noord-Drenthe;Nederlandse achtergrond;111.9;16.6
117;Noord-Drenthe;Met migratieachtergrond;8.7;16.4
118;Noord-Drenthe;Westerse migratieachtergrond;6.7;17.2
119;Noord-Drenthe;Niet-westerse migratieachtergrond;1.9;13.6
120;Zuidoost-Drenthe;Totaal;113.5;15.1
121;Zuidoost-Drenthe;Nederlandse achtergrond;105.2;15.1
122;Zuidoost-Drenthe;Met migratieachtergrond;8.2;14.1
123;Zuidoost-Drenthe;Westerse migratieachtergrond;6.7;14.4
124;Zuidoost-Drenthe;Niet-westerse migratieachtergrond;1.5;12.9
125;Zuidwest-Drenthe;Totaal;83.5;16.0
126;Zuidwest-Drenthe;Nederlandse achtergrond;78.4;16.0
127;Zuidwest-Drenthe;Met migratieachtergrond;5.1;15.3
128;Zuidwest-Drenthe;Westerse migratieachtergrond;3.7;16.1
129;Zuidwest-Drenthe;Niet-westerse migratieachtergrond;1.3;13.0
130;Noord-Overijssel;Totaal;216.2;16.4
131;Noord-Overijssel;Nederlandse achtergrond;200.7;16.4
132;Noord-Overijssel;Met migratieachtergrond;15.5;15.4
133;Noord-Overijssel;Westerse migratieachtergrond;9.6;16.7
134;Noord-Overijssel;Niet-westerse migratieachtergrond;6.0;13.3
135;Zuidwest-Overijssel;Totaal;96.8;16.0
136;Zuidwest-Overijssel;Nederlandse achtergrond;85.3;16.2
137;Zuidwest-Overijssel;Met migratieachtergrond;11.5;14.8
138;Zuidwest-Overijssel;Westerse migratieachtergrond;6.6;16.5
139;Zuidwest-Overijssel;Niet-westerse migratieachtergrond;4.9;12.6
140;Twente;Totaal;400.2;15.7
141;Twente;Nederlandse achtergrond;343.6;15.9
142;Twente;Met migratieachtergrond;56.6;14.3
143;Twente;Westerse migratieachtergrond;36.3;15.3
144;Twente;Niet-westerse migratieachtergrond;20.3;12.4
145;Veluwe;Totaal;411.1;17.1
146;Veluwe;Nederlandse achtergrond;371.3;17.2
147;Veluwe;Met migratieachtergrond;39.8;16.0
148;Veluwe;Westerse migratieachtergrond;26.0;17.3
149;Veluwe;Niet-westerse migratieachtergrond;13.8;13.6
150;Achterhoek;Totaal;255.7;16.1
151;Achterhoek;Nederlandse achtergrond;231.6;16.2
152;Achterhoek;Met migratieachtergrond;24.0;15.1
153;Achterhoek;Westerse migratieachtergrond;17.8;15.7
154;Achterhoek;Niet-westerse migratieachtergrond;6.3;13.2
155;Arnhem/Nijmegen;Totaal;472.6;16.5
156;Arnhem/Nijmegen;Nederlandse achtergrond;400.7;16.8
157;Arnhem/Nijmegen;Met migratieachtergrond;71.9;15.3
158;Arnhem/Nijmegen;Westerse migratieachtergrond;47.6;16.5
159;Arnhem/Nijmegen;Niet-westerse migratieachtergrond;24.2;12.8
160;Zuidwest-Gelderland;Totaal;146.0;17.2
161;Zuidwest-Gelderland;Nederlandse achtergrond;132.9;17.4
162;Zuidwest-Gelderland;Met migratieachtergrond;13.2;16.1
163;Zuidwest-Gelderland;Westerse migratieachtergrond;8.1;17.6
164;Zuidwest-Gelderland;Niet-westerse migratieachtergrond;5.0;13.5
165;Utrecht;Totaal;760.0;18.3
166;Utrecht;Nederlandse achtergrond;642.0;18.6
167;Utrecht;Met migratieachtergrond;118.1;16.7
168;Utrecht;Westerse migratieachtergrond;62.9;19.0
169;Utrecht;Niet-westerse migratieachtergrond;55.2;14.0
170;Kop van Noord-Holland;Totaal;236.3;16.7
171;Kop van Noord-Holland;Nederlandse achtergrond;212.9;16.8
172;Kop van Noord-Holland;Met migratieachtergrond;23.4;15.8
173;Kop van Noord-Holland;Westerse migratieachtergrond;15.2;16.9
174;Kop van Noord-Holland;Niet-westerse migratieachtergrond;8.1;13.8
175;Alkmaar en omgeving;Totaal;149.4;17.6
176;Alkmaar en omgeving;Nederlandse achtergrond;130.3;17.7
177;Alkmaar en omgeving;Met migratieachtergrond;19.1;16.6
178;Alkmaar en omgeving;Westerse migratieachtergrond;11.3;18.2
179;Alkmaar en omgeving;Niet-westerse migratieachtergrond;7.7;14.2
180;IJmond;Totaal;126.5;17.7
181;IJmond;Nederlandse achtergrond;111.1;17.9
182;IJmond;Met migratieachtergrond;15.4;16.5
183;IJmond;Westerse migratieachtergrond;10.5;17.8
184;IJmond;Niet-westerse migratieachtergrond;4.9;13.7
185;Agglomeratie Haarlem;Totaal;150.5;19.0
186;Agglomeratie Haarlem;Nederlandse achtergrond;125.2;19.1
187;Agglomeratie Haarlem;Met migratieachtergrond;25.3;18.2
188;Agglomeratie Haarlem;Westerse migratieachtergrond;15.7;20.5
189;Agglomeratie Haarlem;Niet-westerse migratieachtergrond;9.7;14.5
190;Zaanstreek;Totaal;104.4;16.9
191;Zaanstreek;Nederlandse achtergrond;85.7;17.2
192;Zaanstreek;Met migratieachtergrond;18.7;15.2
193;Zaanstreek;Westerse migratieachtergrond;8.8;16.8
194;Zaanstreek;Niet-westerse migratieachtergrond;9.9;13.9
195;Groot-Amsterdam;Totaal;795.1;18.0
196;Groot-Amsterdam;Nederlandse achtergrond;559.9;18.6
197;Groot-Amsterdam;Met migratieachtergrond;235.2;16.7
198;Groot-Amsterdam;Westerse migratieachtergrond;94.6;19.9
199;Groot-Amsterdam;Niet-westerse migratieachtergrond;140.6;14.6
200;Het Gooi en Vechtstreek;Totaal;163.6;20.3
201;Het Gooi en Vechtstreek;Nederlandse achtergrond;138.8;20.3
202;Het Gooi en Vechtstreek;Met migratieachtergrond;24.8;20.4
203;Het Gooi en Vechtstreek;Westerse migratieachtergrond;17.2;22.6
204;Het Gooi en Vechtstreek;Niet-westerse migratieachtergrond;7.6;15.4
205;Agglomeratie Leiden en Bollenstreek;Totaal;256.9;18.3
206;Agglomeratie Leiden en Bollenstreek;Nederlandse achtergrond;224.2;18.4
207;Agglomeratie Leiden en Bollenstreek;Met migratieachtergrond;32.7;18.0
208;Agglomeratie Leiden en Bollenstreek;Westerse migratieachtergrond;20.7;20.1
209;Agglomeratie Leiden en Bollenstreek;Niet-westerse migratieachtergrond;12.0;14.5
210;Agglomeratie 's-Gravenhage;Totaal;500.9;18.1
211;Agglomeratie 's-Gravenhage;Nederlandse achtergrond;357.4;18.4
212;Agglomeratie 's-Gravenhage;Met migratieachtergrond;143.4;17.3
213;Agglomeratie 's-Gravenhage;Westerse migratieachtergrond;61.3;21.1
214;Agglomeratie 's-Gravenhage;Niet-westerse migratieachtergrond;82.2;14.4
215;Delft en Westland;Totaal;140.2;16.8
216;Delft en Westland;Nederlandse achtergrond;122.7;17.0
217;Delft en Westland;Met migratieachtergrond;17.6;15.7
218;Delft en Westland;Westerse migratieachtergrond;9.6;17.4
219;Delft en Westland;Niet-westerse migratieachtergrond;8.0;13.6
220;Oost-Zuid-Holland;Totaal;210.0;18.1
221;Oost-Zuid-Holland;Nederlandse achtergrond;185.3;18.3
222;Oost-Zuid-Holland;Met migratieachtergrond;24.7;16.5
223;Oost-Zuid-Holland;Westerse migratieachtergrond;14.4;18.4
224;Oost-Zuid-Holland;Niet-westerse migratieachtergrond;10.3;13.9
225;Groot-Rijnmond;Totaal;889.8;17.0
226;Groot-Rijnmond;Nederlandse achtergrond;689.3;17.5
227;Groot-Rijnmond;Met migratieachtergrond;200.5;15.1
228;Groot-Rijnmond;Westerse migratieachtergrond;74.7;17.4
229;Groot-Rijnmond;Niet-westerse migratieachtergrond;125.9;13.7
230;Zuidoost-Zuid-Holland;Totaal;254.2;17.1
231;Zuidoost-Zuid-Holland;Nederlandse achtergrond;219.4;17.3
232;Zuidoost-Zuid-Holland;Met migratieachtergrond;34.8;15.3
233;Zuidoost-Zuid-Holland;Westerse migratieachtergrond;19.0;16.8
234;Zuidoost-Zuid-Holland;Niet-westerse migratieachtergrond;15.8;13.4
235;Zeeuwsch-Vlaanderen;Totaal;70.9;16.5
236;Zeeuwsch-Vlaanderen;Nederlandse achtergrond;57.9;16.8
237;Zeeuwsch-Vlaanderen;Met migratieachtergrond;13.0;15.3
238;Zeeuwsch-Vlaanderen;Westerse migratieachtergrond;11.3;15.6
239;Zeeuwsch-Vlaanderen;Niet-westerse migratieachtergrond;1.7;13.3
240;Overig Zeeland;Totaal;175.9;16.5
241;Overig Zeeland;Nederlandse achtergrond;159.0;16.6
242;Overig Zeeland;Met migratieachtergrond;16.9;15.4
243;Overig Zeeland;Westerse migratieachtergrond;12.1;16.2
244;Overig Zeeland;Niet-westerse migratieachtergrond;4.8;13.2
245;West-Noord-Brabant;Totaal;399.4;16.9
246;West-Noord-Brabant;Nederlandse achtergrond;347.5;17.1
247;West-Noord-Brabant;Met migratieachtergrond;51.9;15.7
248;West-Noord-Brabant;Westerse migratieachtergrond;32.7;17.0
249;West-Noord-Brabant;Niet-westerse migratieachtergrond;19.2;13.4
250;Midden-Noord-Brabant;Totaal;298.2;16.4
251;Midden-Noord-Brabant;Nederlandse achtergrond;261.8;16.6
252;Midden-Noord-Brabant;Met migratieachtergrond;36.4;15.0
253;Midden-Noord-Brabant;Westerse migratieachtergrond;21.3;16.4
254;Midden-Noord-Brabant;Niet-westerse migratieachtergrond;15.1;13.1
255;Noordoost-Noord-Brabant;Totaal;415.5;17.0
256;Noordoost-Noord-Brabant;Nederlandse achtergrond;371.4;17.1
257;Noordoost-Noord-Brabant;Met migratieachtergrond;44.1;15.5
258;Noordoost-Noord-Brabant;Westerse migratieachtergrond;27.2;16.9
259;Noordoost-Noord-Brabant;Niet-westerse migratieachtergrond;16.9;13.2
260;Zuidoost-Noord-Brabant;Totaal;479.4;17.1
261;Zuidoost-Noord-Brabant;Nederlandse achtergrond;415.6;17.3
262;Zuidoost-Noord-Brabant;Met migratieachtergrond;63.8;16.2
263;Zuidoost-Noord-Brabant;Westerse migratieachtergrond;41.5;17.3
264;Zuidoost-Noord-Brabant;Niet-westerse migratieachtergrond;22.3;14.2
265;Noord-Limburg;Totaal;184.2;16.0
266;Noord-Limburg;Nederlandse achtergrond;157.5;16.2
267;Noord-Limburg;Met migratieachtergrond;26.8;14.6
268;Noord-Limburg;Westerse migratieachtergrond;19.6;15.3
269;Noord-Limburg;Niet-westerse migratieachtergrond;7.2;12.7
270;Midden-Limburg;Totaal;147.1;16.3
271;Midden-Limburg;Nederlandse achtergrond;125.3;16.6
272;Midden-Limburg;Met migratieachtergrond;21.8;14.9
273;Midden-Limburg;Westerse migratieachtergrond;16.9;15.4
274;Midden-Limburg;Niet-westerse migratieachtergrond;4.9;13.1
275;Zuid-Limburg;Totaal;429.2;15.9
276;Zuid-Limburg;Nederlandse achtergrond;342.6;16.1
277;Zuid-Limburg;Met migratieachtergrond;86.6;15.0
278;Zuid-Limburg;Westerse migratieachtergrond;75.7;15.3
279;Zuid-Limburg;Niet-westerse migratieachtergrond;11.0;12.8
280;Flevoland;Totaal;211.0;16.9
281;Flevoland;Nederlandse achtergrond;172.4;17.0
282;Flevoland;Met migratieachtergrond;38.5;16.1
283;Flevoland;Westerse migratieachtergrond;16.6;17.5
284;Flevoland;Niet-westerse migratieachtergrond;21.9;15.0
285;Groningen;Totaal;132.0;15.5
286;Groningen;Nederlandse achtergrond;114.1;15.6
287;Groningen;Met migratieachtergrond;18.0;14.5
288;Groningen;Westerse migratieachtergrond;11.2;15.5
289;Groningen;Niet-westerse migratieachtergrond;6.8;12.7
290;Leeuwarden;Totaal;61.3;15.1
291;Leeuwarden;Nederlandse achtergrond;53.8;15.3
292;Leeuwarden;Met migratieachtergrond;7.5;14.0
293;Leeuwarden;Westerse migratieachtergrond;4.3;15.2
294;Leeuwarden;Niet-westerse migratieachtergrond;3.2;12.3
295;Zwolle;Totaal;73.8;16.9
296;Zwolle;Nederlandse achtergrond;64.7;17.1
297;Zwolle;Met migratieachtergrond;9.1;15.2
298;Zwolle;Westerse migratieachtergrond;5.0;16.7
299;Zwolle;Niet-westerse migratieachtergrond;4.1;13.4
300;Enschede;Totaal;99.1;14.8
301;Enschede;Nederlandse achtergrond;77.2;15.2
302;Enschede;Met migratieachtergrond;21.9;13.6
303;Enschede;Westerse migratieachtergrond;13.1;14.6
304;Enschede;Niet-westerse migratieachtergrond;8.9;12.2
305;Apeldoorn;Totaal;105.3;17.0
306;Apeldoorn;Nederlandse achtergrond;92.1;17.2
307;Apeldoorn;Met migratieachtergrond;13.2;15.9
308;Apeldoorn;Westerse migratieachtergrond;8.7;17.0
309;Apeldoorn;Niet-westerse migratieachtergrond;4.5;13.6
310;Arnhem;Totaal;97.5;16.1
311;Arnhem;Nederlandse achtergrond;75.0;16.7
312;Arnhem;Met migratieachtergrond;22.5;14.3
313;Arnhem;Westerse migratieachtergrond;11.7;16.0
314;Arnhem;Niet-westerse migratieachtergrond;10.8;12.4
315;Nijmegen;Totaal;105.7;15.8
316;Nijmegen;Nederlandse achtergrond;85.6;16.1
317;Nijmegen;Met migratieachtergrond;20.1;14.6
318;Nijmegen;Westerse migratieachtergrond;12.2;15.9
319;Nijmegen;Niet-westerse migratieachtergrond;8.0;12.6
320;Amersfoort;Totaal;105.4;18.4
321;Amersfoort;Nederlandse achtergrond;87.7;18.7
322;Amersfoort;Met migratieachtergrond;17.7;16.9
323;Amersfoort;Westerse migratieachtergrond;9.5;19.2
324;Amersfoort;Niet-westerse migratieachtergrond;8.2;14.2
325;Utrecht;Totaal;270.6;17.3
326;Utrecht;Nederlandse achtergrond;213.4;17.8
327;Utrecht;Met migratieachtergrond;57.2;15.5
328;Utrecht;Westerse migratieachtergrond;25.4;17.6
329;Utrecht;Niet-westerse migratieachtergrond;31.7;13.8
330;Amsterdam;Totaal;683.2;17.7
331;Amsterdam;Nederlandse achtergrond;458.6;18.3
332;Amsterdam;Met migratieachtergrond;224.5;16.5
333;Amsterdam;Westerse migratieachtergrond;85.4;19.8
334;Amsterdam;Niet-westerse migratieachtergrond;139.1;14.4
335;Haarlem;Totaal;131.4;19.0
336;Haarlem;Nederlandse achtergrond;108.5;19.1
337;Haarlem;Met migratieachtergrond;22.9;18.1
338;Haarlem;Westerse migratieachtergrond;13.7;20.6
339;Haarlem;Niet-westerse migratieachtergrond;9.2;14.3
340;Leiden;Totaal;166.6;18.4
341;Leiden;Nederlandse achtergrond;141.7;18.5
342;Leiden;Met migratieachtergrond;24.9;18.0
343;Leiden;Westerse migratieachtergrond;15.0;20.2
344;Leiden;Niet-westerse migratieachtergrond;9.9;14.6
345;'s-Gravenhage;Totaal;416.0;18.0
346;'s-Gravenhage;Nederlandse achtergrond;290.3;18.3
347;'s-Gravenhage;Met migratieachtergrond;125.7;17.2
348;'s-Gravenhage;Westerse migratieachtergrond;51.6;21.5
349;'s-Gravenhage;Niet-westerse migratieachtergrond;74.1;14.3
350;Rotterdam;Totaal;662.2;16.5
351;Rotterdam;Nederlandse achtergrond;481.1;17.2
352;Rotterdam;Met migratieachtergrond;181.1;14.8
353;Rotterdam;Westerse migratieachtergrond;61.0;16.9
354;Rotterdam;Niet-westerse migratieachtergrond;120.1;13.7
355;Dordrecht;Totaal;158.8;16.9
356;Dordrecht;Nederlandse achtergrond;134.2;17.2
357;Dordrecht;Met migratieachtergrond;24.6;15.1
358;Dordrecht;Westerse migratieachtergrond;12.8;16.8
359;Dordrecht;Niet-westerse migratieachtergrond;11.8;13.2
360;Breda;Totaal;110.1;17.3
361;Breda;Nederlandse achtergrond;92.0;17.6
362;Breda;Met migratieachtergrond;18.1;15.7
363;Breda;Westerse migratieachtergrond;11.1;17.2
364;Breda;Niet-westerse migratieachtergrond;7.0;13.4
365;Tilburg;Totaal;149.2;15.9
366;Tilburg;Nederlandse achtergrond;125.1;16.2
367;Tilburg;Met migratieachtergrond;24.1;14.5
368;Tilburg;Westerse migratieachtergrond;12.2;15.9
369;Tilburg;Niet-westerse migratieachtergrond;11.8;13.0
370;'s-Hertogenbosch;Totaal;107.3;17.5
371;'s-Hertogenbosch;Nederlandse achtergrond;91.8;17.8
372;'s-Hertogenbosch;Met migratieachtergrond;15.5;15.6
373;'s-Hertogenbosch;Westerse migratieachtergrond;9.2;17.4
374;'s-Hertogenbosch;Niet-westerse migratieachtergrond;6.2;13.0
375;Eindhoven;Totaal;208.5;17.1
376;Eindhoven;Nederlandse achtergrond;171.1;17.3
377;Eindhoven;Met migratieachtergrond;37.4;16.3
378;Eindhoven;Westerse migratieachtergrond;21.8;17.7
379;Eindhoven;Niet-westerse migratieachtergrond;15.6;14.4
380;Geleen/Sittard;Totaal;94.3;16.5
381;Geleen/Sittard;Nederlandse achtergrond;76.9;16.7
382;Geleen/Sittard;Met migratieachtergrond;17.5;15.6
383;Geleen/Sittard;Westerse migratieachtergrond;14.8;16.0
384;Geleen/Sittard;Niet-westerse migratieachtergrond;2.6;13.4
385;Heerlen;Totaal;143.5;15.1
386;Heerlen;Nederlandse achtergrond;105.6;15.3
387;Heerlen;Met migratieachtergrond;37.9;14.3
388;Heerlen;Westerse migratieachtergrond;33.8;14.5
389;Heerlen;Niet-westerse migratieachtergrond;4.1;12.7
390;Maastricht;Totaal;83.2;15.5
391;Maastricht;Nederlandse achtergrond;68.4;15.6
392;Maastricht;Met migratieachtergrond;14.8;14.9
393;Maastricht;Westerse migratieachtergrond;11.6;15.7
394;Maastricht;Niet-westerse migratieachtergrond;3.2;12.2
395;Groningen;Totaal;224.2;16.0
396;Groningen;Nederlandse achtergrond;201.5;16.2
397;Groningen;Met migratieachtergrond;22.7;15.1
398;Groningen;Westerse migratieachtergrond;15.1;16.2
399;Groningen;Niet-westerse migratieachtergrond;7.6;13.0
400;Leeuwarden;Totaal;103.9;15.5
401;Leeuwarden;Nederlandse achtergrond;94.8;15.6
402;Leeuwarden;Met migratieachtergrond;9.1;14.4
403;Leeuwarden;Westerse migratieachtergrond;5.6;15.6
404;Leeuwarden;Niet-westerse migratieachtergrond;3.4;12.3
405;Zwolle;Totaal;109.7;16.9
406;Zwolle;Nederlandse achtergrond;99.3;17.0
407;Zwolle;Met migratieachtergrond;10.4;15.7
408;Zwolle;Westerse migratieachtergrond;6.0;17.3
409;Zwolle;Niet-westerse migratieachtergrond;4.4;13.6
410;Enschede;Totaal;203.3;15.5
411;Enschede;Nederlandse achtergrond;165.6;15.8
412;Enschede;Met migratieachtergrond;37.6;14.0
413;Enschede;Westerse migratieachtergrond;23.7;15.0
414;Enschede;Niet-westerse migratieachtergrond;13.9;12.4
415;Apeldoorn;Totaal;143.4;16.9
416;Apeldoorn;Nederlandse achtergrond;126.7;17.0
417;Apeldoorn;Met migratieachtergrond;16.7;15.9
418;Apeldoorn;Westerse migratieachtergrond;11.3;16.9
419;Apeldoorn;Niet-westerse migratieachtergrond;5.4;13.7
420;Arnhem;Totaal;235.8;16.8
421;Arnhem;Nederlandse achtergrond;198.8;17.0
422;Arnhem;Met migratieachtergrond;37.0;15.3
423;Arnhem;Westerse migratieachtergrond;23.6;16.8
424;Arnhem;Niet-westerse migratieachtergrond;13.4;12.7
425;Nijmegen;Totaal;183.2;16.5
426;Nijmegen;Nederlandse achtergrond;154.9;16.7
427;Nijmegen;Met migratieachtergrond;28.3;15.3
428;Nijmegen;Westerse migratieachtergrond;18.9;16.5
429;Nijmegen;Niet-westerse migratieachtergrond;9.4;12.9
430;Amersfoort;Totaal;171.3;18.3
431;Amersfoort;Nederlandse achtergrond;146.7;18.6
432;Amersfoort;Met migratieachtergrond;24.7;16.8
433;Amersfoort;Westerse migratieachtergrond;13.6;19.0
434;Amersfoort;Niet-westerse migratieachtergrond;11.1;14.1
435;Utrecht;Totaal;373.1;18.0
436;Utrecht;Nederlandse achtergrond;302.4;18.4
437;Utrecht;Met migratieachtergrond;70.7;16.2
438;Utrecht;Westerse migratieachtergrond;34.3;18.6
439;Utrecht;Niet-westerse migratieachtergrond;36.5;13.9
440;Amsterdam;Totaal;945.9;17.8
441;Amsterdam;Nederlandse achtergrond;671.5;18.3
442;Amsterdam;Met migratieachtergrond;274.4;16.6
443;Amsterdam;Westerse migratieachtergrond;110.0;19.5
444;Amsterdam;Niet-westerse migratieachtergrond;164.4;14.6
445;Haarlem;Totaal;277.0;18.4
446;Haarlem;Nederlandse achtergrond;236.3;18.5
447;Haarlem;Met migratieachtergrond;40.7;17.5
