ID;InstitutioneleSectoren;TransactiesEnSaldi;Perioden;OverheidsproductieEnConsumptie_1
0;Overheid;P1 Output;1995;64961
1;Overheid;P1 Output;1996;66299
2;Overheid;P1 Output;1997;68893
3;Overheid;P1 Output;1998;71970
4;Overheid;P1 Output;1999;75165
5;Overheid;P1 Output;2000;81092
6;Overheid;P1 Output;2001;88141
7;Overheid;P1 Output;2002;93859
8;Overheid;P1 Output;2003;99621
9;Overheid;P1 Output;2004;101771
10;Overheid;P1 Output;2005;105176
11;Overheid;P1 Output;2006;109699
12;Overheid;P1 Output;2007;115534
13;Overheid;P1 Output;2008;122917
14;Overheid;P1 Output;2009;126703
15;Overheid;P1 Output;2010;130280
16;Overheid;P1 Output;2011;130399
17;Overheid;P1 Output;2012;131940
18;Overheid;P1 Output;2013;132542
19;Overheid;P1 Output;2014;132749
20;Overheid;P1 Output;2015;130847
21;Overheid;P1 Output;2016;130293
22;Overheid;P1 Output;2017;133124
23;Overheid;P1 Output;2018;138548
24;Overheid;P1 Output;2019;144561
25;Overheid;P1 Output;2020;150107
26;Overheid;P1 Output;2021;161662
27;Overheid;P1 Output;2022;179345
28;Overheid;P1 Output;2023;187522
29;Overheid;P11 Marktoutput;1995;6594
30;Overheid;P11 Marktoutput;1996;7059
31;Overheid;P11 Marktoutput;1997;7512
32;Overheid;P11 Marktoutput;1998;7349
33;Overheid;P11 Marktoutput;1999;7265
34;Overheid;P11 Marktoutput;2000;8455
35;Overheid;P11 Marktoutput;2001;9436
36;Overheid;P11 Marktoutput;2002;9099
37;Overheid;P11 Marktoutput;2003;9656
38;Overheid;P11 Marktoutput;2004;10337
39;Overheid;P11 Marktoutput;2005;11098
40;Overheid;P11 Marktoutput;2006;12627
41;Overheid;P11 Marktoutput;2007;12676
42;Overheid;P11 Marktoutput;2008;15566
43;Overheid;P11 Marktoutput;2009;13261
44;Overheid;P11 Marktoutput;2010;13687
45;Overheid;P11 Marktoutput;2011;14250
46;Overheid;P11 Marktoutput;2012;15686
47;Overheid;P11 Marktoutput;2013;15906
48;Overheid;P11 Marktoutput;2014;13911
49;Overheid;P11 Marktoutput;2015;11563
50;Overheid;P11 Marktoutput;2016;10123
51;Overheid;P11 Marktoutput;2017;10013
52;Overheid;P11 Marktoutput;2018;9790
53;Overheid;P11 Marktoutput;2019;9278
54;Overheid;P11 Marktoutput;2020;7652
55;Overheid;P11 Marktoutput;2021;9769
56;Overheid;P11 Marktoutput;2022;15416
57;Overheid;P11 Marktoutput;2023;9077
58;Overheid;P12A Investeringen in eigen beheer;1995;2356
59;Overheid;P12A Investeringen in eigen beheer;1996;2348
60;Overheid;P12A Investeringen in eigen beheer;1997;2419
61;Overheid;P12A Investeringen in eigen beheer;1998;2698
62;Overheid;P12A Investeringen in eigen beheer;1999;2945
63;Overheid;P12A Investeringen in eigen beheer;2000;3170
64;Overheid;P12A Investeringen in eigen beheer;2001;3577
65;Overheid;P12A Investeringen in eigen beheer;2002;3887
66;Overheid;P12A Investeringen in eigen beheer;2003;4153
67;Overheid;P12A Investeringen in eigen beheer;2004;4308
68;Overheid;P12A Investeringen in eigen beheer;2005;4424
69;Overheid;P12A Investeringen in eigen beheer;2006;4709
70;Overheid;P12A Investeringen in eigen beheer;2007;4748
71;Overheid;P12A Investeringen in eigen beheer;2008;4875
72;Overheid;P12A Investeringen in eigen beheer;2009;5208
73;Overheid;P12A Investeringen in eigen beheer;2010;5178
74;Overheid;P12A Investeringen in eigen beheer;2011;5369
75;Overheid;P12A Investeringen in eigen beheer;2012;5300
76;Overheid;P12A Investeringen in eigen beheer;2013;5440
77;Overheid;P12A Investeringen in eigen beheer;2014;5472
78;Overheid;P12A Investeringen in eigen beheer;2015;5622
79;Overheid;P12A Investeringen in eigen beheer;2016;5674
80;Overheid;P12A Investeringen in eigen beheer;2017;5888
81;Overheid;P12A Investeringen in eigen beheer;2018;6215
82;Overheid;P12A Investeringen in eigen beheer;2019;6347
83;Overheid;P12A Investeringen in eigen beheer;2020;6613
84;Overheid;P12A Investeringen in eigen beheer;2021;7039
85;Overheid;P12A Investeringen in eigen beheer;2022;7379
86;Overheid;P12A Investeringen in eigen beheer;2023;7773
87;Overheid;P13 Niet-marktoutput;1995;56011
88;Overheid;P13 Niet-marktoutput;1996;56892
89;Overheid;P13 Niet-marktoutput;1997;58962
90;Overheid;P13 Niet-marktoutput;1998;61923
91;Overheid;P13 Niet-marktoutput;1999;64955
92;Overheid;P13 Niet-marktoutput;2000;69467
93;Overheid;P13 Niet-marktoutput;2001;75128
94;Overheid;P13 Niet-marktoutput;2002;80873
95;Overheid;P13 Niet-marktoutput;2003;85812
96;Overheid;P13 Niet-marktoutput;2004;87126
97;Overheid;P13 Niet-marktoutput;2005;89654
98;Overheid;P13 Niet-marktoutput;2006;92363
99;Overheid;P13 Niet-marktoutput;2007;98110
100;Overheid;P13 Niet-marktoutput;2008;102476
101;Overheid;P13 Niet-marktoutput;2009;108234
102;Overheid;P13 Niet-marktoutput;2010;111415
103;Overheid;P13 Niet-marktoutput;2011;110780
104;Overheid;P13 Niet-marktoutput;2012;110954
105;Overheid;P13 Niet-marktoutput;2013;111196
106;Overheid;P13 Niet-marktoutput;2014;113366
107;Overheid;P13 Niet-marktoutput;2015;113662
108;Overheid;P13 Niet-marktoutput;2016;114496
109;Overheid;P13 Niet-marktoutput;2017;117223
110;Overheid;P13 Niet-marktoutput;2018;122543
111;Overheid;P13 Niet-marktoutput;2019;128936
112;Overheid;P13 Niet-marktoutput;2020;135842
113;Overheid;P13 Niet-marktoutput;2021;144854
114;Overheid;P13 Niet-marktoutput;2022;156550
115;Overheid;P13 Niet-marktoutput;2023;170672
116;Overheid;P131 Betalingen voor niet-marktoutput;1995;5786
117;Overheid;P131 Betalingen voor niet-marktoutput;1996;6394
118;Overheid;P131 Betalingen voor niet-marktoutput;1997;6576
119;Overheid;P131 Betalingen voor niet-marktoutput;1998;6672
120;Overheid;P131 Betalingen voor niet-marktoutput;1999;7045
121;Overheid;P131 Betalingen voor niet-marktoutput;2000;7671
122;Overheid;P131 Betalingen voor niet-marktoutput;2001;8134
123;Overheid;P131 Betalingen voor niet-marktoutput;2002;8340
124;Overheid;P131 Betalingen voor niet-marktoutput;2003;8930
125;Overheid;P131 Betalingen voor niet-marktoutput;2004;9255
126;Overheid;P131 Betalingen voor niet-marktoutput;2005;9312
127;Overheid;P131 Betalingen voor niet-marktoutput;2006;9589
128;Overheid;P131 Betalingen voor niet-marktoutput;2007;9965
129;Overheid;P131 Betalingen voor niet-marktoutput;2008;10091
130;Overheid;P131 Betalingen voor niet-marktoutput;2009;9902
131;Overheid;P131 Betalingen voor niet-marktoutput;2010;10302
132;Overheid;P131 Betalingen voor niet-marktoutput;2011;10756
133;Overheid;P131 Betalingen voor niet-marktoutput;2012;10633
134;Overheid;P131 Betalingen voor niet-marktoutput;2013;10699
135;Overheid;P131 Betalingen voor niet-marktoutput;2014;10987
136;Overheid;P131 Betalingen voor niet-marktoutput;2015;11550
137;Overheid;P131 Betalingen voor niet-marktoutput;2016;11670
138;Overheid;P131 Betalingen voor niet-marktoutput;2017;11645
139;Overheid;P131 Betalingen voor niet-marktoutput;2018;11950
140;Overheid;P131 Betalingen voor niet-marktoutput;2019;12151
141;Overheid;P131 Betalingen voor niet-marktoutput;2020;12134
142;Overheid;P131 Betalingen voor niet-marktoutput;2021;12937
143;Overheid;P131 Betalingen voor niet-marktoutput;2022;13870
144;Overheid;P131 Betalingen voor niet-marktoutput;2023;14679
145;Overheid;P132 Overige niet-marktoutput;1995;50225
146;Overheid;P132 Overige niet-marktoutput;1996;50498
147;Overheid;P132 Overige niet-marktoutput;1997;52386
148;Overheid;P132 Overige niet-marktoutput;1998;55251
149;Overheid;P132 Overige niet-marktoutput;1999;57910
150;Overheid;P132 Overige niet-marktoutput;2000;61796
151;Overheid;P132 Overige niet-marktoutput;2001;66994
152;Overheid;P132 Overige niet-marktoutput;2002;72533
153;Overheid;P132 Overige niet-marktoutput;2003;76882
154;Overheid;P132 Overige niet-marktoutput;2004;77871
155;Overheid;P132 Overige niet-marktoutput;2005;80342
156;Overheid;P132 Overige niet-marktoutput;2006;82774
157;Overheid;P132 Overige niet-marktoutput;2007;88145
158;Overheid;P132 Overige niet-marktoutput;2008;92385
159;Overheid;P132 Overige niet-marktoutput;2009;98332
160;Overheid;P132 Overige niet-marktoutput;2010;101113
161;Overheid;P132 Overige niet-marktoutput;2011;100024
162;Overheid;P132 Overige niet-marktoutput;2012;100321
163;Overheid;P132 Overige niet-marktoutput;2013;100497
164;Overheid;P132 Overige niet-marktoutput;2014;102379
165;Overheid;P132 Overige niet-marktoutput;2015;102112
166;Overheid;P132 Overige niet-marktoutput;2016;102826
167;Overheid;P132 Overige niet-marktoutput;2017;105578
168;Overheid;P132 Overige niet-marktoutput;2018;110593
169;Overheid;P132 Overige niet-marktoutput;2019;116785
170;Overheid;P132 Overige niet-marktoutput;2020;123708
171;Overheid;P132 Overige niet-marktoutput;2021;131917
172;Overheid;P132 Overige niet-marktoutput;2022;142680
173;Overheid;P132 Overige niet-marktoutput;2023;155993
174;Overheid;P2 Intermediair verbruik;1995;20621
175;Overheid;P2 Intermediair verbruik;1996;21160
176;Overheid;P2 Intermediair verbruik;1997;21945
177;Overheid;P2 Intermediair verbruik;1998;23091
178;Overheid;P2 Intermediair verbruik;1999;24084
179;Overheid;P2 Intermediair verbruik;2000;26262
180;Overheid;P2 Intermediair verbruik;2001;29048
181;Overheid;P2 Intermediair verbruik;2002;31324
182;Overheid;P2 Intermediair verbruik;2003;33695
183;Overheid;P2 Intermediair verbruik;2004;34228
184;Overheid;P2 Intermediair verbruik;2005;34412
185;Overheid;P2 Intermediair verbruik;2006;35668
186;Overheid;P2 Intermediair verbruik;2007;38979
187;Overheid;P2 Intermediair verbruik;2008;39822
188;Overheid;P2 Intermediair verbruik;2009;42499
189;Overheid;P2 Intermediair verbruik;2010;43625
190;Overheid;P2 Intermediair verbruik;2011;42686
191;Overheid;P2 Intermediair verbruik;2012;41920
192;Overheid;P2 Intermediair verbruik;2013;41853
193;Overheid;P2 Intermediair verbruik;2014;43802
194;Overheid;P2 Intermediair verbruik;2015;43306
195;Overheid;P2 Intermediair verbruik;2016;43035
196;Overheid;P2 Intermediair verbruik;2017;43966
197;Overheid;P2 Intermediair verbruik;2018;46552
198;Overheid;P2 Intermediair verbruik;2019;48882
199;Overheid;P2 Intermediair verbruik;2020;51122
200;Overheid;P2 Intermediair verbruik;2021;56856
201;Overheid;P2 Intermediair verbruik;2022;60563
202;Overheid;P2 Intermediair verbruik;2023;67222
203;Overheid;B1g Bruto toegevoegde waarde;1995;44340
204;Overheid;B1g Bruto toegevoegde waarde;1996;45139
205;Overheid;B1g Bruto toegevoegde waarde;1997;46948
206;Overheid;B1g Bruto toegevoegde waarde;1998;48879
207;Overheid;B1g Bruto toegevoegde waarde;1999;51081
208;Overheid;B1g Bruto toegevoegde waarde;2000;54830
209;Overheid;B1g Bruto toegevoegde waarde;2001;59093
210;Overheid;B1g Bruto toegevoegde waarde;2002;62535
