ID;Persoonskenmerken;Perioden;InwonersMetNederlandseNationaliteit_1;NeemtNietDeel_2;NeemtDeel_3;Gemiddeld_4;NeemtNietDeel_5;NeemtDeel_6;Gemiddeld_7
0;Totaal persoonskenmerken;2002;15204;8925.0;6279.0;2.1;3922.0;11281.0;2.0
1;Totaal persoonskenmerken;2003;15282;8999.0;6285.0;2.0;3856.0;11426.0;1.9
2;Totaal persoonskenmerken;2004;15347;9153.0;6194.0;2.0;3781.0;11566.0;2.0
3;Totaal persoonskenmerken;2005;15393;9183.0;6210.0;2.0;3898.0;11495.0;1.9
4;Totaal persoonskenmerken;2006;15434;9106.0;6328.0;1.9;4082.0;11352.0;2.0
5;Totaal persoonskenmerken;2007;15469;9077.0;6392.0;2.0;4067.0;11402.0;2.0
6;Totaal persoonskenmerken;2008;15510;9246.0;6264.0;2.0;3863.0;11647.0;2.0
7;Totaal persoonskenmerken;2009;15559;8918.0;6641.0;2.0;3939.0;11620.0;2.0
8;Totaal persoonskenmerken;2010;15637;9090.0;6547.0;2.0;3890.0;11747.0;2.0
9;Totaal persoonskenmerken;2011;15682;9143.0;6538.0;2.0;3794.0;11888.0;1.9
10;Totaal persoonskenmerken;2012;15732;8920.0;6812.0;2.0;4036.0;11696.0;2.0
11;Totaal persoonskenmerken;2013;15776;9290.0;6486.0;2.0;4032.0;11743.0;1.9
12;Totaal persoonskenmerken;2014;15778;9305.0;6473.0;2.0;4351.0;11427.0;1.9
13;Totaal persoonskenmerken;2015;15825;9271.0;6554.0;2.0;4341.0;11484.0;1.9
14;Totaal persoonskenmerken;2016;15843;9150.0;6693.0;2.0;4187.0;11655.0;1.9
15;Mannen;2002;7539;4504.0;3035.0;2.2;2045.0;5493.0;2.0
16;Mannen;2003;7579;4547.0;3033.0;2.0;1917.0;5662.0;2.0
17;Mannen;2004;7612;4657.0;2955.0;2.1;1924.0;5688.0;2.0
18;Mannen;2005;7635;4616.0;3020.0;2.0;1966.0;5669.0;1.9
19;Mannen;2006;7656;4537.0;3119.0;2.0;2047.0;5608.0;2.0
20;Mannen;2007;7673;4500.0;3172.0;2.1;1958.0;5715.0;2.0
21;Mannen;2008;7692;4615.0;3076.0;2.0;1933.0;5758.0;2.0
22;Mannen;2009;7718;4391.0;3327.0;2.0;1918.0;5800.0;2.0
23;Mannen;2010;7759;4479.0;3279.0;2.0;1934.0;5825.0;2.0
24;Mannen;2011;7781;4530.0;3251.0;2.1;1819.0;5962.0;2.0
25;Mannen;2012;7806;4404.0;3402.0;2.1;1986.0;5821.0;2.0
26;Mannen;2013;7828;4565.0;3263.0;2.1;1915.0;5913.0;2.0
27;Mannen;2014;7834;4675.0;3159.0;2.1;2134.0;5700.0;2.0
