ID;COFOGOverheidsfuncties;Sectoren;Perioden;Overheidsconsumptie_1
0;Totaal;Overheid;1995;72790.0
1;Totaal;Overheid;1996;72847.0
2;Totaal;Overheid;1997;76260.0
3;Totaal;Overheid;1998;80618.0
4;Totaal;Overheid;1999;84872.0
5;Totaal;Overheid;2000;91572.0
6;Totaal;Overheid;2001;99532.0
7;Totaal;Overheid;2002;109104.0
8;Totaal;Overheid;2003;115911.0
9;Totaal;Overheid;2004;117650.0
10;Totaal;Overheid;2005;121722.0
11;Totaal;Overheid;2006;135492.0
12;Totaal;Overheid;2007;142750.0
13;Totaal;Overheid;2008;152650.0
14;Totaal;Overheid;2009;163355.0
15;Totaal;Overheid;2010;167232.0
16;Totaal;Overheid;2011;167158.0
17;Totaal;Overheid;2012;169875.0
18;Totaal;Overheid;2013;170258.0
19;Totaal;Overheid;2014;171986.0
20;Totaal;Overheid;2015;171677.0
21;Totaal;Overheid;2016;173682.0
22;Totaal;Centrale overheid;1995;19474.0
23;Totaal;Centrale overheid;1996;19551.0
24;Totaal;Centrale overheid;1997;20343.0
25;Totaal;Centrale overheid;1998;21626.0
26;Totaal;Centrale overheid;1999;22530.0
27;Totaal;Centrale overheid;2000;23698.0
28;Totaal;Centrale overheid;2001;25676.0
29;Totaal;Centrale overheid;2002;27278.0
30;Totaal;Centrale overheid;2003;27603.0
31;Totaal;Centrale overheid;2004;27057.0
32;Totaal;Centrale overheid;2005;28948.0
33;Totaal;Centrale overheid;2006;30374.0
34;Totaal;Centrale overheid;2007;33172.0
35;Totaal;Centrale overheid;2008;35457.0
36;Totaal;Centrale overheid;2009;37154.0
37;Totaal;Centrale overheid;2010;36933.0
38;Totaal;Centrale overheid;2011;35651.0
39;Totaal;Centrale overheid;2012;35526.0
40;Totaal;Centrale overheid;2013;40468.0
41;Totaal;Centrale overheid;2014;40879.0
42;Totaal;Centrale overheid;2015;41117.0
43;Totaal;Centrale overheid;2016;42593.0
44;Totaal;Lokale overheid;1995;33036.0
45;Totaal;Lokale overheid;1996;33536.0
46;Totaal;Lokale overheid;1997;33369.0
47;Totaal;Lokale overheid;1998;35035.0
48;Totaal;Lokale overheid;1999;37128.0
49;Totaal;Lokale overheid;2000;40325.0
50;Totaal;Lokale overheid;2001;43454.0
51;Totaal;Lokale overheid;2002;47383.0
52;Totaal;Lokale overheid;2003;51291.0
53;Totaal;Lokale overheid;2004;52219.0
54;Totaal;Lokale overheid;2005;53297.0
55;Totaal;Lokale overheid;2006;55170.0
56;Totaal;Lokale overheid;2007;59590.0
57;Totaal;Lokale overheid;2008;63976.0
58;Totaal;Lokale overheid;2009;68033.0
59;Totaal;Lokale overheid;2010;70123.0
60;Totaal;Lokale overheid;2011;69681.0
61;Totaal;Lokale overheid;2012;68745.0
62;Totaal;Lokale overheid;2013;64736.0
63;Totaal;Lokale overheid;2014;65038.0
64;Totaal;Lokale overheid;2015;70474.0
65;Totaal;Lokale overheid;2016;71886.0
66;Totaal;Socialezekerheidsfondsen;1995;20280.0
67;Totaal;Socialezekerheidsfondsen;1996;19760.0
68;Totaal;Socialezekerheidsfondsen;1997;22548.0
69;Totaal;Socialezekerheidsfondsen;1998;23957.0
70;Totaal;Socialezekerheidsfondsen;1999;25214.0
71;Totaal;Socialezekerheidsfondsen;2000;27549.0
72;Totaal;Socialezekerheidsfondsen;2001;30402.0
73;Totaal;Socialezekerheidsfondsen;2002;34443.0
74;Totaal;Socialezekerheidsfondsen;2003;37017.0
75;Totaal;Socialezekerheidsfondsen;2004;38374.0
76;Totaal;Socialezekerheidsfondsen;2005;39477.0
77;Totaal;Socialezekerheidsfondsen;2006;49948.0
78;Totaal;Socialezekerheidsfondsen;2007;49988.0
79;Totaal;Socialezekerheidsfondsen;2008;53217.0
80;Totaal;Socialezekerheidsfondsen;2009;58168.0
81;Totaal;Socialezekerheidsfondsen;2010;60176.0
82;Totaal;Socialezekerheidsfondsen;2011;61826.0
83;Totaal;Socialezekerheidsfondsen;2012;65604.0
84;Totaal;Socialezekerheidsfondsen;2013;65054.0
85;Totaal;Socialezekerheidsfondsen;2014;66069.0
86;Totaal;Socialezekerheidsfondsen;2015;60086.0
87;Totaal;Socialezekerheidsfondsen;2016;59203.0
88;1. Algemeen overheidsbestuur;Overheid;1995;5916.0
89;1. Algemeen overheidsbestuur;Overheid;1996;5848.0
90;1. Algemeen overheidsbestuur;Overheid;1997;5810.0
91;1. Algemeen overheidsbestuur;Overheid;1998;5998.0
92;1. Algemeen overheidsbestuur;Overheid;1999;6058.0
93;1. Algemeen overheidsbestuur;Overheid;2000;6977.0
94;1. Algemeen overheidsbestuur;Overheid;2001;6990.0
95;1. Algemeen overheidsbestuur;Overheid;2002;7925.0
96;1. Algemeen overheidsbestuur;Overheid;2003;8332.0
97;1. Algemeen overheidsbestuur;Overheid;2004;8116.0
98;1. Algemeen overheidsbestuur;Overheid;2005;8393.0
99;1. Algemeen overheidsbestuur;Overheid;2006;8266.0
100;1. Algemeen overheidsbestuur;Overheid;2007;8515.0
101;1. Algemeen overheidsbestuur;Overheid;2008;9175.0
102;1. Algemeen overheidsbestuur;Overheid;2009;9888.0
103;1. Algemeen overheidsbestuur;Overheid;2010;10387.0
