ID;Geslacht;Verblijfsjaar;Onderwijssoort;Studierichting;Opleidingsfase;Perioden;TotaalIngeschrevenen_1;TotaalNietInternationaleStudenten_2;TotaalInternationaleStudenten_3
0;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2005/'06;560380;527340;33040
1;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2006/'07;572930;538440;34490
2;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2007/'08;585410;547850;37560
3;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2008/'09;602100;560600;41500
4;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2009/'10;634140;587890;46250
5;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2010/'11;656710;606210;50500
6;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2011/'12;667190;613540;53660
7;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2012/'13;661120;605560;55560
8;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2013/'14;688190;630640;57550
9;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2014/'15;699570;640490;59080
10;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2015/'16;701120;638040;63080
11;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2016/'17;712110;643070;69040
12;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2017/'18;730150;653280;76870
13;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2018/'19;747840;661970;85880
14;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2019/'20;767580;673340;94230
15;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2020/'21;817270;713640;103630
16;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2021/'22;832570;717520;115050
17;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2022/'23;817750;695540;122220
18;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2023/'24;801320;673400;127920
19;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Totaal opleidingsfase;2024/'25;788790;657780;131000
20;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2005/'06;515730;488430;27300
21;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2006/'07;514710;487080;27630
22;Totaal mannen en vrouwen;Totaal verblijfsjaar;Hoger onderwijs;Totaal studierichting;Bachelor- en doctoraalopleidingen;2007/'08;516920;487770;29150
