ID;Periods;TotalGovernmentParticipation_1;PublicCorporations_2;PrivateCorporations_3;TotalGovernmentParticipation_4;PublicCorporations_5;PrivateCorporations_6
0;2012;87820;81449;6371;13.3;12.4;1.0
1;2013;86346;78721;7625;13.0;11.8;1.1
2;2014;88227;81017;7210;13.0;11.9;1.1
3;2015;95233;88242;6991;13.6;12.6;1.0
4;2016;99702;93010;6692;13.8;12.9;0.9
5;2017;99821;93063;6758;13.3;12.4;0.9
6;2018;99870;92540;7330;12.7;11.8;0.9
7;2019;109360;101877;7483;13.2;12.3;0.9
8;2020;105930;98609;7321;13.0;12.1;0.9
9;2021;107794;100436;7358;12.1;11.3;0.8
10;2022;75924;67681;8243;7.6;6.8;0.8
11;2023;88658;80307;8351;8.3;7.5;0.8
