ID;Geslacht;Leeftijd;Migratieachtergrond;Peilmoment;OnderwijspositieOpPeilmoment;StartkwalificatieOpPeilmoment;Perioden;TotaalVoortijdigSchoolverlaters_1;VoortijdigSchoolverlatersVo_2;TotaalMbo_3;BeroepsopleidendeLeerwegBol_4;BeroepbegeleidendeLeerwegBbl_5;Extranei_6
0;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2007/'08;48450.0;14570.0;33880.0;23660.0;9180.0;1040.0
1;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2008/'09;43340.0;12660.0;30680.0;20120.0;9690.0;880.0
2;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2009/'10;42990.0;12860.0;30130.0;20900.0;8340.0;880.0
3;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2010/'11;41730.0;12230.0;29500.0;21270.0;7270.0;960.0
4;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2011/'12;40290.0;12600.0;27700.0;19820.0;6960.0;910.0
5;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2012/'13;31290.0;6940.0;24360.0;17890.0;5630.0;840.0
6;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2013/'14;29320.0;6790.0;22530.0;17480.0;4290.0;760.0
7;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2014/'15;28120.0;6810.0;21310.0;17060.0;3490.0;750.0
8;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2015/'16;27360.0;7090.0;20270.0;16240.0;3380.0;650.0
9;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2016/'17;28360.0;7470.0;20890.0;16630.0;3620.0;640.0
10;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2017/'18;30260.0;7500.0;22760.0;17960.0;4200.0;610.0
11;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2018/'19;31470.0;7080.0;24400.0;18660.0;5090.0;650.0
12;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Totaal voortijdig schoolverlaters;2019/'20;26360.0;5500.0;20860.0;15400.0;4890.0;560.0
13;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2007/'08;1390.0;610.0;780.0;540.0;190.0;50.0
14;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2008/'09;1240.0;530.0;700.0;440.0;220.0;40.0
15;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2009/'10;1190.0;610.0;580.0;380.0;160.0;40.0
16;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2010/'11;560.0;40.0;530.0;320.0;160.0;50.0
17;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2011/'12;460.0;40.0;420.0;250.0;130.0;40.0
18;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2012/'13;380.0;10.0;370.0;240.0;90.0;30.0
19;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2013/'14;330.0;30.0;310.0;210.0;70.0;30.0
20;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2014/'15;240.0;20.0;220.0;160.0;40.0;20.0
21;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2015/'16;210.0;10.0;200.0;150.0;40.0;10.0
22;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2016/'17;250.0;20.0;230.0;160.0;50.0;20.0
23;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2017/'18;220.0;20.0;200.0;160.0;40.0;10.0
24;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2018/'19;160.0;10.0;150.0;110.0;30.0;10.0
25;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Met startkwalificatie;2019/'20;130.0;10.0;120.0;80.0;20.0;20.0
26;Totaal mannen en vrouwen;Jonger dan 23 jaar;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal;Zonder startkwalificatie;2007/'08;45830.0;13490.0;32350.0;22500.0;8870.0;980.0
