ID;VormenVanJeugdzorg;Wijken;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;k_0Tot4Jaar_2;k_4Tot12Jaar_3;k_12Tot18Jaar_4;k_18Tot23Jaar_5;ThuiswonendKindInEenouderhuishouden_6;ThuiswonendKindBijEenPaar_7;AnderHuishouden_8;TotaalTrajectenInNatura_9;StabilisatieVanEenCrisissituatie_10;Diagnostiek_11;Begeleiden_12;Behandelen_13;GemeentelijkeToegang_14;Huisarts_15;Jeugdarts_16;GecertificeerdeInstelling_17;MedischSpecialist_18;RechterOfficierVanJustitie_19;GeenVerwijzer_20;VerwijzerOnbekend_21;Gemeentenaam_22;SoortRegio_23;Codering_24;IndelingswijzigingWijken_25
0;Totaal alle jeugdzorg in natura;Nederland;1e halfjaar 2018;353925.0;22165.0;173225.0;144245.0;14290.0;99920.0;221600.0;32405.0;492990.0;;;;;132275.0;150430.0;8735.0;43385.0;21800.0;1290.0;46950.0;41825.0;                                        ;         ;NL01      ;
1;Totaal alle jeugdzorg in natura;Nederland;2e halfjaar 2018;374940.0;27180.0;188690.0;147570.0;11500.0;105370.0;236085.0;33485.0;526975.0;;;;;142905.0;166485.0;10300.0;45015.0;23735.0;1525.0;49710.0;41205.0;                                        ;         ;NL01      ;
2;Totaal alle jeugdzorg in natura;Nederland;2018;423390.0;30340.0;209950.0;167820.0;15275.0;119205.0;267885.0;36300.0;625910.0;;;;;166990.0;195805.0;11860.0;54160.0;28155.0;1865.0;59235.0;52810.0;                                        ;         ;NL01      ;
3;Totaal alle jeugdzorg in natura;Aa en Hunze;1e halfjaar 2018;540.0;25.0;230.0;250.0;35.0;95.0;385.0;65.0;705.0;;;;;140.0;300.0;10.0;70.0;25.0;;40.0;50.0;Aa en Hunze                             ;Gemeente ;GM1680    ;
4;Totaal alle jeugdzorg in natura;Aa en Hunze;2e halfjaar 2018;550.0;25.0;245.0;250.0;30.0;105.0;380.0;65.0;710.0;;;;;145.0;300.0;10.0;85.0;25.0;;35.0;45.0;Aa en Hunze                             ;Gemeente ;GM1680    ;
5;Totaal alle jeugdzorg in natura;Aa en Hunze;2018;620.0;30.0;270.0;290.0;35.0;110.0;445.0;65.0;835.0;;;;;170.0;355.0;10.0;90.0;35.0;;45.0;50.0;Aa en Hunze                             ;Gemeente ;GM1680    ;
6;Totaal alle jeugdzorg in natura;Wijk 00 Annen;1e halfjaar 2018;75.0;;35.0;35.0;;10.0;55.0;10.0;100.0;;;;;20.0;40.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0
7;Totaal alle jeugdzorg in natura;Wijk 00 Annen;2e halfjaar 2018;75.0;;40.0;30.0;;15.0;45.0;10.0;100.0;;;;;20.0;35.0;;15.0;;;;;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0
8;Totaal alle jeugdzorg in natura;Wijk 00 Annen;2018;90.0;;40.0;40.0;;15.0;60.0;15.0;125.0;;;;;30.0;50.0;;15.0;;;10.0;;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0
9;Totaal alle jeugdzorg in natura;Wijk 01 Eext;1e halfjaar 2018;35.0;;15.0;15.0;;;35.0;;45.0;;;;;10.0;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0
10;Totaal alle jeugdzorg in natura;Wijk 01 Eext;2e halfjaar 2018;40.0;;15.0;15.0;;;35.0;;50.0;;;;;15.0;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0
11;Totaal alle jeugdzorg in natura;Wijk 01 Eext;2018;40.0;;15.0;20.0;;;35.0;;50.0;;;;;15.0;25.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0
12;Totaal alle jeugdzorg in natura;Wijk 02 Anloo;1e halfjaar 2018;10.0;;;;;;;;10.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0
13;Totaal alle jeugdzorg in natura;Wijk 02 Anloo;2e halfjaar 2018;10.0;;;;;;10.0;;10.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0
14;Totaal alle jeugdzorg in natura;Wijk 02 Anloo;2018;10.0;;;;;;10.0;;10.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0
15;Totaal alle jeugdzorg in natura;Wijk 03 Gasteren;1e halfjaar 2018;10.0;;;;;;;;10.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0
16;Totaal alle jeugdzorg in natura;Wijk 03 Gasteren;2e halfjaar 2018;10.0;;;;;;;;10.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0
17;Totaal alle jeugdzorg in natura;Wijk 03 Gasteren;2018;10.0;;;;;;;;10.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0
18;Totaal alle jeugdzorg in natura;Wijk 04 Anderen;1e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0
19;Totaal alle jeugdzorg in natura;Wijk 04 Anderen;2e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0
20;Totaal alle jeugdzorg in natura;Wijk 04 Anderen;2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0
21;Totaal alle jeugdzorg in natura;Wijk 05 Schipborg;1e halfjaar 2018;10.0;;;;;;;;10.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0
22;Totaal alle jeugdzorg in natura;Wijk 05 Schipborg;2e halfjaar 2018;10.0;;;;;;;;15.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0
23;Totaal alle jeugdzorg in natura;Wijk 05 Schipborg;2018;10.0;;;;;;;;15.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0
24;Totaal alle jeugdzorg in natura;Wijk 06 Eexterveen;1e halfjaar 2018;15.0;;10.0;;;;15.0;;20.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0
25;Totaal alle jeugdzorg in natura;Wijk 06 Eexterveen;2e halfjaar 2018;15.0;;10.0;;;;15.0;;15.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0
26;Totaal alle jeugdzorg in natura;Wijk 06 Eexterveen;2018;15.0;;10.0;;;;15.0;;20.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0
27;Totaal alle jeugdzorg in natura;Wijk 07 Spijkerboor;1e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0
28;Totaal alle jeugdzorg in natura;Wijk 07 Spijkerboor;2e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0
29;Totaal alle jeugdzorg in natura;Wijk 07 Spijkerboor;2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0
30;Totaal alle jeugdzorg in natura;Wijk 08 Nieuw-Annerveen;1e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0
31;Totaal alle jeugdzorg in natura;Wijk 08 Nieuw-Annerveen;2e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0
32;Totaal alle jeugdzorg in natura;Wijk 08 Nieuw-Annerveen;2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0
33;Totaal alle jeugdzorg in natura;Wijk 09 Oud-Annerveen;1e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0
34;Totaal alle jeugdzorg in natura;Wijk 09 Oud-Annerveen;2e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0
35;Totaal alle jeugdzorg in natura;Wijk 09 Oud-Annerveen;2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0
36;Totaal alle jeugdzorg in natura;Wijk 11 Annerveenschekanaal;1e halfjaar 2018;10.0;;;;;;;;15.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0
37;Totaal alle jeugdzorg in natura;Wijk 11 Annerveenschekanaal;2e halfjaar 2018;10.0;;;;;;;;15.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0
38;Totaal alle jeugdzorg in natura;Wijk 11 Annerveenschekanaal;2018;10.0;;;;;;;;20.0;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0
39;Totaal alle jeugdzorg in natura;Wijk 12 Eexterveenschekanaal;1e halfjaar 2018;10.0;;;;;;10.0;;10.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0
40;Totaal alle jeugdzorg in natura;Wijk 12 Eexterveenschekanaal;2e halfjaar 2018;15.0;;;;;;10.0;;15.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0
41;Totaal alle jeugdzorg in natura;Wijk 12 Eexterveenschekanaal;2018;15.0;;;;;;10.0;;15.0;;;;;;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0
42;Totaal alle jeugdzorg in natura;Wijk 13 Eexterzandvoort;1e halfjaar 2018;;;;;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0
