ID;Geslacht;Leeftijd;BurgerlijkeStaat;Generatie;Migratieachtergrond;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;1996;15493889.0
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;1997;15567107.0
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;1998;15654192.0
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;1999;15760225.0
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2000;15863950.0
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2001;15987075.0
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2002;16105285.0
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2003;16192572.0
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2004;16258032.0
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2005;16305526.0
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2006;16334210.0
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2007;16357992.0
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2008;16405399.0
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2009;16485787.0
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2010;16574989.0
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2011;16655799.0
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2012;16730348.0
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2013;16779575.0
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2014;16829289.0
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2015;16900726.0
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2016;16979120.0
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2017;17081507.0
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2018;17181084.0
23;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2019;17282163.0
24;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2020;17407585.0
25;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2021;17475415.0
26;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Totaal;2022;17590672.0
27;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;1996;12995174.0
28;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;1997;13012818.0
29;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;1998;13033792.0
30;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;1999;13060991.0
31;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2000;13088648.0
32;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2001;13116851.0
33;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2002;13140336.0
34;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2003;13153814.0
35;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2004;13169880.0
36;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2005;13182809.0
37;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2006;13186595.0
38;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2007;13187586.0
39;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2008;13189983.0
40;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2009;13198081.0
41;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2010;13215386.0
42;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2011;13228780.0
43;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2012;13236155.0
44;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2013;13236494.0
45;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2014;13234545.0
46;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2015;13235405.0
47;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2016;13226829.0
48;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2017;13218754.0
49;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2018;13209225.0
50;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2019;13196025.0
51;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Totaal;Nederlandse achtergrond;2020;13186880.0
